Word	Concreteness
accident	4.192809
accordion	4.114421
activist	4.070754
actor	4.279593
advantage	1.1514204
advice	2.4675112
aggressive	2.3238916
agreement	2.3977356
airport	5.4268875
alligator	3.9372535
ambulance	5.5061913
analogy	2.5687478
angry	2.821246
animosity	2.0493822
ant	5.621564
apartment	5.3674645
apology	4.151848
applause	3.997179
apricot	5.11197
arm	4.965516
army	3.8649573
artist	4.0425434
asparagus	4.8704586
ate	4.0505853
attribute	3.1508822
audience	4.2733846
author	3.977172
avalanche	4.8117895
awe	2.055151
axe	5.0780964
bagpipe	4.725303
ball	4.2385178
banana	4.9169054
banjo	4.9739017
banker	4.345381
bar	3.7131858
barbecue	4.2728157
baseball	5.7993784
battle	3.0884228
bay	5.058443
beach	5.0428786
bed	5.659474
bee	5.6077557
beer	5.6069
belch	4.3988905
belief	0.1511395
bell	5.7623663
bicycle	5.1566596
big	4.414837
bird	5.444868
black	4.679523
blocked	3.3708966
blue	4.238806
blueberry	5.0707107
boat	5.4890537
bonfire	3.939136
book	4.5851307
bought	3.7187905
boy	5.447372
bread	5.358835
bribe	3.769217
bridge	4.4284973
broccoli	4.5100684
broke	3.8558617
bugle	4.7621593
built	2.0987756
bus	4.4983797
business	3.8693311
businessman	4.069149
butterfly	4.9028606
cab	4.6020155
cabbage	5.835893
cabinet	3.743106
cafeteria	4.9330983
camel	5.5701528
camera	4.80705
car	5.1941414
carnival	4.492157
carriage	5.1841135
carried	2.479344
carrot	5.095732
cash	4.7951865
cathedral	4.9540844
celebrated	2.732265
cellphone	5.2842937
chair	4.046048
cheese	4.894806
cheetah	4.6187806
cherry	4.7366047
chestnut	4.9087152
chicken	5.306219
child	4.162093
chime	5.0292034
chipmunk	4.6274433
chocolate	4.781147
choir	4.009516
church	4.641821
circus	4.751502
clang	4.709546
clarinet	4.532818
clever	2.1484756
cloud	4.5474567
clue	3.0194113
coffee	4.643862
cold	4.40303
college	3.731181
comb	5.286975
commander	3.7327242
company	4.393815
computer	4.5090528
corkscrew	5.106964
corn	5.1685915
cough	3.0439951
council	4.3461475
couple	4.328577
court	3.986012
cranberry	5.244503
crib	5.1258655
criminal	3.4773448
crossed	4.36279
crow	5.337318
cucumber	4.5184336
curse	3.2937572
cyclone	3.3010688
dandelion	4.82653
dangerous	2.929088
dark	3.4742794
day	3.4561577
dead	4.4606266
debate	2.2242317
deceit	2.2150905
delirium	2.2969785
denial	1.9637794
desk	5.612397
dictation	2.9362514
dime	4.824093
dinner	4.1782513
diplomat	5.010639
doctor	4.3133836
dog	4.86497
dolphin	4.358123
door	5.2694197
downpour	4.760049
drank	3.6247337
dread	2.5115037
drew	3.6475184
driver	4.6678133
drum	4.356482
duck	4.2954593
dusty	2.994644
editor	4.0537643
egg	5.092166
eggplant	4.839207
election	4.2043767
elephant	5.1889524
elevator	5.184053
elm	3.457962
embassy	3.853251
embrace	2.9954648
empty	3.1867607
ended	2.791101
engineer	4.3150244
envy	1.896216
era	2.7779536
escalator	4.940751
etiquette	2.2171502
evening	3.6423035
excuse	1.8747327
expensive	2.887538
explosion	3.797809
eye	4.5334826
fallacy	1.6515939
family	3.2999196
famous	2.6183124
farm	4.6243253
farmer	4.616838
fate	1.2345338
faucet	5.316826
feared	2.7759886
feather	4.812579
fed	3.9304054
fee	3.6174304
fence	4.372938
festival	4.185381
fiddle	5.1042013
field	5.038521
finger	4.980729
fireworks	5.0518847
fish	5.8370194
fixed	2.9122622
flew	4.3535347
flood	4.5835752
flower	5.409914
flute	5.0768776
folly	2.3005013
foot	5.163898
football	4.571804
forest	4.466094
found	3.3323665
fountain	5.0442104
friendly	2.9311626
fun	2.3973236
funeral	3.9723353
garden	5.066848
gasp	3.2483044
gave	2.43824
girl	4.3750525
glass	4.7347517
goldfish	3.8240943
gong	4.4997377
gratitude	1.49109
green	3.6972117
grew	3.6754894
grief	2.843125
grievance	2.8347738
guard	4.179524
guilt	3.079523
gum	4.0443306
gunshot	5.619792
hailstorm	4.0914063
hair	4.3078537
hairbrush	6.089711
hall	5.3332853
ham	4.566682
hamster	4.894603
hand	4.3582172
handshake	3.86215
happy	0.79762864
harmonica	4.327218
harp	3.9317408
hawk	4.767817
heavy	3.851027
heredity	2.5341716
heroism	1.716486
hierarchy	2.1572042
highway	4.001374
hoe	5.670293
home	3.971941
honey	5.1424837
honeymoon	3.5735438
hope	2.233343
horse	4.981857
hospital	3.9296315
hot	4.049735
hotel	4.956486
hurricane	4.6804285
hygiene	3.7467058
ice	4.4202394
infinity	2.1708226
injured	3.3251977
insult	2.8050966
intellect	2.1764126
irony	1.4579906
island	4.2180195
ivy	4.5708
jam	4.4357634
jaw	5.5291
jealousy	2.3437772
joke	2.5217104
journalist	4.6860943
joviality	2.9432917
joy	1.7997105
judge	4.1696568
jungle	4.5996733
jury	4.028691
ketchup	4.1299095
key	2.896977
keyboard	5.2103786
kiss	5.4194837
kitchen	5.1761084
knowledge	2.1584916
lab	4.4710073
lake	4.9703484
landed	3.9281225
landslide	4.1602507
law	3.9658952
lawyer	4.205224
left	2.7147136
leg	4.8499713
legality	1.7712346
lemonade	4.766939
lightning	4.5488787
limousine	4.466922
lip	5.063826
lived	4.0250797
loan	3.9578183
lonely	2.6343842
long	2.851835
lost	2.7702339
loud	3.0874848
love	2.5764234
luck	1.85888
lust	2.330165
magazine	4.451035
majority	2.8939052
malice	1.1485779
man	4.5310187
mandolin	4.817772
matinee	4.835825
mayor	3.8419163
medicine	2.8631618
meeting	3.1655135
megaphone	4.2017326
mercy	1.8292096
met	3.1780963
minister	4.2767572
mob	3.7915297
monkey	4.8985643
moose	3.9458466
moral	1.1514864
morning	3.3075907
mosquito	4.330681
motive	1.7876514
mountain	5.1693773
mouse	4.3312945
mouth	4.115776
muscle	4.864935
mushroom	4.6978946
musical	3.8179014
mustard	4.909016
mystery	2.0380116
new	3.6180592
newspaper	4.9906626
night	3.7464268
nose	4.4194336
noun	3.4646676
number	2.0049956
oak	4.453244
office	4.432786
old	3.4397378
optimism	2.2289815
pan	4.3621626
parade	4.6181707
paradox	1.2190593
parent	4.9963284
park	5.205508
party	4.519723
patent	3.0010815
patient	4.380154
pea	4.57622
peace	2.4027836
peaceful	2.647763
pen	5.058943
pencil	5.309819
penguin	4.60038
perjury	3.4917703
piano	4.7288055
pie	4.823457
pig	5.881464
pilot	3.316094
pineapple	5.2183647
plane	4.51887
plea	3.2984452
plot	3.1140885
plum	5.8094654
policeman	4.51528
politician	3.8764591
power	3.0215359
powerful	2.916511
prairie	4.1649966
priest	4.357441
prison	4.4928007
problem	2.801168
protest	2.7860346
pumpkin	5.11238
put	2.7462637
quantity	2.7314427
radish	4.8873754
rake	4.3527193
rally	3.6866114
ran	2.8921316
raspberry	4.545216
read	3.2038422
reality	2.0923533
red	3.8997931
reporter	4.2544436
restaurant	4.944976
ricochet	4.71441
riot	4.715253
river	4.42603
rocket	4.989906
role	2.932616
rose	2.9345152
rum	4.0933137
rumor	2.5673206
sailboat	4.848159
salmon	5.2262273
sandpaper	5.039283
satire	2.2700622
saw	2.9446516
saxophone	4.944605
school	3.8686342
scientist	4.353778
scissors	5.5327616
scooter	3.9148905
scream	3.751801
screech	4.1017323
semester	3.8320239
shame	2.0411272
shiny	3.5711365
shoulder	4.9636126
sick	2.5536065
sin	2.6412728
sled	3.9499524
slept	2.457333
small	3.3999944
snake	5.0578947
snub	3.4519944
soccer	4.2749395
soft	4.277305
soldier	5.1773443
spaghetti	4.5252843
spatula	3.93326
speech	3.2742248
spiritual	1.9280066
spring	4.292328
squeal	3.62668
stampede	4.072365
stapler	4.380721
stayed	2.6858366
stole	3.6152828
stone	4.7377977
store	4.3833013
storm	4.6741147
street	4.7135477
student	4.225119
submarine	4.221358
subway	3.7221808
sum	3.2682495
summer	3.8884754
sun	4.6587996
sympathy	1.8513397
symphony	4.348609
table	4.4432707
tangerine	5.632342
tax	3.0559063
tea	5.29824
teacher	5.0415926
team	4.4105554
television	3.6092331
terrorist	3.749058
testimony	2.9246454
theater	4.591181
theme	3.4523735
theory	1.9775633
threw	3.9005558
thunder	4.341742
ticket	4.8176484
tiger	4.684024
tired	2.8984003
toaster	3.7478333
tobacco	4.7429714
toe	5.1033993
tomato	4.7369585
took	3.3361228
torment	2.20115
tornado	5.2732177
tourist	3.6498628
train	4.423361
treaty	1.4924152
tree	4.9787135
trial	3.3165016
tribute	2.4341645
trombone	4.8530545
truce	2.0063276
truck	6.163825
trumpet	5.24626
trust	2.8922873
truth	2.1019278
tuba	5.3269324
tulip	4.807172
turtle	4.5001707
umbrella	4.261902
used	2.9471483
vacation	3.0688386
van	5.03939
verb	2.5453901
vice	3.9217253
victim	3.8385112
volcano	5.16506
voter	3.792821
watched	4.2474775
water	4.62182
wealthy	3.4687376
went	1.8479174
whale	4.7800007
whine	3.9024477
white	3.195568
whole	3.147982
window	4.8098426
winter	3.0052373
wit	2.0066314
witness	3.4066112
woe	3.449007
woman	4.329842
wonder	3.3865895
worked	2.884081
worker	4.371464
worth	2.5366373
wrote	2.9260812
xylophone	4.3512144
year	3.4946597
yellow	4.5556307
young	3.0991278
zone	3.4570742
zoo	4.300433
