Word	Concreteness
accident	3.5718024
accordion	5.0336094
activist	3.73156
actor	3.690274
advantage	0.45376134
advice	2.5703998
aggressive	2.0794683
agreement	1.932405
airport	5.219868
alligator	4.355271
ambulance	4.639738
analogy	3.0158048
angry	2.9480183
animosity	1.1631048
ant	4.4703307
apartment	3.9755454
apology	1.9453696
applause	3.9565363
apricot	4.918071
arm	5.2016516
army	3.576863
artist	4.358274
asparagus	4.587112
ate	4.168594
attribute	2.7047184
audience	4.8234596
author	3.2497087
avalanche	4.5118103
awe	2.0824482
axe	5.3166018
bagpipe	5.479841
ball	4.906415
banana	5.4668217
banjo	4.5621257
banker	4.496234
bar	5.0773025
barbecue	5.435241
baseball	5.369914
battle	4.417531
bay	4.178427
beach	5.6372848
bed	4.899483
bee	4.9442
beer	4.9013195
belch	4.2266836
belief	-0.17533803
bell	4.0999484
bicycle	4.646558
big	3.0183806
bird	6.018159
black	3.9812531
blocked	2.7709198
blue	3.8878646
blueberry	4.436234
boat	5.456109
bonfire	4.8850613
book	3.4112914
bought	2.9819498
boy	5.190339
bread	4.8758907
bribe	4.159409
bridge	5.2823343
broccoli	4.5069504
broke	3.2902045
bugle	4.763514
built	2.561493
bus	4.631832
business	3.6386306
businessman	4.362239
butterfly	4.097471
cab	5.0313673
cabbage	4.8934426
cabinet	3.925767
cafeteria	3.8864732
camel	5.156543
camera	5.2800546
car	5.4467382
carnival	4.403312
carriage	4.533996
carried	1.4877534
carrot	4.916774
cash	4.3990006
cathedral	5.4292445
celebrated	2.8329325
cellphone	5.403428
chair	3.4289036
cheese	5.1560903
cheetah	4.940304
cherry	3.9950695
chestnut	4.5671463
chicken	5.9297748
child	3.6334455
chime	4.3136673
chipmunk	4.0846844
chocolate	4.4576077
choir	5.2355824
church	4.3974066
circus	5.0725985
clang	4.0673895
clarinet	4.9928403
clever	2.7744021
cloud	4.5818634
clue	2.5296698
coffee	4.5872903
cold	3.8643866
college	4.491795
comb	4.306753
commander	3.5943048
company	4.1516466
computer	4.2790527
corkscrew	3.6008735
corn	4.861658
cough	4.2068563
council	4.315378
couple	2.9343894
court	3.8666697
cranberry	5.284092
crib	5.135003
criminal	2.7892203
crossed	2.631866
crow	4.472405
cucumber	4.8113265
curse	2.3644352
cyclone	4.1690865
dandelion	3.5697985
dangerous	2.2644777
dark	3.5512452
day	3.3916607
dead	3.366632
debate	1.7647321
deceit	1.9925089
delirium	2.1093407
denial	1.56903
desk	5.3181973
dictation	3.3101585
dime	5.089395
dinner	3.69865
diplomat	4.189415
doctor	4.2523336
dog	4.657427
dolphin	5.1618843
door	5.9546146
downpour	4.9933715
drank	3.414104
dread	2.630045
drew	3.1373
driver	4.5974417
drum	5.2265077
duck	4.2360253
dusty	4.1125555
editor	4.6062126
egg	4.658674
eggplant	4.9263296
election	3.1264
elephant	3.604218
elevator	4.4678574
elm	5.622201
embassy	3.8577223
embrace	1.8170958
empty	3.7664573
ended	3.5241342
engineer	3.691543
envy	1.8503513
era	3.2056704
escalator	4.559427
etiquette	3.3085566
evening	3.8834977
excuse	2.4787307
expensive	2.5838933
explosion	4.2744236
eye	4.952482
fallacy	1.5048089
family	3.4053102
famous	2.7733262
farm	4.415118
farmer	5.3491397
fate	2.0542047
faucet	5.0679946
feared	1.7324855
feather	4.853802
fed	3.9786987
fee	2.206425
fence	3.829477
festival	4.4115663
fiddle	4.504944
field	4.607844
finger	6.315269
fireworks	5.509051
fish	5.455976
fixed	3.051108
flew	4.1391735
flood	4.4342194
flower	5.3514776
flute	4.6780543
folly	3.6180212
foot	4.329731
football	3.8724308
forest	4.325214
found	3.434199
fountain	4.0454674
friendly	2.8635106
fun	1.2905245
funeral	4.1090465
garden	5.2844224
gasp	3.9088094
gave	3.0160413
girl	4.099556
glass	4.297826
goldfish	5.0039396
gong	5.3958807
gratitude	2.1372423
green	4.177317
grew	3.5232716
grief	1.7624288
grievance	1.2686164
guard	4.2693977
guilt	1.3759675
gum	4.6139975
gunshot	4.488623
hailstorm	3.4597287
hair	4.809586
hairbrush	5.160564
hall	4.917515
ham	4.9996443
hamster	5.2127457
hand	4.252314
handshake	4.512587
happy	2.059858
harmonica	5.367287
harp	5.8451633
hawk	4.787672
heavy	4.3794017
heredity	1.8444748
heroism	1.4350715
hierarchy	3.242527
highway	3.9138503
hoe	4.922982
home	4.202243
honey	4.608704
honeymoon	4.113263
hope	2.2876642
horse	4.8332343
hospital	4.064532
hot	3.46347
hotel	5.1226683
hurricane	4.5445175
hygiene	3.6572614
ice	4.070071
infinity	2.5084324
injured	4.068308
insult	3.3049436
intellect	2.8944414
irony	1.7550216
island	3.622717
ivy	3.764779
jam	3.9766202
jaw	4.3126016
jealousy	1.413279
joke	2.8084078
journalist	4.744897
joviality	1.1493387
joy	1.3832247
judge	3.7579865
jungle	4.340611
jury	4.3762636
ketchup	4.318449
key	2.5418317
keyboard	4.606977
kiss	5.115289
kitchen	4.9753413
knowledge	2.2234802
lab	4.136096
lake	4.6752143
landed	3.2304688
landslide	3.4825008
law	3.607739
lawyer	4.2512937
left	2.5545154
leg	3.86266
legality	1.1665683
lemonade	4.9225554
lightning	3.7948139
limousine	4.1391006
lip	5.0304623
lived	2.4092402
loan	3.63596
lonely	1.8914781
long	3.033235
lost	2.579893
loud	2.9121923
love	3.4620585
luck	2.5705686
lust	1.4839942
magazine	4.3167987
majority	3.4561868
malice	2.2881021
man	3.8862252
mandolin	5.557646
matinee	3.5595562
mayor	4.705042
medicine	3.3524868
meeting	3.2890792
megaphone	5.6086364
mercy	1.8761706
met	3.2783456
minister	4.9696007
mob	3.027328
