Word	Concreteness
accident	3.9285455
accordion	5.2843814
activist	4.4041414
actor	4.362032
advantage	2.7696817
advice	2.7897375
aggressive	1.9333553
agreement	3.0969853
airport	6.002826
alligator	6.1182556
ambulance	4.5830154
analogy	2.0921195
angry	3.46456
animosity	1.9582418
ant	5.310502
apartment	3.0146139
apology	1.770381
applause	3.0680366
apricot	6.0409164
arm	6.835043
army	3.8265886
artist	3.845057
asparagus	4.9589324
ate	3.413376
attribute	1.6963179
audience	3.27575
author	3.6850321
avalanche	2.2378473
awe	4.1685414
axe	4.3077364
bagpipe	4.96224
ball	3.6092782
banana	5.125057
banjo	5.216078
banker	3.9144254
bar	3.9618995
barbecue	5.6671543
baseball	5.3052816
battle	2.760056
bay	6.9774466
beach	5.5229993
bed	4.062162
bee	3.9446063
beer	4.5008593
belch	6.6666307
belief	0.057380676
bell	4.1903124
bicycle	5.075624
big	3.8747392
bird	5.4090204
black	3.9499109
blocked	3.4492133
blue	4.2180586
blueberry	4.4118767
boat	6.2060566
bonfire	5.0031357
book	3.8449838
bought	3.5586023
boy	5.472596
bread	4.660657
bribe	2.446795
bridge	3.9821267
broccoli	4.370205
broke	3.5849853
bugle	6.13064
built	2.4132714
bus	4.821523
business	3.3371558
businessman	3.66749
butterfly	4.812331
cab	3.0882595
cabbage	6.232356
cabinet	4.14766
cafeteria	4.8270664
camel	5.8871884
camera	6.129607
car	6.9448733
carnival	4.273638
carriage	5.614308
carried	1.670764
carrot	5.258615
cash	3.8235073
cathedral	5.2006674
celebrated	1.5053563
cellphone	6.1980247
chair	3.146658
cheese	4.430547
cheetah	2.7852156
cherry	4.839547
chestnut	5.427672
chicken	5.239481
child	4.7385697
chime	4.049749
chipmunk	7.3744507
chocolate	5.71136
choir	4.2060003
church	4.0466347
circus	3.6995528
clang	4.3890176
clarinet	6.688538
clever	2.209041
cloud	4.4821453
clue	3.215657
coffee	5.260645
cold	4.4802737
college	4.720705
comb	4.814728
commander	4.182769
company	4.465463
computer	4.595936
corkscrew	5.0882497
corn	4.1067014
cough	2.6200917
council	4.7254324
couple	3.258967
court	5.9752645
cranberry	4.420965
crib	5.0176992
criminal	2.747857
crossed	2.396247
crow	5.0087843
cucumber	5.814228
curse	1.0605469
cyclone	4.557643
dandelion	5.3940024
dangerous	2.4057877
dark	2.6592705
day	2.2283056
dead	0.14201379
debate	2.2748594
deceit	1.0704114
delirium	4.167361
denial	3.3173616
desk	5.093483
dictation	3.303862
dime	1.7496467
dinner	3.6495938
diplomat	4.856284
doctor	3.6070771
dog	4.2244787
dolphin	5.268344
door	5.5157175
downpour	3.2993014
drank	3.495674
dread	2.7670507
drew	2.3024561
driver	4.2563896
drum	4.8885293
duck	4.6946774
dusty	2.151933
editor	3.8507416
egg	5.2127275
eggplant	5.3020177
election	5.5712605
elephant	5.0131187
elevator	4.4338975
elm	4.4487658
embassy	3.9387813
embrace	3.2852073
empty	3.7398481
ended	2.7895803
engineer	6.132365
envy	3.4331384
era	1.7195339
escalator	4.6494455
etiquette	3.1017227
evening	4.2205706
excuse	1.6669292
expensive	1.9705944
explosion	4.2409945
eye	4.300708
fallacy	1.5952411
family	4.810354
famous	3.7576497
farm	3.2910817
farmer	5.8415146
fate	2.5821393
faucet	5.425619
feared	3.265382
feather	4.9090204
fed	4.098152
fee	1.9752204
fence	4.4090443
festival	3.7501025
fiddle	2.7041903
field	3.2506213
finger	6.23827
fireworks	5.347412
fish	4.066765
fixed	3.0908313
flew	4.9414816
flood	3.791163
flower	5.8571987
flute	5.2554913
folly	1.7299819
foot	4.88935
football	5.065124
forest	5.101804
found	3.466727
fountain	3.6490645
friendly	0.7457237
fun	2.4427392
funeral	3.572907
garden	5.4081964
gasp	4.145904
gave	3.5611072
girl	4.35912
glass	4.74251
goldfish	4.473366
gong	4.369401
gratitude	-0.23089933
green	3.7341652
grew	2.0781426
grief	2.5173974
grievance	3.0200348
guard	4.3812647
guilt	0.3722341
gum	4.9305763
gunshot	7.2128286
hailstorm	4.8908625
hair	3.7069907
hairbrush	6.313426
hall	4.2766232
ham	5.262245
hamster	5.100316
hand	3.8475735
handshake	4.7044754
happy	-0.1229949
harmonica	4.601387
harp	6.2156553
hawk	5.757316
heavy	4.3318896
heredity	0.665153
heroism	2.0272005
hierarchy	3.6138856
highway	5.108291
hoe	3.711775
home	4.6514454
honey	5.143535
honeymoon	2.5969381
hope	1.483485
horse	5.7366705
hospital	5.092547
hot	0.4185903
hotel	2.7207112
hurricane	4.678783
hygiene	3.8721538
ice	5.5442867
infinity	2.1141071
injured	2.9752293
insult	0.90427303
intellect	1.3932626
irony	2.7711277
island	2.286008
ivy	5.4106174
jam	4.799206
jaw	5.053567
jealousy	1.1088786
joke	2.1711807
journalist	4.110946
joviality	3.1342745
joy	3.2065852
judge	4.651561
jungle	3.816288
jury	3.3098335
ketchup	6.175848
key	2.225289
keyboard	5.6333227
kiss	4.9211206
kitchen	4.5479927
knowledge	0.45477962
lab	1.8158171
lake	5.702793
landed	4.301432
landslide	4.607614
law	5.3638725
lawyer	3.752077
left	2.9965863
leg	4.815713
legality	1.0301838
lemonade	5.9085226
lightning	4.2854953
limousine	4.8899956
lip	4.077384
lived	3.0314596
loan	3.414842
lonely	2.5287993
long	2.8798976
lost	1.9591334
loud	3.544877
love	2.4878352
luck	2.678722
lust	1.924006
magazine	5.762715
majority	2.8932142
malice	-0.40610123
man	5.308695
mandolin	5.40824
matinee	3.7347941
mayor	3.049473
medicine	2.4650812
meeting	3.6397684
megaphone	5.5387535
mercy	1.8247551
met	3.9451184
minister	2.576581
mob	5.822387
monkey	4.806296
moose	5.281272
moral	3.0009558
morning	2.6297722
mosquito	3.9817753
motive	1.1190009
mountain	3.277809
mouse	4.2390723
mouth	5.6496944
muscle	3.012333
mushroom	7.15563
musical	4.092455
mustard	6.301678
mystery	1.9792192
new	2.6029844
newspaper	4.0051136
night	4.7004766
nose	4.483436
noun	4.015889
number	3.4529722
oak	4.8237133
office	5.7203026
old	2.4228342
optimism	1.3269644
pan	1.7674098
parade	5.473672
paradox	0.28410625
parent	5.7977586
park	4.8319964
party	5.1879835
patent	2.8705552
patient	4.8786817
pea	8.359929
peace	-0.25717735
peaceful	4.0929456
pen	4.8296137
pencil	4.1391697
penguin	4.5427675
perjury	2.8395362
piano	3.9708107
pie	3.7528324
pig	3.682577
pilot	3.492369
pineapple	4.380287
plane	5.4081798
plea	2.7385662
plot	2.9356627
plum	3.0302842
policeman	5.036663
politician	3.9451663
power	3.0513096
powerful	3.416462
prairie	4.0953703
priest	3.8223777
prison	3.5660663
problem	1.1436319
protest	1.6176658
pumpkin	5.0383167
put	2.5709844
quantity	2.869299
radish	3.3475888
rake	3.018441
rally	3.4084146
ran	3.4731982
raspberry	3.9279032
read	4.2947206
reality	2.192315
red	4.5735464
reporter	5.3575077
restaurant	5.1220655
ricochet	3.685454
riot	4.2213726
river	5.7236996
rocket	5.6948295
role	2.7724335
rose	3.3454533
rum	4.8764086
rumor	3.0660887
sailboat	6.147184
salmon	6.399397
sandpaper	3.802907
satire	3.9906254
saw	0.6585374
saxophone	3.6335142
school	5.2256465
scientist	4.6155796
scissors	5.80785
scooter	4.450461
scream	3.7048616
screech	4.4765215
semester	2.7015247
shame	1.956533
shiny	4.2102585
shoulder	4.292182
sick	3.5621939
sin	3.089691
sled	3.4115522
slept	3.386372
small	3.513173
snake	4.956524
snub	3.309296
soccer	4.8801713
soft	3.7083936
soldier	4.761012
spaghetti	4.956378
spatula	5.3148513
speech	3.4065287
spiritual	0.44117308
spring	3.588181
squeal	4.8875437
stampede	5.315261
stapler	5.4542418
stayed	1.2637312
stole	3.6902914
stone	5.2736564
store	5.4921265
storm	5.3394494
street	3.2673087
student	5.3852
submarine	4.5594435
subway	4.646208
sum	2.851005
summer	3.5457048
sun	4.334775
sympathy	2.9307272
symphony	4.017135
table	3.9963303
tangerine	4.788102
tax	4.0622025
tea	5.7005577
teacher	5.5034504
team	4.0936165
television	4.9249535
terrorist	2.461617
testimony	1.0266757
theater	4.8207655
theme	3.368081
theory	2.4647727
threw	3.750253
thunder	3.0245976
ticket	2.720148
tiger	5.0612173
tired	2.7758265
toaster	4.2884803
tobacco	4.3106155
toe	3.7384999
tomato	5.1374063
took	2.7979894
torment	2.6348922
tornado	3.3922555
tourist	2.5765567
train	4.420022
treaty	1.5413651
tree	5.7863827
trial	3.3105466
tribute	3.924986
trombone	4.835415
truce	3.877611
truck	5.5808325
trumpet	6.000162
trust	1.9568691
truth	1.5687137
tuba	2.8519685
tulip	6.1487255
turtle	4.778178
umbrella	3.423955
used	2.6343389
vacation	3.7147698
van	5.4011755
verb	5.0479884
vice	5.2149854
victim	3.024332
volcano	3.3980813
voter	3.1333742
watched	4.6074104
water	3.755123
wealthy	3.2427752
went	3.3202367
whale	5.0976686
whine	4.8539305
white	3.4635663
whole	3.4141273
window	6.4726624
winter	3.9825125
wit	1.0448627
witness	2.9174147
woe	1.8000121
woman	4.497402
wonder	3.4620037
worked	3.0246115
worker	3.9073164
worth	3.377821
wrote	2.0267346
xylophone	4.577555
year	3.5463715
yellow	3.2954364
young	3.2429981
zone	3.4267619
zoo	4.0425596
