	mse	pearson	spearman
Vision	2.078184620332869	0.7161304011859737	0.6777425351716616
Bright	1.6160840250729707	0.45690022944695735	0.4530472350480131
Dark	1.512832168570449	0.4050913161682315	0.3740260457023169
Color	1.8949893577091554	0.7041461330661669	0.6557656104601989
Pattern	1.3826778113190292	0.6519948228976553	0.6501967740545503
Large	1.7463670069272124	0.6892413802867271	0.6342964533409113
Small	2.457090238802723	0.4877803699195967	0.46399207158981143
Motion	1.8258745028751655	0.6611988414356167	0.6450868804456918
Biomotion	2.081459221668662	0.7528826873339188	0.6360477535172887
Fast	1.6966980395184095	0.6138419269857835	0.5636998606056329
Slow	0.9673379506985962	0.3901817345560407	0.41998683785613605
Shape	1.8733762205223865	0.7718321969690212	0.7699410070692885
Face	1.8899032215031675	0.7221019765614457	0.51486030182762
Body	2.2211885505231197	0.7275220182543585	0.6000562192976349
Touch	2.3671007256253427	0.5916705377833457	0.5858427838739351
Pain	0.9104705753672986	0.6612361364032802	0.4802294997904982
Audition	2.5458188189107007	0.6509749008292999	0.5985502768157671
Loud	1.8980598457163431	0.6740110438069176	0.5786015888407388
Low	0.4730171002907858	0.604970495950034	0.5070689520037115
High	1.169917739996717	0.6102719367301843	0.47323794674193137
Sound	2.3468125638618416	0.6436397458780956	0.5737501035706337
Music	0.9636375610048027	0.7398611524199495	0.4242390622714951
Speech	1.8542427792986267	0.7209704394184803	0.5728958807946357
Taste	1.4599654632880827	0.7342011433112499	0.3645906425387386
Smell	1.5957703889568278	0.6503872162130583	0.5083890393770385
Head	2.348467318314877	0.6209528258611869	0.5459040372777647
UpperLimb	3.2365376590861756	0.5214245528323128	0.48622187523854554
LowerLimb	1.2979243446054647	0.5457236258964349	0.46373250194732246
Landmark	1.544660242965198	0.6725363409699183	0.4431510764985823
Path	1.33529278057273	0.6631209770333979	0.5613511809289169
Scene	1.7683808865062123	0.6274212088950184	0.5686807126526061
Near	1.5214732061555531	0.6396318942033156	0.5810479172189734
Toward	0.8592266205257932	0.5639619875314269	0.5265570271322241
Away	1.0297732203984933	0.4332527378199071	0.3803214613496415
Number	0.7590778752858863	0.5594993138819323	0.3178486216110866
Time	1.000354443983717	0.5977899478502285	0.45865015262994807
Duration	1.1425864293847596	0.6392852982689803	0.5674347480580331
Long	1.1495844777673434	0.43957216545639194	0.46406847760263703
Short	1.0859530627218377	0.5533531286357235	0.558651143251226
Consequential	1.3681139345989755	0.7416082689039399	0.7294777301409308
Social	2.4273314706194467	0.6456054275455694	0.6420876819102593
Human	1.5171764919948425	0.7779657364293628	0.6946846673260811
Communication	1.6728486278449295	0.652725955279484	0.6103551905245892
Self	1.3416424789026196	0.6306418154594178	0.574335714695591
Cognition	1.3877537312641708	0.7172824670760888	0.6409544148842687
Benefit	1.9091783919541432	0.6043880998970008	0.6082047045082017
Harm	1.8299867828736385	0.6435617389428172	0.5625019128115785
Pleasant	2.6954672067109287	0.5230097011403282	0.5152541921258073
Unpleasant	1.8221984437214929	0.6779284846369733	0.5215605058977493
Happy	2.6144291105875532	0.5011282023829413	0.4930226975406227
Sad	1.1588227885715148	0.6550248316011087	0.5512623591615916
Angry	1.2274137167572237	0.6200660627419732	0.5231446431739208
Disgusted	0.8371320676906511	0.5455844951329301	0.4172759303492941
Fearful	1.169888306547052	0.6649003150065382	0.5431139998041035
Surprised	0.9097750161387695	0.644779915124864	0.6205572222159328
Drive	1.6861401320835039	0.507070845473037	0.4989950553433065
Needs	2.1396380879525987	0.5638953852477545	0.5349541896952367
Attention	1.4464078798131632	0.6226127644991353	0.581460071059859
Arousal	1.6442047888754963	0.6289241324034552	0.6161800824075481
