	mse	pearson	spearman
Vision	2.102345734869	0.7016471305205629	0.6611253961545449
Bright	2.0813108150058293	0.4286259983467712	0.4224098358486943
Dark	2.6787501454073888	0.19307653135246644	0.16933166014037232
Color	2.435669927558096	0.6320875849909962	0.565464622501392
Pattern	1.575497985302166	0.6210765250239607	0.629479353019943
Large	3.293142678515951	0.4909804679931592	0.44088692504518834
Small	3.1285510301369728	0.47047407917158635	0.44570958744697836
Motion	2.0872643566144284	0.6434491632953341	0.6342574293074873
Biomotion	2.681669508346848	0.7066610749142441	0.602626547541965
Fast	2.032854551319452	0.5767601971979022	0.5481698519248128
Slow	1.3019801527723736	0.331380078447456	0.3363788365457957
Shape	2.632738805248895	0.699784527813155	0.6949864475857301
Face	2.4323315714154545	0.6329929910834012	0.40564767047395767
Body	2.173573425227154	0.7320895450483511	0.590244086564753
Touch	3.0875865864273706	0.5275378398719319	0.530963362200235
Pain	1.094400438398947	0.616928161764053	0.4593923644610367
Audition	3.4834571782445565	0.5418269381463153	0.5153525354718075
Loud	2.8824544666431793	0.5473156054221684	0.4527203171560229
Low	0.8113192490877005	0.39221541088268996	0.3119385430974043
High	1.4394385323989412	0.540326276178442	0.4323450272089473
Sound	3.5602433259510553	0.5144328601407241	0.4632959770994347
Music	1.2651825961358933	0.6932170688417467	0.30117722261737717
Speech	2.556735902280388	0.6118209181462608	0.42838461233213526
Taste	1.8219256021093233	0.6803694021423777	0.35605531226602816
Smell	1.9574556756573636	0.590860044412909	0.4752323582344177
Head	4.115693124576752	0.4098083267449314	0.39547886098096335
UpperLimb	3.9330164460740824	0.4982495951544535	0.5016954963639801
LowerLimb	2.660704233791617	0.38634780940121083	0.3453101449661415
Landmark	1.604707698376517	0.6690750166899587	0.4226592546627207
Path	1.665243862159898	0.6151354730260659	0.49496080035238477
Scene	2.229292211260373	0.5625718235784204	0.5169043487145198
Near	3.362689796489973	0.39798143653208345	0.34648443502205384
Toward	1.3311581887465351	0.43927812473559025	0.43353681808026234
Away	1.1546071554877921	0.3936354791711084	0.35689661447493276
Number	0.996372621661407	0.4804687813446299	0.2965024099590539
Time	1.2279419764049442	0.5194410696456423	0.3310851205828689
Duration	1.495398385877713	0.5766956666123171	0.4599756807657097
Long	1.1703295888195182	0.45392277184800445	0.4672243001664295
Short	1.256942952212853	0.5066999062967189	0.5123791827244095
Consequential	1.5740554420037243	0.683252242326124	0.655905584149116
Social	2.304286944279085	0.657321121582318	0.6328833066949191
Human	1.5757639738076379	0.7593157872601882	0.6455277547448504
Communication	1.9025906455742057	0.616324086048077	0.5891313099398671
Self	1.8731352391105305	0.5115380056272295	0.47835054830773294
Cognition	1.7141064789724147	0.6553639892029892	0.5686679322684889
Benefit	2.220242407665125	0.5586786093805807	0.5534809771123544
Harm	2.5524872354311396	0.5273300276880158	0.44964833516629676
Pleasant	2.700042860164769	0.5215813714152843	0.5093177509755248
Unpleasant	2.153945160359025	0.6215763445946871	0.49363511333523763
Happy	2.6012391093360527	0.513376645366121	0.5029800400101221
Sad	1.4819298869720088	0.5589317335129584	0.49166211274983745
Angry	1.5138032950231513	0.5280736189691151	0.4518252928192833
Disgusted	0.963415903093946	0.5094624091791655	0.41189704705691305
Fearful	1.4636080519532242	0.5584435926242293	0.45504597462646557
Surprised	1.3469860768067257	0.5261424846209679	0.5067858939605008
Drive	1.5981191572218854	0.519490174639792	0.5085349668555941
Needs	2.9869321080545506	0.45439810916355416	0.4227901629314931
Attention	2.5280748356084057	0.4406006316013686	0.412346213943088
Arousal	2.0956526455599427	0.542115109463499	0.5374837520268023
