	mse	pearson	spearman
Vision	1.9847718632073494	0.7217782302036555	0.6585707568517484
Bright	1.6322819817097287	0.42373114801264516	0.43995922942285154
Dark	2.027860947574544	0.25751025579585457	0.27040690770492565
Color	2.0694766812394065	0.6677370232960224	0.6199239820636704
Pattern	1.2107010137752652	0.6861757694797175	0.6935302178120308
Large	1.4125404795688905	0.7260882699309937	0.6607706153390027
Small	2.013464131233195	0.5720068545379003	0.5416001274425855
Motion	1.5039478439369771	0.7127187658862013	0.6916264078685764
Biomotion	1.7569666792865277	0.7933977762856156	0.6604591491217165
Fast	1.3484542287836732	0.6794970890467874	0.60724470180984
Slow	0.9356442311067097	0.3901353059694613	0.42390902499024613
Shape	2.0375838721477857	0.7565047117422894	0.7631411673016238
Face	1.5317394793470513	0.7477159745090705	0.549639637024823
Body	1.6849986502772587	0.7828965150271906	0.6660670155827731
Touch	1.5809740463409756	0.6723075742954806	0.6549361294804867
Pain	0.8210349806442888	0.6673930490458175	0.45478174948819045
Audition	2.5011745952306654	0.6363612220161806	0.5864845452015814
Loud	1.713084232951445	0.6780954958698213	0.5844575027942771
Low	0.4475641293237197	0.6077717065065784	0.5053070904251636
High	1.252035542632494	0.560539116306292	0.4468098461941595
Sound	2.124905273890495	0.6611068234781143	0.5713855388726252
Music	1.0508234279727795	0.6839304206286566	0.33352187998037186
Speech	1.9494315276610528	0.6846752735575293	0.5350646002523838
Taste	1.0855474408594163	0.7747569396368617	0.40458388329836464
Smell	1.4475288493231477	0.6441218835631536	0.4965008634903135
Head	3.089140347462085	0.5110597541237513	0.48170225192471544
UpperLimb	2.8924614345063144	0.5493148079357906	0.5347396425284152
LowerLimb	1.4586747058354337	0.5349556331548955	0.45911870634327545
Landmark	0.8931913627066634	0.8014759905587109	0.5389821676489679
Path	1.1471782800679322	0.6990103147408518	0.5324503858626983
Scene	1.4382349291819057	0.6797297355490397	0.6421760235838573
Near	1.6260046167149589	0.6055879057160428	0.5437950980043507
Toward	0.9022427240191699	0.569187295447484	0.5443312417945831
Away	0.9563766497249017	0.4983678272165224	0.43948380396663883
Number	0.8222082373612499	0.5235877539436923	0.31527787922418543
Time	0.8864629422450289	0.6192120773005051	0.45256395464955856
Duration	1.4562156245982827	0.5459534148709765	0.46136889065212194
Long	1.0900632566875093	0.502684493841867	0.548577031069575
Short	0.950044870554336	0.5875906735973363	0.5662884721745903
Consequential	1.38253398966758	0.7231709545058889	0.7042502458081992
Social	1.9557408036278876	0.6902361627230897	0.6736538406807517
Human	1.4669131221383322	0.7742920090249894	0.6609899206512041
Communication	1.6759934967805528	0.6496344520517603	0.606625197156586
Self	1.7274913692651375	0.5584604317775885	0.4830693288896143
Cognition	1.302789084484372	0.7317701282702395	0.6648977690172471
Benefit	1.8278292844288315	0.6152655007276898	0.602439334119954
Harm	1.739461741362063	0.624587878790248	0.5619851707865753
Pleasant	1.8627252274846289	0.6252299676717752	0.6093854081474686
Unpleasant	1.7200232707154672	0.6672919651795765	0.5179459179153802
Happy	1.9483629781005507	0.5865207663676623	0.5699194206919375
Sad	1.2392946391230468	0.60023371870048	0.49075972758191816
Angry	1.2157768662142705	0.5897080363948366	0.5012627721625139
Disgusted	0.7301195889425897	0.5683828487423239	0.42590384322132835
Fearful	0.9867508856378278	0.6856684633921162	0.5450479154519308
Surprised	0.8485273999123356	0.648271096709342	0.6136272128513937
Drive	1.1396870308344342	0.6148819795595607	0.6113076180808358
Needs	2.230264031452747	0.5600694942964772	0.5045205886734173
Attention	1.5409328560820807	0.6025997485273319	0.5707007095022317
Arousal	1.19027345723867	0.6915795630809345	0.6766686117063532
