	mse	pearson	spearman
Vision	4.392635820251321	0.5729216509555675	0.5942046466000022
Bright	3.5547194954392927	0.21308951794800812	0.2598045535768383
Dark	3.409679969871218	0.15218027802741046	0.1985094364605554
Color	4.280745364207287	0.5147880131513396	0.45874498409247993
Pattern	3.256578635637753	0.4787030403468032	0.5017543655934347
Large	5.372902850978781	0.46203147888110924	0.428263488417458
Small	5.2506787924101825	0.3117091538284348	0.27465803707147984
Motion	4.544907819767036	0.4278266300340802	0.4311499469173473
Biomotion	5.828827099842765	0.5465317957140765	0.46747346133559964
Fast	3.810435951310461	0.39449835318479665	0.3316816677113804
Slow	2.4661995384544295	0.2696053616452877	0.3055012163097236
Shape	4.299948618459678	0.6078385482368427	0.6160670016137322
Face	5.157116382837351	0.5144504880296508	0.3594511688124574
Body	6.969875595608109	0.4663570228449059	0.4315845432316173
Touch	4.029468818569586	0.44915578598144057	0.4761075958135126
Pain	2.8817178243263664	0.4202350431312988	0.27004930145969236
Audition	6.4373381277238835	0.4477077996495952	0.4411574355631066
Loud	4.866075494136131	0.46827493322041186	0.45865460151354914
Low	1.1500346763635312	0.43560838103377036	0.3859631508035075
High	2.6553149806392815	0.40968146407018935	0.3111484808453605
Sound	4.966063385255014	0.5034506086246975	0.4810665899649439
Music	2.0181851402892974	0.5755780975097097	0.3219267790150639
Speech	4.289666258655375	0.5676091367324198	0.4395674287856724
Taste	2.006388141663174	0.6690784869193331	0.32144170165888003
Smell	3.3371381800537754	0.442874304594257	0.3989218133848779
Head	6.458428784496762	0.35676186442212965	0.3613122167616429
UpperLimb	9.128063958968093	0.29428962292648864	0.3107793134643658
LowerLimb	3.098480168103884	0.33669778788375393	0.24412870057495684
Landmark	2.6469808022878922	0.5828143698300763	0.38293409584063914
Path	2.824013320820531	0.5018975581679918	0.39733096552346114
Scene	4.256490610834464	0.4575594723668475	0.4546202450918684
Near	3.3123437883755686	0.45905635109358167	0.4301738490890875
Toward	2.0093905596212815	0.3792912139394519	0.3743574108449145
Away	1.337627556532792	0.3708985601728757	0.3544341504048457
Number	2.0460966361422552	0.3233952049896509	0.19274545733821946
Time	2.0936547300159867	0.4468260732604997	0.3107068965390217
Duration	2.5044440368870786	0.45835192055491875	0.42136142943879573
Long	1.4786892446184774	0.46084892565713353	0.4497179656803828
Short	2.360530769836143	0.40555903444939573	0.4536733931867147
Consequential	3.0144431420672513	0.544954594324285	0.5330846858337741
Social	4.786045556580251	0.5439645365909795	0.5337018322197146
Human	4.330243347868796	0.5796620093059464	0.5239127671216103
Communication	2.7104949746828866	0.5812350875628711	0.562144762703228
Self	3.3883926604356702	0.3941264405895753	0.4015738695662486
Cognition	3.3211500300825114	0.5354086665343729	0.49519513642801183
Benefit	4.18130402331182	0.4434132186664483	0.4520767120306788
Harm	5.882964308209584	0.3814519615178158	0.362044534891635
Pleasant	5.247129954603837	0.34469720345383104	0.3440063928308872
Unpleasant	4.503220220912963	0.4497166773036552	0.35823763827549937
Happy	5.0327583817030686	0.3395218268006061	0.32561100065974447
Sad	3.2667706588773555	0.42980529817469665	0.3775939026078857
Angry	3.4871949112900227	0.3833495475197284	0.3124001291380478
Disgusted	1.89065383984017	0.3819402049272268	0.3141537323812506
Fearful	3.8697065804358575	0.3861172900052701	0.3438988234531162
Surprised	2.6268427458923136	0.3729512214068401	0.38569601057042274
Drive	2.833215694688616	0.4420763465103814	0.4435232490325916
Needs	4.570560036665314	0.3952854504770798	0.38552971481057147
Attention	5.013529612372727	0.3013994289219328	0.31698194438367283
Arousal	4.0078402561312325	0.3825967317721865	0.3976951649744329
