	mse	pearson	spearman
Vision	1.2525937952468875	0.4974777630538708	0.46244867890368974
Bright	1.4275460337220245	0.43271580684336663	0.4410776618801629
Dark	1.5920483813846433	0.27779307705045253	0.26933178141512004
Color	1.0062816230604483	0.5488586566643534	0.5437932239867735
Pattern	0.9967460977459022	0.5665378024285215	0.564632876660468
Large	1.3546929356285125	0.5046415761914286	0.42328171808559756
Small	1.2566664002771217	0.4778282242158425	0.4344110069195198
Motion	0.8144291284792846	0.5342568270333273	0.5466635722053218
Biomotion	1.1755291536929122	0.5427654103398313	0.48271599760613154
Fast	1.0897640636064714	0.470434393257073	0.4130944185690336
Slow	0.8330735049701735	0.22202818162400426	0.22329563831147498
Shape	1.1228865519857674	0.5283049748237472	0.5287785857415594
Face	1.2351928686241176	0.5172923601140279	0.3827603611411482
Body	1.3008270772460817	0.45670732235172445	0.33691556613422635
Touch	0.9824349527936693	0.4447148471519549	0.41307161748351245
Pain	0.8718029473700255	0.4975079725396318	0.38486663174344987
Audition	0.8386833937149539	0.5478029104310965	0.5191640522187307
Loud	0.9934106143318328	0.5341940951514099	0.5328206372048667
Low	0.7865565873015433	0.08223645776405271	0.11180948234994673
High	0.907017626080683	0.4796850336138075	0.47977771108428796
Sound	0.9320594487024861	0.5301095833625986	0.4755220384659692
Music	1.1785382344460715	0.34581317244459736	0.15578070622545542
Speech	1.1845550116717072	0.5243816149792373	0.43862185828123457
Taste	0.9759384252455883	0.41935477736425375	0.2705696031414143
Smell	0.9243400208940546	0.43461781001677274	0.3518194044220661
Head	1.160672456158306	0.5448859028478122	0.5389772687144722
UpperLimb	1.353617405585358	0.37807841888029126	0.3783542622060677
LowerLimb	1.0466900753332409	0.42793199322191133	0.4210406069265007
Landmark	0.8599085828909052	0.48360348537629605	0.3264093327185312
Path	0.803602600603092	0.4096295388397425	0.35091414129409887
Scene	0.7190025343951247	0.44448468934570207	0.4234224341086075
Near	1.3913512850092096	0.28346785254696927	0.2715707735088128
Toward	0.9821219801652552	0.40863059163408366	0.32570325974271286
Away	0.6627964782528093	0.13902975743639914	0.12594591037837394
Number	0.8169336965436802	0.16324396801124905	0.13676114946372975
Time	0.7480971053752192	0.3074872194850209	0.23679650522287427
Duration	0.6066313053264565	0.35407067628402134	0.29391162506022517
Long	0.7389148516328532	0.33225840828030384	0.3178961288149974
Short	0.5820340529801946	0.44739621917747074	0.42684947572830334
Consequential	0.688579229065472	0.41472662053066045	0.4381722550292899
Social	1.2461033837624345	0.4263381321027264	0.43542221498566497
Human	0.8986425025517274	0.5055641645098681	0.49733613809200816
Communication	0.7042783205469307	0.5378613911003945	0.5401992870160535
Self	0.9165251877115459	0.35126524229083184	0.3210909733389803
Cognition	0.7508285656141751	0.533062004138839	0.4360103745982958
Benefit	1.1717373410977343	0.4895919779626331	0.4943525106017514
Harm	0.8979988753666387	0.5399043887814362	0.43092348002803355
Pleasant	1.1656668810835877	0.4922519549326105	0.4568137774346054
Unpleasant	1.021661272944172	0.5314510554439165	0.41989492301797054
Happy	1.1222641864234113	0.4987399597012968	0.48347147753096553
Sad	0.9646759073178526	0.5017381038869791	0.3907300321620409
Angry	0.9047573697880205	0.5189337860269191	0.3956920188826477
Disgusted	0.8730593952480721	0.5316794708481993	0.3973621611367438
Fearful	0.9053269150907767	0.5380431723677706	0.4463146268772086
Surprised	0.7765418946360977	0.22939926568053895	0.1974387256002434
Drive	0.7460448807068906	0.2554585509620667	0.26809990462133804
Needs	1.4668309515972144	0.34305720232344095	0.34279427512635097
Attention	0.7293737442001442	0.25236359208209774	0.2706505643726508
Arousal	0.5983957096677356	0.307663248522808	0.3237419316886382
