	mse	pearson	spearman
Vision	1.5144430051579871	0.4478061792356164	0.4291851573009513
Bright	1.5900716242839397	0.4065333843125087	0.3989988464232026
Dark	2.268732880296968	0.2093980371760801	0.2337642935387211
Color	1.2468395866195088	0.49235140409489286	0.5013983714749692
Pattern	1.359830440181545	0.4601682595644374	0.4680505749610611
Large	1.4447713347553832	0.4805249313216503	0.39858401997084436
Small	1.3235063135378466	0.45290429025954737	0.3803852866966409
Motion	1.0577025537043707	0.43131400821519456	0.44478764143000726
Biomotion	1.0794012431768907	0.5699396803729525	0.500874334549591
Fast	1.164938636537128	0.44880833175704915	0.3924183112712889
Slow	0.9338892947703918	0.15718104825729232	0.19427883323374687
Shape	1.5116629091849534	0.47089574672879275	0.4892469568845511
Face	0.8786143447191354	0.6379959145368058	0.4867921483682746
Body	0.9417232166351237	0.57912968850709	0.437094580077804
Touch	1.3340660705077183	0.39084152339132283	0.3994225989598685
Pain	1.3677120862766674	0.35910150187859774	0.2798420312063494
Audition	1.5194066564827085	0.36391744795450354	0.31922121971544876
Loud	1.6153082884420058	0.33138283531119433	0.3209107023792788
Low	0.8438311135423152	0.07573373851212453	0.06614574695792912
High	1.3551403678670542	0.318425095086671	0.30118371390522614
Sound	1.629900090514306	0.3606062639663473	0.3083245578619183
Music	1.054612351298839	0.411298264745586	0.20710446951949413
Speech	0.8936095794740773	0.6222197933766761	0.5305304197162108
Taste	1.0933838548274966	0.38938507945905193	0.24005749642456037
Smell	1.3065046762739125	0.298367276177144	0.20840189135475967
Head	1.5048641355552514	0.45275951016885196	0.44728368250789774
UpperLimb	1.4873742345332963	0.33738519324987604	0.35598242814998754
LowerLimb	1.1689634753948046	0.3688120790584072	0.3761530637554885
Landmark	0.9239134406057282	0.44779772071694823	0.33776235271145083
Path	1.11951365863157	0.26151151930851013	0.2077943012893369
Scene	0.9577206841702501	0.33239073097216815	0.3500746533598157
Near	1.4645732885222356	0.31443556558851143	0.311836324216593
Toward	1.043443661104806	0.38055846742501914	0.30576815504748567
Away	0.7541042436011307	0.11003990239548933	0.10757926465829537
Number	0.7975250465747961	0.16683347237394683	0.1685768187785208
Time	1.0880902972059896	0.20005512004598652	0.17063243702360797
Duration	0.9764947232917986	0.23419006550311403	0.20543897044172477
Long	0.9931874400085275	0.21236944145905876	0.18693906618566336
Short	0.7625668350491654	0.35249573385310207	0.32785028687289375
Consequential	0.7673363732638315	0.3668959517617264	0.3857383768859465
Social	1.165072131303421	0.41352946820751174	0.43719331102975706
Human	1.1786629782924147	0.39114590242000896	0.414760580243302
Communication	0.8639004880159613	0.4589433628656108	0.4755598945133637
Self	0.820490946561622	0.4170798447449375	0.38612801797382634
Cognition	0.7780225247524436	0.5140335679304633	0.4207772563935655
Benefit	1.5108066850112936	0.3791547581206719	0.3560070614059251
Harm	1.2286904562252192	0.4428867870128915	0.3569998351862078
Pleasant	1.5933478179722456	0.36812099348588334	0.36926013755663056
Unpleasant	1.4080032090301013	0.42042145842680406	0.3138775352353294
Happy	1.657178668981976	0.3466383487491721	0.3607207017793323
Sad	1.2935279428324948	0.3897696054547404	0.2911957022974576
Angry	1.2529495396912929	0.39386083509050474	0.2921733534380584
Disgusted	1.2401185487754411	0.4063813047492519	0.29702349606355505
Fearful	1.1070500652412572	0.47120339300524705	0.3882432593613903
Surprised	0.8059806178354139	0.18351063994198125	0.17089304404424915
Drive	0.8403053744183445	0.2273223287263419	0.2524410600054261
Needs	1.3985083854033047	0.3759175888493519	0.3861436980169791
Attention	0.8524420596656963	0.16527086518939554	0.17717241707358639
Arousal	0.617270356419862	0.3413138728399253	0.335682531723804
