	mse	pearson	spearman
Vision	1.0890043213031728	0.526860724448101	0.49692383999023465
Bright	1.3400497116218182	0.3930715944349501	0.3691959507919701
Dark	1.2984622123752807	0.27603209128666484	0.2616386557699641
Color	1.0799638789007486	0.5063165084986437	0.5234753144992899
Pattern	0.9721834297039755	0.5672888381765792	0.5712366622212709
Large	1.0835453595831959	0.5404072302840691	0.4860063219552072
Small	1.112765216020383	0.520032671125452	0.4606743176256395
Motion	0.9442218763889262	0.4713242566276932	0.47973647417650717
Biomotion	1.3327996758198382	0.5039206024341942	0.4606716704992329
Fast	1.187455446806704	0.41544976037157255	0.37651012305450365
Slow	0.7542948377504667	0.31246628339180493	0.29826296869468494
Shape	1.0118313080169345	0.5711615549793917	0.5851451070168118
Face	0.8893682337654122	0.6237328935356852	0.49033362513087086
Body	1.0596990214008863	0.5228653546672793	0.3717341266492481
Touch	0.8848133558509794	0.5011694783791535	0.4852629440000403
Pain	0.9145857171962438	0.4586997619116334	0.3496081225407141
Audition	1.2931455802118124	0.3996508636541492	0.3524111088062174
Loud	1.4660342037974299	0.38057421833858107	0.3619524954557871
Low	0.6022791449968233	0.14739506458530524	0.15999322166377916
High	1.2747370208087865	0.33324878932757496	0.31610114973108205
Sound	1.3067151438014366	0.4238803060779504	0.3791632575953997
Music	0.9580836961744362	0.42359094602567604	0.2387060079834565
Speech	1.0360294270343962	0.5715704050044398	0.5085240464996368
Taste	0.7584435526675507	0.5243111668617265	0.3474051487316102
Smell	0.8587102921780658	0.46482265570433806	0.3472944730495306
Head	1.1327332900218523	0.5128563204084324	0.5142431704658414
UpperLimb	0.9802683108659481	0.4697652434886127	0.4705285842650295
LowerLimb	1.1559821914249229	0.33557593556659776	0.3087328617633742
Landmark	0.8850593420056405	0.46800305108139134	0.32739868896550195
Path	0.8280650472429508	0.3520546177315186	0.2931154786188107
Scene	0.7514454515967116	0.3683456759264584	0.3688433937562912
Near	1.0361933994096524	0.37794963648596835	0.3565353451678087
Toward	0.9633233003039979	0.38050173350913746	0.2981114725535431
Away	0.5933706670794499	0.21878354022910776	0.1593147657750571
Number	0.6181920384262013	0.23289485459128959	0.20865455134039168
Time	0.670014138552383	0.334372268018962	0.27308027106391247
Duration	0.6523617444712397	0.33469445939405706	0.29221059944503414
Long	0.8466781064995434	0.2544438459167553	0.24673071930237458
Short	0.6160362783606338	0.40878724688241574	0.4116485922497679
Consequential	0.8383965841912018	0.37667540251019876	0.39969023029005485
Social	1.2422966250479768	0.38311851111663886	0.3860076268360516
Human	1.0562600393198665	0.4317492715391104	0.44628130567605523
Communication	0.8249720508190611	0.4704006296360861	0.4892491507238493
Self	0.8136382553380634	0.37383962910024804	0.3783202961653337
Cognition	0.724459506149599	0.5389568292725977	0.44287576140420304
Benefit	1.1989323113991621	0.4236322519583606	0.393991758426046
Harm	1.0542975321758552	0.47135005118298307	0.38835359467974745
Pleasant	1.1296469721900513	0.4394311098720475	0.40508134882813557
Unpleasant	1.1920764966025115	0.4590158345637332	0.3714685059819551
Happy	1.2987793403855477	0.41604774177760995	0.39215162744123894
Sad	1.1577700956323373	0.3970349617018859	0.3153327503968681
Angry	0.9185203848232357	0.473513477655448	0.37637219988092363
Disgusted	1.1514907448727691	0.39577847193692606	0.3070389040160878
Fearful	1.2924066929184075	0.3684999861155817	0.33266172449549447
Surprised	0.7749357338514178	0.20441637022878725	0.17429135698127096
Drive	0.7076559486918399	0.2260361134952081	0.23656489921306365
Needs	0.8962534667064326	0.4717923222213729	0.4652652189012779
Attention	0.7152607355286853	0.25147170808123936	0.26079251126897346
Arousal	0.7657762850995231	0.23491019829908458	0.2776374307571824
