	mae	pearson	spearman
Vision	0.7787088782771535	0.4065843245668218	0.38616076217910256
Bright	1.3949836554307118	0.30109127901674027	0.23879350618814343
Dark	1.5593776329588016	0.2509632519866693	0.2235478759605987
Color	1.1272932209737827	0.2622299358772286	0.2693659817167037
Pattern	1.4347278370786518	0.24453850040447478	0.19803569940268295
Large	1.4455345786516856	0.3014241377453824	0.3027484269727941
Small	1.698470822097378	0.21167911500235703	0.17233224398466054
Motion	1.5970750769230768	0.155880772401045	0.20866184196729506
Biomotion	1.5115492565543072	0.3303933036367884	0.3381382153491379
Fast	1.6382131460674159	0.34670569163191534	0.41135881850715655
Slow	1.7507074494382022	0.12376800620148305	0.11006787990622956
Shape	1.2190689082397006	0.44119812248950935	0.5098586710645139
Face	1.791126670411985	0.36923023002705996	0.4027121246396651
Body	1.669004020599251	0.4239650271714693	0.41420867108193915
Touch	1.6947606928838952	0.23777723446095533	0.19887044968435563
Pain	1.7561037673545965	0.2202011914099644	0.23684044415832656
Audition	1.6493041423220973	0.1783230312666309	0.18823384630033363
Loud	1.2451683370786517	0.4132527729822069	0.39978963169514575
Low	2.017932790262172	0.07816182698660534	0.05211468884432225
High	1.6209838764044946	0.18288612276668462	0.1669113790865366
Sound	1.775217170411985	0.2003627124409039	0.17612546347876723
Music	2.0688619194756557	0.15914203341569075	0.17032273034411521
Speech	1.52589631835206	0.41486362042095204	0.47849246898420483
Taste	1.889844286516854	0.20718409003643165	0.19828859475470362
Smell	2.0468071029962545	0.12249437633370748	0.11021764289327805
Head	1.8897927359550564	0.04795845714969197	0.02417159390574376
UpperLimb	1.43576181835206	0.10314496070337953	0.052956103525466654
LowerLimb	1.6485747471910113	0.2061662682222714	0.26288235148192063
Landmark	1.6093219793621012	0.30589268126152347	0.2760643214545657
Path	2.1216491011235954	0.15439198180095662	0.15374439848047797
Scene	1.4248130767790264	0.12908685582746743	-0.03282277559847144
Near	0.8214479119850188	0.40273013488041676	0.406021705172986
Toward	1.5574015655430713	0.09195945781704967	0.053996221072441904
Away	1.7183441722846444	0.09585662393762145	0.041833822566093457
Number	2.0257852977528095	0.08382702066017211	0.0358020747433034
Time	1.4655168105065663	0.2126825403278897	0.18454338168472084
Duration	1.7589785280898875	0.016169384571974123	0.09273898582680454
Long	1.7465031610486887	-0.022751834672927997	0.1371238285054161
Short	1.5984144213483145	0.11328205439292102	0.2048406296987419
Consequential	1.9236431235955052	0.1754029846002484	0.1539818760039105
Social	0.8971321104868913	0.41314386036886913	0.44777003466752036
Human	0.8184322359550562	0.46312357236922036	0.5042647056506714
Communication	1.7305280767790263	0.26605202912900083	0.32616514718800116
Self	1.2779776484716159	0.33179898346614495	0.32970133102618565
Cognition	1.703348065543071	0.3185169224954964	0.33652985279077396
Benefit	1.2742914288389513	0.4676587656358189	0.36514929388254647
Harm	1.4954151928838952	0.33538486665251277	0.326926272422486
Pleasant	1.067138185741088	0.4737635657104871	0.3949925634653457
Unpleasant	1.455399808630394	0.16952921153529524	0.10459438242822415
Happy	1.236765299625468	0.5476913581819343	0.4886128680988606
Sad	1.8046413108614232	0.18477587923728223	0.26834567888715
Angry	1.897819833020638	0.33726894105854716	0.2717664564000744
Disgusted	1.3859201198501871	0.33914421842415615	0.24922735091208087
Fearful	1.532276286516854	0.43030033413765223	0.3578440039407593
Surprised	1.6240183651685394	0.14734254258954171	0.12229029866916195
Drive	1.4938941086142323	0.12822443828439906	0.13147784448688357
Needs	1.7617730505617977	0.20755985725235124	0.26345071264086184
Attention	1.300576966292135	0.03350781907939528	0.11027708630872066
Arousal	1.1810505299625467	0.26777772522972937	0.36032141439653453
