	mse	pearson	spearman
Vision	0.9080747231970507	0.5863898932621137	0.5655323888471819
Bright	1.4505505430709218	0.38794097233522296	0.4086431551074261
Dark	1.5121343411417765	0.22533281962983595	0.23642355114261218
Color	0.9215320735773898	0.5686552417931251	0.5657074172238927
Pattern	0.9044962411923445	0.5826245068151378	0.599130382176232
Large	1.1427725475388668	0.48823070547784003	0.4083940659978289
Small	1.0490260848178083	0.4864061830118366	0.42694936107089
Motion	0.8338336783364968	0.4505777429301337	0.4321915455611042
Biomotion	0.9954994766508418	0.5703474915787667	0.5304473709050239
Fast	1.0492752751712486	0.43468920991716314	0.41251536642792647
Slow	0.7712429053333157	0.1833874999418979	0.1653478156693672
Shape	0.9813483961907611	0.5746227422726793	0.589233430738308
Face	0.9023292856848266	0.5940009308084331	0.4371852966972936
Body	1.030214399530371	0.5100733990555775	0.36856449825296395
Touch	0.8506351721764995	0.471911028228395	0.45709631346903346
Pain	0.8776278287095938	0.4457308945395023	0.3304659004900962
Audition	0.9352665200860564	0.4694523464823123	0.4400979301066325
Loud	1.0679590585655612	0.4515217153121858	0.426324040787142
Low	0.5765101952736782	0.0761706216705538	0.06401770857916787
High	0.8921256126133867	0.4278938130591866	0.3955999651196335
Sound	0.9874307382528776	0.45648480600838426	0.423099936705826
Music	0.9749985987821763	0.38262265719958244	0.16070155440473383
Speech	0.8193043129613562	0.6138380934617128	0.5021278160132226
Taste	0.6821034229772364	0.5210105588520145	0.351457605183393
Smell	0.7913476937249669	0.43283108732125175	0.3183844228719156
Head	1.002023641713153	0.5331572483402085	0.5184995222589881
UpperLimb	0.937396839419581	0.41259231230578675	0.3987761130150218
LowerLimb	0.9207798112572994	0.3789583176491639	0.3712225925931395
Landmark	0.7598388047049525	0.4978256982485629	0.3415923744396177
Path	0.8846048238304579	0.28347009180494853	0.23042018815380422
Scene	0.6297476102475671	0.4600264622715778	0.45615503473385977
Near	0.9449188062847181	0.4151601882309473	0.3889930389277348
Toward	0.8385062677787731	0.3508824395295763	0.25726716553112033
Away	0.5109322589161123	0.10920595988832815	0.10369364972061874
Number	0.5534992753930563	0.24489881557877977	0.22782682673608962
Time	0.6407496603931214	0.305895810637488	0.24056543933146593
Duration	0.6395275999697193	0.32883186799198716	0.2842348577892035
Long	0.8067931830487527	0.25899830315102	0.24543279576640095
Short	0.5364392226885949	0.42733538065271476	0.4101260701253815
Consequential	0.5652312055465203	0.46902725591119754	0.48121035943618484
Social	0.9828200848319917	0.43701856086857405	0.45433019356249693
Human	0.8857535782008288	0.4377782301255098	0.44683123708880823
Communication	0.8405815456530347	0.42371128880303244	0.4467564568511123
Self	0.6792049433032566	0.4033327516446807	0.36836822374081374
Cognition	0.7135942667501907	0.5056070329795932	0.43396921047574966
Benefit	0.7494231716216018	0.5454548297358363	0.522228451774929
Harm	0.7619020978424128	0.5325855146225018	0.44437369406406235
Pleasant	0.9782109465362494	0.4592539177055075	0.4391645357226609
Unpleasant	0.6771685369733155	0.6284379828011148	0.5134434050264539
Happy	0.9442024092231283	0.4688291238244934	0.46263051548203044
Sad	0.6640490047892453	0.584867888151366	0.47756730618916904
Angry	0.6393609369349322	0.5612684334340063	0.46715407896373434
Disgusted	0.6567571139816708	0.574635409118094	0.4544370554478775
Fearful	0.7075386666200273	0.5817417393311928	0.47991836008099786
Surprised	0.6064635679325721	0.15205044839683443	0.141280045014659
Drive	0.5629171444092673	0.291942168815742	0.2869553826019702
Needs	1.1356540501090262	0.40589726720970737	0.4188185504916352
Attention	0.5069122147682481	0.31301933868928594	0.3118543346072673
Arousal	0.5949443754406876	0.29015801179318434	0.2762869498756996
