	mse	pearson	spearman
Vision	1.3494343320590236	0.791790291100859	0.744351714826949
Bright	0.9843110129288324	0.5592262071848317	0.5557441276922429
Dark	0.9850213510547932	0.4725488815409539	0.44943494431705056
Color	1.2332514359522004	0.7799552145227507	0.7288319788141471
Pattern	0.9040500858493449	0.7346130447660048	0.7377599105382355
Large	1.1888837768385716	0.7574655778086481	0.6892251558765251
Small	1.6187995642223423	0.591341444124813	0.5743421372471974
Motion	1.2018332927867252	0.7399833850771883	0.7252594019314034
Biomotion	1.4169775830699751	0.8115644982570442	0.6785067629720183
Fast	1.093171125436428	0.7034565431417639	0.6469052329056195
Slow	0.6322983004415021	0.47734714458712163	0.5166868375686015
Shape	1.3404312936627194	0.8211015160432563	0.8183654329465544
Face	1.1760379111707386	0.7912079606037341	0.5691226879264668
Body	1.3561459208981546	0.8015537257378254	0.6558063026536854
Touch	1.4614852622775119	0.6837698634961337	0.6773409732987483
Pain	0.6084902658718314	0.7395934655073477	0.5536710246858568
Audition	1.6635149665601006	0.7287291240521486	0.6658770612715486
Loud	1.2536273256742665	0.7475509071790097	0.6418298295293405
Low	0.32331549081094996	0.6723659974042204	0.5624000566722782
High	0.703825441440637	0.705427687841693	0.544090330613517
Sound	1.4912010633700883	0.7283726131348975	0.6475792242743953
Music	0.6572779547594101	0.7974469003051734	0.4608950711671341
Speech	1.1872838584784184	0.7869212126686967	0.628591636911189
Taste	0.8941784790848816	0.8055635253076341	0.433925778938191
Smell	1.0012812939321232	0.7293661608285154	0.585673626822566
Head	1.5052294239039061	0.7013092010550246	0.6323146137585366
UpperLimb	2.1665074848242085	0.6085708286456716	0.5702590115892782
LowerLimb	0.9265234045799755	0.6150852576424255	0.5309403537934555
Landmark	0.9784602674163614	0.7538105571529391	0.5176954937961012
Path	0.8408127178190707	0.7514012015550484	0.6332513994630249
Scene	1.1243399666534317	0.7170142097843397	0.6622986813834004
Near	0.9937113006692453	0.7251087369110016	0.6558465097664206
Toward	0.5650446463700115	0.6491475751469805	0.609006646373885
Away	0.6240405305110108	0.5419223719654813	0.47416477226402104
Number	0.4940063812190279	0.634685354438401	0.36460370075063964
Time	0.6576871823804271	0.6802993904941342	0.5350294732674792
Duration	0.778812099260714	0.7098635437400085	0.626416094584813
Long	0.7500682919769288	0.5470230222392818	0.5683605626742729
Short	0.6798502868159504	0.6504209007102453	0.6581571900202583
Consequential	0.8503438435794959	0.816664121586465	0.8006437068954622
Social	1.5053706418675268	0.7353467231550552	0.7164480453723976
Human	0.9939019944675669	0.8337892642849074	0.7450764694317242
Communication	1.0724541344031884	0.7404445612822792	0.703708578289389
Self	0.9314312301602559	0.6987416899541977	0.6404097573489173
Cognition	0.9264907882801359	0.7913447098276183	0.7245208275962254
Benefit	1.2819151173991574	0.6781617140477747	0.6831009240004866
Harm	1.2174325692185755	0.718129560671451	0.6383157541178892
Pleasant	1.6908254998080046	0.6299013367890911	0.6168002146916813
Unpleasant	1.1805177016025141	0.7580319347304805	0.5849997168120973
Happy	1.5573904221821129	0.6200138666995921	0.6000583047180046
Sad	0.6908000193182229	0.7445927779350153	0.637351509409083
Angry	0.7508479164692441	0.7125654293594105	0.6128275590086216
Disgusted	0.5509901729410212	0.6401787305634467	0.5011469652961584
Fearful	0.7835799536751636	0.739886282300702	0.6240532115213637
Surprised	0.6530714198728332	0.7097196572019648	0.6981739111781444
Drive	0.9786558692877497	0.6298977148739345	0.6223947170013455
Needs	1.3805106284348445	0.6580439630347896	0.6313581297309747
Attention	0.9858619199480781	0.7017598488297201	0.665771298019168
Arousal	1.0091503457027249	0.7234137739544318	0.7127131508816873
Average	1.0475044840957668	0.703805978047213	0.6218717711391164
Std	0.3576287390084807	0.08172714724650643	0.08973785909475636
Avg ± Std	1.048 ± 0.358	0.704 ± 0.082	0.622 ± 0.090
