	mse	rho
Vision	1.3493295855443368	0.7495401804436987
Bright	0.9843775294757712	0.5605803248413934
Dark	0.985098721534506	0.4468203485545467
Color	1.232665605973234	0.7281476519091545
Pattern	0.9038618268718013	0.7440197414451454
Large	1.188641704799631	0.6973316094732486
Small	1.6184290277454036	0.5755300893305004
Motion	1.201617620883003	0.7288765238927207
Biomotion	1.4162758660458483	0.6769067622508428
Fast	1.093112555547035	0.6476117734386618
Slow	0.6321039485716917	0.5124297038343436
Shape	1.3398552279596119	0.8210940236198222
Face	1.1756610623200925	0.5766470323830631
Body	1.3560778176718675	0.6548640716065555
Touch	1.4609136315568216	0.6833489659196503
Pain	0.6084000279094955	0.5547707309586093
Audition	1.663555176606438	0.6655157949037411
Loud	1.2536781754834203	0.640154126242805
Low	0.3234071439868483	0.5532634037028946
High	0.7036318657145401	0.5506948452833869
Sound	1.4912374868715308	0.6478962183738075
Music	0.6573131884751445	0.452075723255348
Speech	1.1866536725378447	0.6278973768362871
Taste	0.8942008133311172	0.43707553078831485
Smell	1.0010174633040627	0.5948187704726359
Head	1.5047219390471445	0.6420266180629065
UpperLimb	2.1658749921929896	0.5799974564331853
LowerLimb	0.9263389868074315	0.5415686097842948
Landmark	0.9784101778607308	0.5275569475596553
Path	0.8407719742713884	0.6401074103077188
Scene	1.1242803338039147	0.6626623525217613
Near	0.9933318130925021	0.6612935553649658
Toward	0.5649561768957212	0.6092455715950774
Away	0.6242151936544517	0.4765139621123436
Number	0.49418931155253004	0.3723046294208065
Time	0.6576951625241342	0.533784211090804
Duration	0.7787030768845178	0.6378296555956908
Long	0.7503523515976872	0.5701054176122643
Short	0.6795775203512129	0.6695609776491448
Consequential	0.8503883529027816	0.8010813214590111
Social	1.5052805364323423	0.7166302306966101
Human	0.993428882738773	0.749211868584594
Communication	1.0720391791056894	0.7111947664081579
Self	0.9310707938636373	0.6466772905442264
Cognition	0.9262516057757578	0.7204236332149107
Benefit	1.2816842096289833	0.6916681243403169
Harm	1.217270732155734	0.6385696286214713
Pleasant	1.6908270359200652	0.6225564710482329
Unpleasant	1.1802642897836189	0.5837742860735616
Happy	1.5576183086067812	0.6111280283964801
Sad	0.6906157482118989	0.6321219474634147
Angry	0.7505116782781212	0.6131054205471232
Disgusted	0.5510086588120545	0.49846765206590543
Fearful	0.7835497070977728	0.6248539460736748
Surprised	0.6532796945057611	0.6984220018308699
Drive	0.9782451555137225	0.6275453077378415
Needs	1.3800246848819417	0.6331922780367106
Attention	0.9857049902304406	0.6728036220532668
Arousal	1.0094025742218065	0.7190208773027719
average	1.0473390267105958	0.6248291084978129
std	0.357529783021012	0.09023936456969414
Avg ± Std	1.047 ± 0.358	0.625 ± 0.090
