	mse	pearson	spearman
Vision	1.4746800922092986	0.7648281174337223	0.714965971263258
Bright	1.2296603043216012	0.5103400063645548	0.5123761673624294
Dark	1.4759503082699659	0.2878375352287406	0.2617890561930462
Color	1.5652956268245912	0.7225064441552472	0.6553245851651207
Pattern	1.0870702327629853	0.6908060944396849	0.7013058380290109
Large	2.010505378813499	0.6038787624256958	0.5319113524783825
Small	1.9637002878049974	0.5505607992753864	0.5299818270095882
Motion	1.391368539188601	0.7113568695815242	0.7000005791561901
Biomotion	1.9075857710000856	0.7584929729860325	0.6406010990484776
Fast	1.2349179465869147	0.6785479816605966	0.6459809576705036
Slow	0.7894273663603277	0.4272386530094122	0.43576593280452514
Shape	1.7915112404387223	0.7676929995893909	0.7612286267556596
Face	1.625541970661835	0.7174363401985567	0.46239092195899945
Body	1.60063736954381	0.7731469852086877	0.6319008029307432
Touch	1.8385387372194608	0.6253084727747955	0.6339043679092724
Pain	0.7346935371335053	0.6922696941032519	0.517933188998771
Audition	2.327629563722704	0.634444604707582	0.5870903249152399
Loud	1.9372979695023802	0.6262546975872092	0.518681291197757
Low	0.49671591070500165	0.5219723205525116	0.4177169037668723
High	0.9706104380892245	0.6139220177456941	0.473002876438367
Sound	2.2532434298402926	0.6203641473200727	0.5417159144351592
Music	0.7706333657335365	0.7710115329908203	0.34322014621228764
Speech	1.7056734410103633	0.7011293271694818	0.4887788702911092
Taste	1.1698338741765357	0.7582983998347669	0.3962203773196309
Smell	1.3006241304624453	0.6640216016767913	0.5316096559780081
Head	2.6191455686955876	0.5132316105064648	0.5052609493980842
UpperLimb	2.4555103112316385	0.5892098816478205	0.583653625503134
LowerLimb	1.5271574575837417	0.48233524837931563	0.42086598419470655
Landmark	1.0705387467810017	0.7371422216978443	0.48647484341417024
Path	1.050464707859528	0.7046592855882989	0.5795689696647652
Scene	1.445094532037364	0.6542811507366174	0.5945307245819947
Near	1.9340653754260937	0.5274663094405401	0.46683002770914195
Toward	0.8247602221347853	0.5411173088788005	0.5269994504291773
Away	0.7818735269267938	0.4746059364970826	0.43226162028924187
Number	0.6449943444193306	0.5509136859314402	0.3221963796609186
Time	0.8178665452690025	0.6053307140150903	0.41117063320873815
Duration	0.9617008377057141	0.6550376750610879	0.5560709211360224
Long	0.788666303242009	0.5400481554923873	0.5584687797276621
Short	0.8637786039732319	0.5814501987663722	0.5941792258014154
Consequential	1.0009757895427318	0.7792782180743021	0.7606577423748326
Social	1.525816401401561	0.740376490575889	0.7193386746999291
Human	1.1619904863452315	0.8084686966368922	0.7026353138878637
Communication	1.2746813764243905	0.7003452321057138	0.6742133459901377
Self	1.2641887262340716	0.5954756744412257	0.5456210574553852
Cognition	1.1907079693841691	0.7339869712781375	0.6534431311414239
Benefit	1.5120785403222032	0.6341838471326489	0.6282584545761665
Harm	1.594026933663939	0.632963677369929	0.5362305502831101
Pleasant	1.9526799703791595	0.5860103449714058	0.5763363530953541
Unpleasant	1.4956096710942621	0.6926653122796373	0.5380410971988173
Happy	1.787463321792335	0.5855852481798551	0.5740849790375091
Sad	0.9165954388366409	0.6584924655174312	0.5669528753061689
Angry	0.9807964215264329	0.6293618033149598	0.5234340978445946
Disgusted	0.6693196451256502	0.5708163173703124	0.48152381661354077
Fearful	1.0189565177795656	0.6453652329391727	0.5329178208980642
Surprised	0.9420343147656727	0.6026769818002919	0.5788506158836005
Drive	1.0734017829400784	0.6110922376574563	0.6135666548892494
Needs	1.8748232210143105	0.5594951469936904	0.5164227783313535
Attention	1.65126620174328	0.5379863332312562	0.4994849291773947
Arousal	1.325040509220522	0.6441923616632138	0.6374772606430887
Average	1.3669731721221143	0.6321917856642849	0.5514139206666977
Std	0.4894097576523935	0.0988223041078331	0.10474294808650626
Avg ± Std	1.367 ± 0.489	0.632 ± 0.099	0.551 ± 0.105
