	mse	rho
Vision	1.4746774731205086	0.7197190061489069
Bright	1.2299073419968936	0.5221363475034171
Dark	1.4763729604936284	0.26846041554983124
Color	1.5646783713953176	0.6622214866272655
Pattern	1.0865351519188837	0.705471944550558
Large	2.010324324663328	0.5356968287757959
Small	1.9640643907815225	0.5325396155617734
Motion	1.3916837108535347	0.7085957185016472
Biomotion	1.907575495191736	0.6374304222067485
Fast	1.2350254472734032	0.6509748147938602
Slow	0.7892348497597144	0.43509718031100025
Shape	1.790602178836432	0.7667256899387658
Face	1.6251573835340776	0.4704141409594031
Body	1.600255883862174	0.6289384323092744
Touch	1.8377878353264312	0.6388885268177467
Pain	0.7346629239838628	0.52280790029252
Audition	2.3274141484461994	0.5940692337169576
Loud	1.9369574771508782	0.5217565742931242
Low	0.49676718011656595	0.42077069609172957
High	0.9705075191503089	0.4743879885056152
Sound	2.2529326299262893	0.5515026171832746
Music	0.7706094945816788	0.33953390227136127
Speech	1.704719261998756	0.49075600976676775
Taste	1.1698292360869715	0.3881370057492653
Smell	1.3003842758164494	0.5277458425007008
Head	2.6185963268724586	0.5191277379443787
UpperLimb	2.4556783488766873	0.5921764133995753
LowerLimb	1.5275227660349149	0.4245679152292895
Landmark	1.0707610749284566	0.4836634093823944
Path	1.0505174655093683	0.5814036482598993
Scene	1.444530821538112	0.588115703538319
Near	1.9336434764310357	0.475277915268563
Toward	0.8250576090533338	0.5252109411319479
Away	0.7818743854404911	0.43209140785382993
Number	0.6453500140771042	0.31455036762010036
Time	0.8177595826491342	0.4188525655994235
Duration	0.9613154407825677	0.5681510090158179
Long	0.7886541870578354	0.5580981709339824
Short	0.8635993651724817	0.6037924211201273
Consequential	1.0010484641467456	0.7664166475797239
Social	1.5254432652897887	0.7121978169759594
Human	1.1611978063837456	0.713153294342935
Communication	1.2746875956349137	0.6756978950884657
Self	1.2639305649981887	0.5603049524234154
Cognition	1.190710432235749	0.6648035849460974
Benefit	1.5124732779153598	0.6295776048673648
Harm	1.5947245964264338	0.5415096776926506
Pleasant	1.9531126052897598	0.5835090222511948
Unpleasant	1.4960992948678524	0.5291377802540668
Happy	1.788525986737059	0.5761526435552525
Sad	0.9167182294878992	0.5601023140797949
Angry	0.9804459649133112	0.5201142492632506
Disgusted	0.6696809806091153	0.48322014094464155
Fearful	1.0189909483419612	0.5338119799122959
Surprised	0.9419919414540188	0.5906674596230312
Drive	1.0734879665240953	0.6099134952394453
Needs	1.8747615780115323	0.5164041470834675
Attention	1.6515823787309756	0.5055627785042308
Arousal	1.3249007848727627	0.6420871820550701
average	1.3669159741281491	0.5544780107441918
std	0.4893532914141763	0.10589013152220426
Avg ± Std	1.367 ± 0.489	0.554 ± 0.106
