	mse	pearson	spearman
Vision	1.5516274784038662	0.7624907496572515	0.7010928954043973
Bright	1.170726508685161	0.5021209732810564	0.5253979854550663
Dark	1.4527829199900273	0.3106958500321615	0.3162160053375547
Color	1.5322716593730987	0.7276033424189964	0.6743914300056846
Pattern	0.9578197019169753	0.7306169548624892	0.7364669647553697
Large	1.1367017535265647	0.7659772180030624	0.7003124001575401
Small	1.5770028424864957	0.6245903534008134	0.5912856393127623
Motion	1.271686899518414	0.7381489053116603	0.7149079163870351
Biomotion	1.3886661554640258	0.8250270710504658	0.6833925221902716
Fast	1.0888176586354592	0.7198917858951398	0.6399920885045499
Slow	0.7537515819252937	0.4355716241117399	0.4729418048859163
Shape	1.533855670893305	0.803376259170346	0.8015097174650487
Face	1.2113504369923238	0.7889819120902779	0.5696975524419434
Body	1.3041079867406367	0.816287594197337	0.6861124901087432
Touch	1.2728668327698387	0.7129751992956608	0.6916357400663131
Pain	0.6491670624070949	0.7168230993344512	0.4983943953891495
Audition	1.948102288816432	0.690544025559187	0.6358722041313751
Loud	1.361803997944684	0.7255506355141158	0.6223761811022832
Low	0.36321804269850977	0.6506785377179642	0.5424559982819226
High	0.9336865932493124	0.6254877539782051	0.4874780031672842
Sound	1.5910969541075815	0.7208461467326627	0.6271960291919475
Music	0.8213943430994559	0.7316958591742388	0.3766265286870412
Speech	1.4867414916243162	0.7412054910739178	0.5776942363847163
Taste	0.8277507790331272	0.8148519368921411	0.4288675215579354
Smell	1.1475112822772338	0.6894653668338873	0.5267362804309046
Head	2.3998555386213924	0.5707126803285789	0.5339381589799574
UpperLimb	2.29773751210766	0.5959156770220938	0.5736388603152693
LowerLimb	1.119904566475021	0.577579953520169	0.5118632567630329
Landmark	0.7185582343537805	0.8294384114287492	0.5677345231439006
Path	0.8723681464543397	0.7462884920779572	0.5798039973478079
Scene	1.1632580363908354	0.7168409273806218	0.6776605216120789
Near	1.2839331181228053	0.6554919663461631	0.5849057572376226
Toward	0.6924934291214404	0.6150987237691827	0.5829163101773887
Away	0.7171039376966469	0.5522251215456313	0.4877216455828341
Number	0.597811636222315	0.5810976962396889	0.34720311329688414
Time	0.6803936356551368	0.6769693455391681	0.493116927651604
Duration	1.1413954456308408	0.6019944068796148	0.5096668257324488
Long	0.8450414454014062	0.5540510519223345	0.5881478421358212
Short	0.7299311680579792	0.6435474074937801	0.6224429442039974
Consequential	1.0178899939237203	0.7795506597392067	0.7639461841753438
Social	1.5158195237081156	0.7398945121915245	0.7203975434484805
Human	1.147829336223766	0.8125911852450445	0.699155554677759
Communication	1.3664645035489051	0.6889424993144526	0.6427508204059794
Self	1.2325039519277567	0.6351782036781404	0.5558626908381477
Cognition	1.025079854917328	0.7736874222061111	0.711823586889798
Benefit	1.3999337421816143	0.6686418315434433	0.6592298178034991
Harm	1.3985713405533948	0.673479638991868	0.6079869873842775
Pleasant	1.497022765094251	0.6676639967894641	0.6507891643226867
Unpleasant	1.3676838018874904	0.7151531996739692	0.5540127762276671
Happy	1.5649919257872433	0.6291404453116358	0.6075204099241416
Sad	0.9612924783875936	0.6504357132299714	0.5359912175613241
Angry	0.9167171076387056	0.6545064498855135	0.5516221299700055
Disgusted	0.5817249952761407	0.6223612649009127	0.46978606210801316
Fearful	0.7865683982531003	0.7294242453275641	0.5808848624153924
Surprised	0.6883078450422022	0.6917676130237937	0.6570804480180785
Drive	0.8390245367623365	0.6782919842545765	0.6695207237968143
Needs	1.6178694664157756	0.6304748840409857	0.5733078477993374
Attention	1.1873362706745878	0.6586296699707882	0.6234918543256516
Arousal	0.9649374757449578	0.7315988643802422	0.716573566013991
Average	1.163929899776946	0.6800028947590202	0.5939244993744031
Std	0.40034359729260116	0.09534460627277778	0.09979510849774163
Avg ± Std	1.164 ± 0.400	0.680 ± 0.095	0.594 ± 0.100
