	mse	rho
Vision	1.551111304806413	0.7041078828389288
Bright	1.1709310057643525	0.5239123881669816
Dark	1.4522802748190615	0.32494955687672833
Color	1.5322704183987201	0.6751610950845188
Pattern	0.9573355959902502	0.7313089890940334
Large	1.1365014184124722	0.7129191719426367
Small	1.576807992794867	0.5964871597318828
Motion	1.2715628488158268	0.7186384696131625
Biomotion	1.38826216859915	0.6860087434197255
Fast	1.0884985668422746	0.6400554129896888
Slow	0.7536384437611822	0.46950458903539877
Shape	1.5336384349726364	0.800914396463801
Face	1.2108046410035014	0.581505662062186
Body	1.3033721463161188	0.6876320286908089
Touch	1.2727313527767623	0.6972086344725679
Pain	0.6494465796996366	0.49727468177738465
Audition	1.9477078682638005	0.6432733374111548
Loud	1.361623355751545	0.6209167709958208
Low	0.3633293415726545	0.5451942379925189
High	0.9335387360900937	0.48626823451977275
Sound	1.5913384609657126	0.6330701490102619
Music	0.8211269405770227	0.37304364833418174
Speech	1.4861602704024006	0.5773342908356575
Taste	0.8276424225435528	0.4225897008715203
Smell	1.1474712469524804	0.5335354608524411
Head	2.3997207581641073	0.5458029173761593
UpperLimb	2.2972737917509267	0.5807989065191012
LowerLimb	1.1195974942020002	0.5152848102879717
Landmark	0.7188228242683465	0.5664537151462179
Path	0.8722674138702672	0.5804269804299564
Scene	1.1638107315492803	0.6690910289683035
Near	1.283493351600244	0.5917625429716739
Toward	0.6926443293353267	0.5813314341284541
Away	0.7169876950413745	0.48335924589052615
Number	0.5981395151009785	0.3551971365567805
Time	0.6804139807902585	0.5065572628692855
Duration	1.141008421774636	0.5098247005100193
Long	0.8453069270341513	0.5829263961148302
Short	0.7299467575582995	0.6305315356230943
Consequential	1.018279238678478	0.7718092675747515
Social	1.5154023471366302	0.731354599968836
Human	1.1474551963935433	0.7118783526982901
Communication	1.3659937867153173	0.65672963916403
Self	1.231774049532153	0.568823153937352
Cognition	1.0248214112395069	0.7162761017266019
Benefit	1.4003107903034384	0.6725229909404854
Harm	1.3987695959625928	0.6160141374033133
Pleasant	1.4975909852820313	0.6595001957929979
Unpleasant	1.3683629466710368	0.5501703664915466
Happy	1.565490181461788	0.6220531388946379
Sad	0.9615635917612878	0.5374548253889785
Angry	0.9168954346785612	0.5569504716533262
Disgusted	0.5821398954674902	0.46992392863928856
Fearful	0.7866136453959985	0.5802079763960252
Surprised	0.6883083937139174	0.6746377488944291
Drive	0.8391963545541181	0.6959916731003207
Needs	1.617153085790749	0.5783858429605955
Attention	1.1875785924408009	0.63024704166646
Arousal	0.9647850116305806	0.7273117361982422
average	1.1638483112498763	0.598481466033333
std	0.4002342519671653	0.10144056346727261
Avg ± Std	1.164 ± 0.400	0.598 ± 0.101
