	mse	rho
accident	0.8701983782600965	0.7702539131288954
accordion	1.4797802521207597	0.7730940606637589
activist	0.6433902144260902	0.8439040021087459
actor	0.6863507157022003	0.8210360654844715
advantage	1.1242331731141109	0.7481380177810754
advice	0.9561845189191933	0.7448364217131236
aggressive	0.5665237348139939	0.7473398495375103
agreement	0.4627487095904747	0.8134911533577385
airport	0.5253572576430613	0.8045729434217999
alligator	1.990085996732113	0.4349770692157146
ambulance	1.1112575667703883	0.8120661431824451
analogy	0.8799563235769032	0.6804835753022577
angry	0.8106564866979492	0.7728714979208412
animosity	0.5924152136384724	0.7052460667474716
ant	2.2013339990927907	0.6772105244344442
apartment	0.5847527424491281	0.7427081379469906
apology	0.45178975681034506	0.8072432479576553
applause	1.400895075143495	0.6789045478006943
approached	1.3216079957423565	0.7544467632786742
apricot	1.2838804225809834	0.7510644617961274
arm	0.34567194349335406	0.917521968140943
army	2.3338666527781635	0.7562362152762433
arrested	1.1256682386092196	0.6940547366181506
artist	0.369059218551829	0.8701841938563946
asparagus	1.0216669304192398	0.6347710049401135
ate	0.5552698787489464	0.8917726238724946
attribute	1.239419676589685	0.6064898778350405
audience	1.4518429169145524	0.6871693424586579
author	0.4685588935082492	0.879863232340718
avalanche	0.9703285457308709	0.8690822947494146
awe	0.8675158204318079	0.7334619286521901
axe	0.449448861090697	0.8169739518742805
bagpipe	2.311089742022429	0.6751155333626361
ball	1.3391033025758463	0.6984310826915838
banana	0.67437140371113	0.760515756330865
banjo	0.6905041475335219	0.8070941491125699
banker	0.45230690591633677	0.8595779212009615
bar	0.7394946311082647	0.7070515332479188
barbecue	1.2859857967611326	0.7357679171553636
baseball	1.1967855209922922	0.61792141594326
battle	1.7827634845452045	0.7181608503165708
bay	0.9425091874529385	0.7919432267167975
beach	1.1757208741768552	0.7805192248250157
bed	1.194063076311016	0.6349170550159787
bee	1.2678118071679425	0.7092522085704526
beer	1.338864999779062	0.634646905279067
belch	2.623103491026119	0.17244607966791828
belief	0.4795783923307227	0.785882000150946
bell	3.3445304280242585	0.5003874095645083
bicycle	1.2743283935364325	0.7626286718065546
big	0.8418256772853558	0.523021378429453
bird	1.2315765664351799	0.7706430664630427
black	0.935573347899536	0.5398300673326714
blocked	0.6997839195490942	0.5155576500414645
blue	0.6882271154391465	0.5222665597215596
blueberry	0.7399055462441863	0.7135699718727457
boat	0.2334103043730576	0.9343527465343355
bonfire	1.7686353910057628	0.6332972979132351
book	0.772316997323604	0.8298368426028865
bought	1.3997157846662804	0.6588899797979371
boy	0.7656095271085894	0.8509587511966402
bread	0.7931669135839453	0.8288797998987821
bribe	0.6382508063390768	0.7359311483955732
bridge	0.555874936703099	0.7477848674127813
broccoli	0.5431249234525081	0.7271968751625983
broke	2.08421019045964	0.5085286108126746
bugle	1.3119988473599562	0.6196986431480573
built	0.5621916301340786	0.8113930094953591
bus	0.9381732545338158	0.6580332490940488
business	0.9372001650050651	0.6218168765031411
businessman	0.33998780669152945	0.9134973033756547
butterfly	1.276016399218739	0.5979440958666877
cab	3.115776727640813	0.535463237958362
cabbage	0.5603978911840488	0.8027367458449696
cabinet	3.813940113416323	0.1423076234181961
cafeteria	0.47940900474653464	0.81965978253822
camel	1.2040832818475917	0.7931720081225578
camera	1.4552943476525455	0.4411571634919625
car	0.5885319983559674	0.9032427888553437
carnival	0.7534879367388336	0.8504823514478753
carriage	0.6809935919985596	0.7367053111044299
carried	1.18472984680914	0.6849776236326496
carrot	0.6687173273004394	0.8306999764325425
cash	2.5669170267095653	0.5804104129549931
cathedral	0.5710364176441415	0.7071346238389051
celebrated	1.722117444083154	0.5221343861373557
cellphone	2.3967363274461793	0.6236553236860257
chair	1.641519600938081	0.306176632405616
cheese	0.5786938823447698	0.8201542300130811
cheetah	1.9992794232967623	0.5025501720168286
cherry	1.0360914499814604	0.7684616533670074
