	mse	rho
Vision	2.5789074985018727	0.7221518583987481
Bright	0.9706004005243446	0.7162774745910415
Dark	0.4727577637078652	0.7009039604601981
Color	1.2079270577153558	0.7222516854710471
Pattern	1.0298924907490636	0.746754490348655
Large	0.8198024894943821	0.755132956918063
Small	1.1711410724906366	0.6412381397192081
Motion	1.3019455982958803	0.743451240809475
Biomotion	2.3354949209176032	0.6912696716429244
Fast	0.6398155670224719	0.7397081129934931
Slow	0.8410387695692885	0.5710292290820402
Shape	1.1254424072284643	0.837890601288728
Face	1.0813256682958803	0.6744472695147323
Body	1.9204301575093639	0.6641221595051193
Touch	0.9227699873782772	0.8333419440168179
Pain	0.5713051601310861	0.668051024641983
Audition	1.3680142874719101	0.6629875404485105
Loud	0.9353034866104869	0.684789465063233
Low	0.6418923309737827	0.5606901523761251
High	0.478353624906367	0.595414746402927
Sound	0.973380343988764	0.7058120921208438
Music	0.7452158324719101	0.567255861537138
Speech	1.6445280190636706	0.726657242017412
Taste	0.5836602410486892	0.5380463301754979
Smell	1.1192378776029963	0.7788854665849688
Head	1.402350525674157	0.6427393670452536
UpperLimb	1.1662349678277153	0.7192093475413203
LowerLimb	0.6502286847191011	0.599097713809914
Landmark	0.6692822929026218	0.7068196764543183
Path	0.7344456559550562	0.6679226571503316
Scene	0.9786423999812733	0.7691308569703498
Near	0.9028976500936329	0.7253306320979648
Toward	0.985285447340824	0.49079639661163166
Away	1.1122658980524343	0.48392521552752865
Number	0.491345776423221	0.3495651917510591
Time	0.5645350055805243	0.6134242412626743
Duration	0.9665565043632959	0.6600070424929441
Long	1.131679835318352	0.6665985056521214
Short	0.7976198310299626	0.751686093837463
Consequential	2.1637165201685398	0.7668903367632517
Social	2.174399759456929	0.8055886414811328
Human	2.835030089250936	0.8019123059734714
Communication	1.4037006411985018	0.7924237736376797
Self	1.4737197742322097	0.6775984197833492
Cognition	1.6785259361235956	0.7691683266860025
Benefit	1.0729268662921347	0.7695347303821602
Harm	0.7285319972471911	0.7563176876597614
Pleasant	0.840292059775281	0.8338309759673822
Unpleasant	0.5639046730337078	0.7182886880409921
Happy	0.8543771661048688	0.825843876116962
Sad	0.47416914250936326	0.6972786829990881
Angry	0.481890590318352	0.6815085296344636
Disgusted	0.3974067233520599	0.5943736246601146
Fearful	0.4032987384831461	0.7511987655335138
Surprised	0.6309327598127341	0.6584468691449031
Drive	1.0211731909550563	0.6345961639084464
Needs	1.1864008015355805	0.7275475312150262
Attention	0.8748021553558053	0.7565122565392955
Arousal	1.2574911052621722	0.7236998100735554
average	1.0601736308373009	0.6921588754327858
std	0.5376485289298075	0.09303636010580509
Avg ± Std	1.060 ± 0.538	0.692 ± 0.093
