	mse	rho
accident	6.161625085423728	-0.129179774763032
accordion	6.174830618135593	-0.06761370674263209
activist	7.635531149661017	-0.0024879084685426847
actor	5.904911194067797	0.06547245717154962
advantage	3.7381762711864406	-0.09879765017188591
advice	6.157588061016949	-0.06241559703205843
aggressive	6.288265123220338	-0.18560549217513764
agreement	4.452201384237288	-0.11551816850995503
airport	5.5294216537288134	0.007463388752989323
alligator	6.9688630138983045	-0.28871770876345954
ambulance	8.100753331525423	-0.1988309218932514
analogy	2.8123577281355936	-0.02142174202485859
angry	5.361916915254237	0.01297010711859135
animosity	5.311386743898306	-0.1406338351949567
ant	3.590378286101695	0.006553902994176521
apartment	4.3488288661016945	0.037091485325728174
apology	4.636661880338983	0.010890712440345136
applause	6.397432754406779	-0.1336282278341839
approached	5.612667781186442	-0.2572082708863437
apricot	5.139396347288134	-0.004058744640007939
arm	5.480043126779661	0.16034223700174222
army	5.988988119152543	-0.13237505784368464
arrested	5.605088927288136	-0.20750455551981214
artist	7.146780872542373	-0.03001010297231989
asparagus	4.7771140901694915	0.006235568877275079
ate	7.746058329322034	-0.16906462784675677
attribute	1.9685169491525423	0.020805388668641126
audience	4.556223880169491	0.017361770008001272
author	6.549930578474575	-0.06205932287828944
avalanche	11.173971885762713	-0.2725908325289528
awe	5.7589938610169495	-0.0992930805186734
axe	5.783463842542372	-0.12346380943856015
bagpipe	6.977267157627119	-0.008404078760765774
ball	4.959956207288135	0.09597481221228006
banana	7.107795445932204	-0.03015423799259898
banjo	5.682738079830508	-0.2070351958521121
banker	4.15223985118644	0.10887515631212834
bar	3.616554705084746	0.11174190812062851
barbecue	5.261914257457627	-0.12863076832428177
baseball	6.670024611694915	-0.05440832503943372
battle	7.615017935762713	-0.2172359144435791
bay	3.94688862220339	-0.011271321437156393
beach	4.665217548474575	0.16417071993885693
bed	5.5959985318644065	-0.08394335027628141
bee	5.355383820677967	-0.05564248654069241
beer	5.220769115593221	-0.12469445302676567
belch	6.9013493038983045	-0.3032330803114707
belief	6.048945716949153	-0.2188551215315402
bell	5.6472044450847445	-0.16471606708401546
bicycle	5.940271526101696	0.056542228806428924
big	2.8591400006779666	-0.04063717725478723
bird	5.453279073220339	0.09780486083503444
black	3.339956384915254	0.16883338561827113
blocked	2.084714385423729	0.10551305372102204
blue	3.147359615423729	0.009225249323704186
blueberry	6.125269875084745	-0.08609303295885108
boat	3.39768227338983	0.11030892771894159
bonfire	5.081334427288135	0.0469927202424167
book	5.421855330338984	0.04565889438773994
bought	4.33572791559322	-0.020373059066662823
boy	5.164240113728813	0.1467840316693058
bread	6.287210977966102	-0.07393830734865878
bribe	5.369514303728814	-0.13620651147548574
bridge	5.049231374067797	-0.09968929069657236
broccoli	5.929754878305085	0.032144806052504984
broke	4.420541341525424	-0.16316269493369998
bugle	6.781913577457628	-0.2164260250044087
built	5.11881535220339	0.03795308625214804
bus	5.007996074915255	-0.09100915912452368
business	4.9638680915254225	-0.10467017712707721
businessman	4.82365325881356	0.1473367672114793
butterfly	5.435896648644068	0.11944839416131373
cab	4.104070283220339	-0.03116256923222219
cabbage	4.49967280661017	0.01297477079847898
cabinet	3.363026166779661	0.01509948030220483
cafeteria	3.5084668933898304	0.10356919584152072
camel	4.052493446949152	-0.02750565700534713
camera	3.600215064745763	0.1692211284527263
car	5.303820231016949	0.0562224589958111
carnival	6.325362954915254	-0.03680697061611229
carriage	2.9887511889830503	0.05858470199814366
carried	4.223043126949152	0.0750548799047709
carrot	6.3016367101694915	-0.17606126624486299
cash	5.063362193728813	0.19376611169642755
cathedral	5.022145989322033	-0.05098423329791985
celebrated	5.721670923559323	-0.19642455161345868
cellphone	6.975820939491526	-0.03370736223869247
chair	4.127386782542373	0.021774256585007874
cheese	5.43349062220339	-0.003641282334335427
cheetah	6.851663405932204	-0.1268577184225477
cherry	5.487109605254238	-0.1051374021444734
chestnut	3.6743303362711863	-0.07298979975588106
chicken	3.2046696805084753	0.19135797885660977
child	6.004891942372881	-0.030361602336638316
chime	5.191376573220339	-0.18757783224407404
chipmunk	4.238924407627119	0.1247191765095979
chocolate	7.607803555762712	-0.1379875961811565
choir	6.554277838135594	-0.10032666743489475
church	5.204073885084745	0.005405457924114565
circus	5.252884504406779	0.08001543424976873
clang	5.78945985	-0.1612023258014103
clarinet	6.467313330847457	-0.15695814686037995
clever	4.514292319152542	-0.059910126761194046
cloud	4.486544708813559	0.030982200417511357
clue	2.682492630677966	-0.08955963993218882
coffee	7.937279132372881	-0.13414571131720357
cold	2.4414048516949154	0.12298062528658141
college	6.085470778135594	0.1249510897575879
comb	3.8933499786440677	0.20651045507396554
commander	5.239689779491526	-0.032621833022436514
company	4.0812220001694905	-0.01289892592731619
computer	5.111565991694915	-0.024687031867975343
corkscrew	3.6742122040677967	0.16094781660487512
corn	5.962368061016949	-0.17006594135539194
cough	6.171785537457627	-0.44658424587840684
council	4.086329817457627	0.07796787639304284
couple	5.292150192881356	0.0015629611871335759
