	mse	rho
accident	6.525474576949152	-0.11484144267309071
accordion	6.172856719830509	-0.10918660901429378
activist	4.613139963220339	0.10015535535149936
actor	4.063569838135593	0.14762576038205943
advantage	7.289735593220339	-0.20507956396988378
advice	6.0337599254237295	-0.10033142215127631
aggressive	6.593518004576271	-0.2800937214606171
agreement	8.74995833338983	-0.041449527979991733
airport	4.9986253825423725	0.030963979949461755
alligator	6.851735217288136	-0.37897788308782066
ambulance	6.612652653559322	-0.15682163198139687
analogy	7.226276711186439	0.08762414067984788
angry	5.010225728813558	-0.1357712087495573
animosity	5.697518947288136	-0.04215368656031756
ant	3.794375235254237	0.1569855809776178
apartment	4.898350561016949	0.1408056852162868
apology	5.1918605244067795	0.11812235315662452
applause	7.215738856101695	-0.07273389331777917
approached	7.478606764237289	-0.2604104935589267
apricot	5.410724821864406	0.09390215918213371
arm	5.167960075932204	0.0745837237180305
army	5.161994220847458	-0.2379663714517894
arrested	5.312965198474577	-0.18198585779927717
artist	5.70993544881356	0.08473103061886546
asparagus	6.483935785084746	0.015363216546164397
ate	6.300883075084745	-0.23479028847956707
attribute	7.052076271186441	0.08129486555083704
audience	6.045530320847457	-0.002520157330505976
author	4.730273968305086	0.08484871772673548
avalanche	8.569910190847459	-0.3561082731877973
awe	5.869649793220339	0.0705555027795275
axe	6.279650622203391	-0.17694076379997675
bagpipe	7.6248017338983045	-0.041355501426305605
ball	4.8730487496610175	0.08772331578480051
banana	5.7078710391525425	-0.005136509558163821
banjo	6.956400791694916	0.00219761492189572
banker	3.4882042579661015	0.10060132044309399
bar	4.9787696203389835	0.06219955113474557
barbecue	5.233809172711865	0.04116498409550772
baseball	7.039711052372882	-0.07614800792051743
battle	6.3094335289830505	-0.1414786036704522
bay	5.3333069272881355	-0.10138942247532393
beach	6.535766701016949	-0.04756302006104782
bed	6.552872430169491	-0.21578061347792166
bee	4.548488905423729	0.017518828281965885
beer	5.390809115593221	-0.0037253351969588687
belch	5.754856422542373	-0.29061594490010373
belief	6.346517242372881	-0.047906696640778915
bell	5.821605801016948	-0.11617342780417679
bicycle	4.696420339661017	0.19667668322909024
big	4.122702712542373	-0.11266256387757047
bird	4.942851276610169	0.07956257223832995
black	4.9367821476271185	0.010536012342638542
blocked	3.8122618430508473	0.058917181677353415
blue	5.9704287679661014	0.06575063649675371
blueberry	5.267360383559322	0.07296628279233304
boat	3.988814815762712	-0.02045547979940154
bonfire	5.6306184950847475	-0.05122764324237625
book	4.57942211	0.041813618125709266
bought	5.210872661355932	-0.10410885873025322
boy	4.310691978135592	0.01815146604183423
bread	6.961250638983051	-0.01770132420876148
bribe	4.395237015593221	-0.2291066738838664
bridge	6.325405611355931	0.03423886650964367
broccoli	4.923539624067796	0.18832362139413414
broke	3.800802697457627	-0.012806598835711972
bugle	5.6058851028813566	-0.1740736463579447
built	6.978256030169492	-0.11649334768636477
bus	5.995387261355933	-0.18711266440937244
business	5.979613515254237	-0.13666219024668588
businessman	3.3942091910169494	0.19289276686966744
butterfly	5.791424445254237	0.13695685298558855
cab	5.242429605254237	0.12664472921961445
cabbage	4.655499925254237	-0.022340642792686063
cabinet	5.535295319322035	-0.011419327766731789
cafeteria	5.051819435762713	-0.04501012974205806
camel	4.709268023220338	-0.0552905708399845
camera	4.858923200338983	0.24431772001695587
car	5.311919892033897	-0.20442988604738002
carnival	5.364940243050849	-0.14822240655162688
carriage	5.566186104237288	-0.1786332510061891
carried	7.321201432033897	-0.15818875331031512
carrot	5.511862133898306	0.19271694418128132
cash	3.914910329322034	0.19826959683828513
cathedral	6.477234124915254	-0.11036418575780252
celebrated	4.948450584576271	-0.25955804528486726
cellphone	4.759238905593221	0.06175834843864332
chair	4.529076613050847	0.030011038757295837
cheese	5.213817401864407	0.20112854574546038
cheetah	4.999002388983051	-0.09258992167646386
