	mse	pearson	spearman
Vision	2.649354652059925	0.4745505083657021	0.46922377716388447
Bright	3.856312123370786	0.41651657182942775	0.38106327553053565
Dark	5.496965291797753	0.15869713769736848	0.09311521627335506
Color	3.6455217393632955	0.30082163125903794	0.26915126549727536
Pattern	3.2399007304494383	0.38874697168616773	0.3880076477733418
Large	2.234216796610487	0.47941952027225965	0.42178760318740827
Small	2.6383366155617978	0.35589598630746766	0.3356028787400991
Motion	4.758246047734082	0.4707684532807043	0.4890122046869505
Biomotion	5.0982245838389515	0.35382860522934195	0.3554468027157404
Fast	4.212771709344569	0.5966617102186321	0.6113245810395367
Slow	4.610932814513108	0.3015326326186917	0.29169354994209346
Shape	3.7452094484269662	0.42246593321172327	0.4118402108068467
Face	7.528581473539326	0.24102513114000237	0.221468182241111
Body	7.272065663127341	0.202371093092408	0.16304886833071464
Touch	3.213338414344569	0.511412473162695	0.5205222437451729
Pain	3.007880328670412	0.46660976112586644	0.42399321591652106
Audition	3.091713051516854	0.42525378934150937	0.35653291339822935
Loud	2.1671834491573034	0.6281671740574619	0.5490921269473059
Low	3.0442027429588014	0.2356837705015663	0.16565650216370292
High	3.2819976323970037	0.4049113873453465	0.27677695399068747
Sound	3.353935774700375	0.355708163977344	0.26610316584858457
Music	2.9934485291011237	0.5654768606225417	0.28404261718137386
Speech	5.585262326179776	0.3801152796560516	0.4769328051377635
Taste	3.826717319700374	0.4312022546221246	0.2670645041183577
Smell	2.705431061123596	0.4332305194812389	0.3244511004819471
Head	4.617484046273408	0.2652259696356298	0.29188749641403294
UpperLimb	4.600220173820225	0.31928273828914133	0.3019798533945185
LowerLimb	5.123769471235955	0.3787041237871987	0.3738408901880708
Landmark	3.6361836037640445	0.4236653235806144	0.4296618813333973
Path	4.196231910636704	0.46932250776577406	0.3999095815955541
Scene	3.0925721003558055	0.3148693073198436	0.30253012635057686
Near	5.859396788670412	0.4103170794980653	0.4569331929613846
Toward	6.191222151460674	0.06633434297220421	0.06299453018780914
Away	7.641647021647939	0.17221694569652454	0.12469099465763436
Number	4.685696450580524	0.10138458937658378	0.0912337214338176
Time	3.3461441067041195	0.322912463063259	0.27887598517986156
Duration	4.623474856423221	0.34534136765946094	0.3831562995819852
Long	2.7520611087265916	0.32495477415798557	0.32719631013092393
Short	5.022815711179776	0.250556022337607	0.26357826354991953
Consequential	4.6552118010674155	0.39836588282663293	0.389403810372255
Social	2.352516725749064	0.6681049273424171	0.693627279540402
Human	7.358727991872659	0.41761263830052153	0.4883446570105189
Communication	2.5570168209737827	0.516569766368103	0.5106633085643334
Self	5.628097939026216	0.3430899746351608	0.4406349904752054
Cognition	2.244288183314607	0.6442122239441418	0.5978517567788256
Benefit	1.811384282022472	0.5752030658425503	0.5618125613558658
Harm	3.6810397126029963	0.5005164908697225	0.46521273864468604
Pleasant	1.4119292882397005	0.6736164299519973	0.6689504854160476
Unpleasant	6.379047144943821	0.47349659116696463	0.4639116608036659
Happy	1.617312559363296	0.6781337421171006	0.6866555648500335
Sad	4.336612438389514	0.46723564494319014	0.45321286490646706
Angry	3.4072456464981276	0.46971757645981377	0.4222345780518015
Disgusted	3.427311779531835	0.4411150475880662	0.36969571868752665
Fearful	2.1040853676966296	0.6141754479054377	0.5312468154171428
Surprised	2.037381823483146	0.31460336638185604	0.2706063953628089
Drive	2.4728545018164794	0.27676111849236124	0.24716498059077321
Needs	5.08558005247191	0.29947475207366064	0.3509573814393357
Attention	2.9856888969288393	0.3215376658156416	0.3058048078559853
Arousal	3.477049869307116	0.378136887688372	0.3861803962686887
Average	3.9267297058706276	0.4006413578975641	0.3763660354611931
Std	1.5220235183925523	0.13780106898980896	0.14270328777019667
Avg ± Std	3.927 ± 1.522	0.401 ± 0.138	0.376 ± 0.143
