	mse	pearson	spearman
Vision	3.477433385950426	0.6145332675807437	0.6309442489204313
Bright	2.8589608171353995	0.24874118839413586	0.2956443098899911
Dark	2.6997378658264872	0.1783182524656665	0.22996268409553378
Color	3.347230690386822	0.5650471814818105	0.4987129784491769
Pattern	2.5726358435884804	0.5214632702484219	0.5365051479774173
Large	4.129002396370473	0.5047414065183051	0.4596650030159147
Small	4.013955425820526	0.36624684583276534	0.32267614788088095
Motion	3.592942005664015	0.46877425139273543	0.47283382435833365
Biomotion	4.584692527422227	0.5928888798081695	0.5074911195876916
Fast	2.9437166945997584	0.444643194066045	0.3778276061671427
Slow	1.7968386109489871	0.3027502055203034	0.3464421165019419
Shape	3.5330205791071925	0.646774622357704	0.6542312549455798
Face	3.8301537617359287	0.5716593050842745	0.3949218272010824
Body	4.871783152734599	0.5347476758229983	0.47562666728446923
Touch	3.2530507924455385	0.4939302539027768	0.5151007237504542
Pain	2.221779822787385	0.4598845853452095	0.29935946147676323
Audition	5.083975485048571	0.4812857625202877	0.4691672720474894
Loud	3.800117748695402	0.5049803761519016	0.48059824205578144
Low	0.8664083401918475	0.4742342604721371	0.4042776363639816
High	2.128713889601901	0.4380459599468871	0.34231967150482145
Sound	3.885662452012286	0.5405542718328082	0.5089800897308152
Music	1.5891683075028762	0.6219836136253927	0.3512786555031003
Speech	3.325216757592802	0.6127783371193569	0.4619414653151564
Taste	1.5833795707990148	0.7131856616824179	0.3363619530247841
Smell	2.4813603672062436	0.506302480301456	0.4415018625240645
Head	4.985913314696857	0.4096775118393558	0.4130641946882827
UpperLimb	6.842350101863653	0.3363074373352822	0.35350715390289916
LowerLimb	2.4908359165993863	0.36955900362285266	0.2727767408553405
Landmark	2.179867724075084	0.6142650197578429	0.4025258120773413
Path	2.2282076509531605	0.5487451486001763	0.43618173950859324
Scene	3.3467286797872347	0.495489159186208	0.48941176460203284
Near	2.6774595360747564	0.49818453190331324	0.461190814401857
Toward	1.6277051642558706	0.41731363794504484	0.41147419689247916
Away	1.1077652397002413	0.4080225573154556	0.3800039568037841
Number	1.552415145866221	0.3737552079893004	0.23197968698183166
Time	1.6490229660586249	0.48557872974009014	0.340975293163852
Duration	2.0235767855945235	0.4992492367141007	0.4671153909034339
Long	1.2149460230502427	0.4933229118545376	0.4866036075347743
Short	1.8735766920061778	0.4433660113441359	0.49193210971863577
Consequential	2.5105881613494683	0.5850001398558595	0.5759337369158917
Social	3.609892951378223	0.5963491757707293	0.5876124237489366
Human	3.1685845663088066	0.638096654193362	0.5731313016488416
Communication	2.3261009409789892	0.6066293031860559	0.5871261782035907
Self	2.7438330330618763	0.43449401359026074	0.4518084471033116
Cognition	2.544944719976458	0.5895537053124993	0.5375146778179888
Benefit	3.422146701365933	0.4738401759147274	0.4808293229704537
Harm	4.358429755130331	0.4308496617112193	0.40264831740401047
Pleasant	4.307152077208232	0.3876758241115188	0.38073138871475876
Unpleasant	3.719541843288616	0.48490773285637623	0.392944810758575
Happy	4.136922948963377	0.38109831208280937	0.36604500957929803
Sad	2.430653703101462	0.47689615269999186	0.4150995696272064
Angry	2.7114950908028885	0.4204268023754262	0.34076376637885786
Disgusted	1.4307866856583602	0.42350852001803335	0.34116341857519317
Fearful	2.9057162372692913	0.43327776845777705	0.3764848090302676
Surprised	2.131607012512371	0.40729407021422465	0.4243502478583229
Drive	2.183796255130126	0.4881237651785204	0.49038105554379996
Needs	3.6454925819303967	0.4322726955590303	0.4187843059725739
Attention	3.85240562934744	0.348682191144012	0.3625905229973799
Arousal	3.0860359996255586	0.4403161124633666	0.45249981270141093
Average	2.9745327987482275	0.4793326100223425	0.43070436534167134
Std	1.1403867001637595	0.10074068094513167	0.09229251554110537
Avg ± Std	2.975 ± 1.140	0.479 ± 0.101	0.431 ± 0.092
