	mse	rho
Vision	3.4793616211222003	0.6278116264288608
Bright	2.8579716300367632	0.29649106865858027
Dark	2.70084604294473	0.22588665320128612
Color	3.347146310891141	0.5075637935924314
Pattern	2.5726577717379495	0.5336543906961997
Large	4.129879703549542	0.4628311638835443
Small	4.013197493592181	0.3182294439763296
Motion	3.5934774711939244	0.470838439624723
Biomotion	4.586174121166962	0.5071050501937134
Fast	2.9444978410898615	0.3809062044459171
Slow	1.7970048658390594	0.3401710469049658
Shape	3.5322813978232386	0.6474963098381826
Face	3.8319237426177954	0.40143230241732214
Body	4.874948150622289	0.4660602567713044
Touch	3.252368008767231	0.5273664972241083
Pain	2.221620957544195	0.3078414880574346
Audition	5.085489690352773	0.47092412002375145
Loud	3.800578202709252	0.479854550509646
Low	0.8665528993840851	0.40135001043828084
High	2.1298162022350806	0.341119813658168
Sound	3.8859551715872342	0.5140206712911461
Music	1.5891745485529563	0.34790968177445564
Speech	3.32594825188449	0.46574610033898
Taste	1.58297676898356	0.33700285722582807
Smell	2.4812244394774097	0.44424124397588133
Head	4.983123750607253	0.4105132502125021
UpperLimb	6.844225221960767	0.34461931291293785
LowerLimb	2.49204536154908	0.282568574899009
Landmark	2.1801297023210324	0.4117294395782361
Path	2.229020348211369	0.43825286897700866
Scene	3.3460875874372777	0.48735551306070596
Near	2.6778902523908084	0.4610147460191111
Toward	1.6270497932308385	0.4071106103756035
Away	1.1085664279035836	0.38044997333673514
Number	1.552107905524155	0.23126954279385473
Time	1.6486556514021662	0.3384207176228729
Duration	2.0229884329315975	0.455847307547444
Long	1.2147858993526852	0.4903595394334363
Short	1.8721002502499473	0.49440971361084884
Consequential	2.509057276376619	0.5802037906496351
Social	3.611808299565156	0.5856942053248548
Human	3.168899430565733	0.575912577957939
Communication	2.3266377071379396	0.5863963477324418
Self	2.7446162695601672	0.4488852618943989
Cognition	2.545346629526885	0.541377252889943
Benefit	3.4212484672063566	0.48929879064349274
Harm	4.359180565548174	0.3921170866623097
Pleasant	4.307694970647522	0.3779108018209519
Unpleasant	3.7200295605500946	0.3921034045681124
Happy	4.13723104892669	0.3635382033757004
Sad	2.4301010128392257	0.41977502318606913
Angry	2.7110212113197862	0.3409503159253952
Disgusted	1.4310307607891628	0.3409487363118297
Fearful	2.9077993770540025	0.373670219262066
Surprised	2.131654211095337	0.43194327959122747
Drive	2.1837898585143933	0.48356146425533436
Needs	3.6447589673109957	0.4235907231979006
Attention	3.852854349628856	0.3720540227461632
Arousal	3.086609346387626	0.4564359010216548
average	2.9748003256157483	0.431087174653369
std	1.140686966684195	0.09246811959646317
Avg ± Std	2.975 ± 1.141	0.431 ± 0.092
