	mse	rho
accident	3.4897615792837198	0.5890176982750376
accordion	0.6581951914544983	0.7684167919007626
activist	0.9491432534533724	0.8868782939679575
actor	1.753084223236053	0.6181595328895049
advantage	0.5546744484174596	0.6880039927112016
advice	0.3061085025987106	0.9133367537493369
aggressive	0.7295771743459272	0.7428672112828949
agreement	0.5962819001958423	0.7735601783620586
airport	2.925054604078338	0.6184726895923153
alligator	5.004734853301065	0.18178364313235193
ambulance	1.8962379872392825	0.6169563056710053
analogy	1.926175566968803	0.5074594447983306
angry	0.6786294641884453	0.9041877385086472
animosity	7.6355440899408435	-0.05161121601332147
ant	1.21741646002295	0.7586862736940512
apartment	3.2629930249194623	0.5933727989099548
apology	3.697263627276431	0.740548270231048
applause	2.167132372954823	0.5756998233677038
approached	1.4098377724539148	0.6906359425023337
apricot	4.594426553395978	0.7289157360542851
arm	3.7025162550470725	0.7487355835230836
army	1.336757209869415	0.8936300876632431
arrested	3.3120566794698	0.6179995492237339
artist	1.2375898242663033	0.6636363919890399
asparagus	1.0722174598982455	0.8544060436557399
ate	1.093874880855524	0.810404801872592
attribute	0.8006056340281847	0.6707150746613612
audience	1.333691021725803	0.7795773358012862
author	2.7987400767344117	0.614568434934507
avalanche	7.762615592249627	0.07869389631568867
awe	5.353922037580013	0.38007621368629774
axe	1.0483277949924512	0.6143164662993114
bagpipe	1.8243771130433797	0.7223879456714477
ball	5.784205244256095	0.5092793673028962
banana	4.088966924755627	0.4375783795569089
banjo	2.9943121427001915	0.461401347010878
banker	0.4019312671042737	0.8504269437057778
bar	3.053360835103063	0.5054585433838883
barbecue	1.8275544926666374	0.5996814156438993
baseball	4.176189084549077	0.4689665704554236
battle	4.765988525969297	0.4027944367846614
bay	4.326634125854069	0.3752156262425285
beach	3.0213613966161006	0.4253683610647492
bed	1.8258398252146908	0.7482815142099641
bee	6.25171462401728	0.06596811319308958
beer	2.0820391875838857	0.663996766766869
belch	9.306970834514738	0.29398869634807023
belief	1.8338444046446665	0.681407722869046
bell	12.110420961977834	-0.015085294656186393
bicycle	1.0761089367644634	0.6439137440157535
big	5.183883800560459	0.2592875558388519
bird	4.420930172792058	0.6985514993033043
black	2.2094040052744948	0.2391374315516958
blocked	0.47091275889881656	0.7254578362841085
blue	2.468548152554814	0.2100697217832429
blueberry	2.851169003526552	0.5541201944695019
boat	1.7478892534128225	0.7609887982568446
bonfire	3.16143523533972	0.5626224067721355
book	3.5385112007657784	0.5018202922040428
bought	1.6546731590639787	0.5636685810225064
boy	1.0975563526629806	0.7867707452327127
bread	0.32916708254165483	0.8356909823298562
bribe	1.5244405010100817	0.6462462104955763
bridge	2.21804238404701	0.47047655997768434
broccoli	5.437026287025763	0.5997170992452993
broke	3.242827943170768	0.5225017469341081
bugle	1.8435858673853307	0.6161314432582743
built	0.9169444260746417	0.6974045819519745
bus	5.038951737746099	0.5958255745461972
business	1.2758095406148335	0.6240973784952064
businessman	1.9659452720060901	0.6266846419759317
butterfly	1.4093743904211826	0.5834956325836638
cab	6.680219993800353	0.5007673013102601
cabbage	1.990451450008881	0.7222578427279337
cabinet	2.347154802706864	0.5147533565830062
cafeteria	1.8319587301947562	0.7126484818287284
camel	5.08702037883316	0.5229159502252565
camera	3.8239844180569507	0.5380129410034848
car	4.673666310306854	0.5939002546447252
carnival	1.42112135751864	0.7084478525413545
carriage	1.4856158912196005	0.6515771291170928
carried	1.8138269771208049	0.7689992066595482
carrot	3.916384200467329	0.4476669292724094
cash	5.6355686240607845	0.4351323531222439
