	mse	rho
Vision	2.2640400827715355	0.6076776009727775
Bright	2.497720812509363	0.4070091123177614
Dark	3.339932520262172	0.3224661478094871
Color	2.5417729378651686	0.32520596761536164
Pattern	2.246733876516854	0.12648809883658363
Large	1.747101553164794	0.5149341346582489
Small	2.123611859007491	0.3170201748979847
Motion	2.5485411039138577	0.6408983980362777
Biomotion	5.691850726161049	0.33944409137186077
Fast	2.754160173764045	0.6416420260745347
Slow	2.861166672191011	0.2874030117125315
Shape	3.1679131937453184	0.42999233254867114
Face	2.579698627097378	0.6319811667399977
Body	3.1927827043258428	0.5398607497805116
Touch	2.51631661659176	0.5680650721593469
Pain	1.941581789344569	0.5496150513895544
Audition	1.9018076957116103	0.5407341813189376
Loud	2.2316503405430717	0.5931533513889924
Low	2.1135367129962543	0.34534502413784673
High	1.7349410780898877	0.4170686434713852
Sound	2.356876523764045	0.49706100358486094
Music	2.686035008501873	0.38674267116219596
Speech	3.0385516894756552	0.6028215789196977
Taste	5.310299566891386	0.255505495171692
Smell	2.6945765292883896	0.5762732256044703
Head	2.400457566872659	0.3976341812268886
UpperLimb	2.7556354921722845	0.3602178672107292
LowerLimb	1.526816587340824	0.4752598211438946
Landmark	2.524333603764045	0.4788113655136665
Path	2.237578165318352	0.4581286894743201
Scene	2.6362321003558047	0.5508297219439288
Near	2.9115186238764044	0.5384304203143592
Toward	3.2022729754307115	0.23216346398373355
Away	4.984301291310861	0.19812670353582718
Number	1.7015087726779026	0.3379881980470691
Time	1.6274939568913858	0.41620313436658624
Duration	3.0309866541760297	0.5328781779393071
Long	1.2522330937453183	0.5180142813845363
Short	2.0630609171722845	0.6306783019874107
Consequential	1.9618661081835207	0.7090291333076666
Social	1.5817105834269662	0.7536139871779134
Human	2.1926997521722846	0.7812654859671037
Communication	1.4403385438202247	0.647131030003045
Self	2.9477871525093633	0.6981694546263749
Cognition	2.8530911421161047	0.7189133603327467
Benefit	1.3370294505617977	0.6329600779044922
Harm	1.4421376526779026	0.5762238297842333
Pleasant	1.1868802620224719	0.6946948688469878
Unpleasant	2.797205983895131	0.5291753940520079
Happy	1.2801823720973782	0.7370965354974979
Sad	2.1176105657303372	0.37799518988190084
Angry	1.4465075191573034	0.520287240194809
Disgusted	1.9463532776591763	0.5049169597302062
Fearful	1.5233501617041199	0.6095605169817746
Surprised	1.6042299882771534	0.3770503535378583
Drive	1.2115981722284643	0.58074019157925
Needs	3.16639803	0.4123040844123444
Attention	1.362501406292135	0.533852036822872
Arousal	1.8282921914044943	0.4922712632071049
average	2.375684754432806	0.4996105700610509
std	0.9162108902141939	0.14688373964662657
Avg ± Std	2.376 ± 0.916	0.500 ± 0.147
