	mse	rho
Vision	3.6693647866063994	-0.05351089561235869
Bright	1.155075056078901	0.1055098359454069
Dark	1.062745041898068	-0.04452136210248856
Color	2.962769852478061	0.0433421162921141
Pattern	1.8348436662908174	-0.021032551108269733
Large	2.8627754854958756	-0.07941733418373849
Small	2.294102211323145	0.02219873348263562
Motion	2.6555678342960625	-0.020335083301158664
Biomotion	4.315381733055706	-0.007699778070604335
Fast	2.0804081759663626	-0.020761762879171045
Slow	0.69311945987595	-0.06971604976439037
Shape	4.239183305940886	-0.04334736840806388
Face	3.3588619603348593	-0.004843325041083506
Body	4.00084269588629	-0.008568334354273788
Touch	2.433930469775624	0.011785352383776307
Pain	1.32266387475303	0.0035513008215451213
Audition	3.581915377524922	-0.011654276388605148
Loud	2.8090146406689254	-0.02002856342740852
Low	0.5689174940729057	0.04294160183086424
High	1.337103562065984	-0.012196449123997406
Sound	3.1581813625594166	0.0022001885986945675
Music	1.8328869008021524	0.02559208593645508
Speech	3.2828441208634085	0.00897382319437105
Taste	2.46432995640399	0.05936648748625922
Smell	2.11035297111047	-0.06433130277608604
Head	2.994511751534413	-0.034566420236033506
UpperLimb	2.916075438467482	0.011931942895784487
LowerLimb	1.488309364411843	-0.057892301285370304
Landmark	2.2616257167425045	-0.03766764229283741
Path	1.9593322354106886	-0.09659741493825366
Scene	2.3438894940331974	-0.11342008688679764
Near	2.0303050071628332	0.011019808263484851
Toward	0.8853322974440211	0.020142946974844377
Away	0.7530228039705069	-0.005549176564101773
Number	0.7776468160702924	0.013660642243319263
Time	1.1917522152187345	-0.023496072743795095
Duration	1.5459410153484539	-0.007697889972964149
Long	0.9701998656057111	0.017686296650448644
Short	1.1326751913412052	-0.06677756161425145
Consequential	2.6441891886945754	0.007401363083480489
Social	3.28105501036633	-0.04650338252538273
Human	3.266852367891269	0.07248630593554892
Communication	2.4012687687530336	-0.011102415771762303
Self	1.793584135893091	-0.004746766394159599
Cognition	2.419974809790613	0.058556865274007115
Benefit	2.31612639124089	0.007364153721443031
Harm	2.357563268362082	0.039137002148139415
Pleasant	2.442745280077943	0.07718028300502566
Unpleasant	2.766456037158491	0.00047103341527115973
Happy	2.268408094543335	0.05837059932947511
Sad	1.5304699343868713	-0.04325917489174768
Angry	1.4769406424036609	0.019908056945523753
Disgusted	0.8864773889157895	-0.026674933340503748
Fearful	1.680125693286132	-0.01195335972511767
Surprised	1.3321480249578288	-0.028058332097029102
Drive	1.4671665941464003	0.002191531663705379
Needs	2.2890587259302637	0.02318431147703951
Attention	1.8833889133732757	-0.004722371955112427
Arousal	2.0758210731604256	-0.019263714925079507
average	2.1680952805461424	-0.0060298099271751645
std	0.9232335823181788	0.04215124927686529
Avg ± Std	2.168 ± 0.923	-0.006 ± 0.042
