	mse	rho
accident	2.1715891542118513	0.4432102402603533
accordion	2.4285544998163173	0.367311762544057
activist	2.7430254143576667	0.5875784299852318
actor	2.923661696124953	0.31337700712075534
advantage	1.3742445097582303	0.42226466133624524
advice	1.6353021101129372	0.4418050032552212
aggressive	2.229016743276759	0.07463166969956048
agreement	1.3506873565355224	0.5525346202847976
airport	1.437009915226387	0.5243553734765084
alligator	3.793869519334199	-0.033176464858533435
ambulance	2.7271908400448504	0.4413428369416075
analogy	1.3575671586505398	0.4300300494570128
angry	2.9558654085670066	0.09082804085180625
animosity	1.6515304553130639	0.5072812325207371
ant	2.258908123927034	0.15754316927162615
apartment	1.4492339899604552	0.4679369934629012
apology	1.6376124792218438	0.41181223527858646
applause	2.474948187607528	0.3983093899885495
approached	2.7397324052488807	0.03987080143789661
apricot	1.811262704684276	0.5285518004081735
arm	2.733741894840805	0.312341061297868
army	3.6664012949304965	0.24640879346836742
arrested	3.9011125508543683	-0.14667368575910214
artist	2.503305016464879	0.36451331577779705
asparagus	1.467780849412705	0.656945133782208
ate	2.6988535064279042	0.5769107178362339
attribute	0.9141044034204299	0.7226873585377038
audience	1.259061294950545	0.7664221326996782
author	1.940321114122311	0.5712782636080859
avalanche	3.7862846557052467	0.1725594613490008
awe	1.6057728907569169	0.5770357053401658
axe	1.407500734113371	0.3405008272492304
bagpipe	3.0426616804273308	0.1800853802240436
ball	1.783025098687153	0.33715042883646246
banana	3.1860533026771813	0.08391309343625125
banjo	1.890301972521818	0.5929880167332272
banker	3.0477154155381934	0.21567655265805563
bar	1.1152595504169645	0.528958726630326
barbecue	1.555643796607516	0.6172296427891558
baseball	2.7646320936114934	0.3235492198260815
battle	2.774635906317892	0.5169974748483532
bay	1.3142387030858453	0.5519338545741285
beach	2.5245056557007253	0.3153063804854913
bed	1.6388287785470883	0.4973814437068069
bee	2.573965242948792	0.2025516280142272
beer	2.3087951867276053	0.26102082990496495
belch	3.2278337244271222	0.16887903631093526
belief	2.210390452585189	0.3981499992526269
bell	2.887170605330727	0.27273394156504427
bicycle	2.0107399923627036	0.28920137420201797
big	1.1972896082820672	0.29076244416044533
bird	2.9955160407444605	0.04697937892364135
black	2.545143639355789	0.16233245965553303
blocked	0.52921020530428	0.5290911114298985
blue	2.2287201732811055	0.263744315950741
blueberry	4.439260965220543	-0.09636108884215135
boat	2.01698976234002	0.111034785085651
bonfire	1.4876267228044748	0.7434893324880675
book	1.5700625937492168	0.47138124522907443
bought	1.0322677827773672	0.6343025691838329
boy	3.324300517835965	0.04720566012374451
bread	2.848974809065659	-0.11763968966083732
bribe	2.329314899839775	0.10763947062598263
bridge	1.6951944965521226	0.4160794441973342
broccoli	2.180464980784776	0.5033606586059262
broke	1.2750804169438035	0.5058684530991799
bugle	2.6863948452446964	0.35338670383539783
built	1.1825558281271134	0.7048576714451958
bus	2.108669974224947	0.2730647969696806
business	0.9679440885480121	0.611057585053397
businessman	2.6915702346764445	0.30043560505605493
butterfly	2.9605409805033402	0.16852640776677044
cab	1.682636020088802	0.25865572316685104
cabbage	1.7369969346646932	0.44566841758909365
cabinet	2.5453996432854415	-0.18279975968686044
cafeteria	1.5159656960401162	0.3244255171236387
camel	1.2001407996016313	0.5701800693708261
camera	0.8487784366885567	0.7606087423837236
car	2.9477974072198037	0.22604451621172755
carnival	3.0710089622250747	0.1961707186996629
carriage	1.909277535464529	0.13452065858528015
carried	2.872398184481627	0.036309953416634684
carrot	2.2041243255564535	0.3383635259007602
cash	1.5825208578964178	0.5835686316470095
cathedral	1.5538701501451944	0.4862281533169514
celebrated	1.2659889018260337	0.7755579503656977
cellphone	2.8158573736995938	0.517744419133927
chair	1.5299641641177213	0.5226477009009846
cheese	1.7696083017234134	0.6613854030763152
cheetah	2.2643834357716024	0.2319552265398134
cherry	2.2409396281893597	0.46515617995971026
chestnut	3.100989111322946	-0.17599995054744214
chicken	1.7360971303378636	0.4316677273960964
child	3.3315753809738644	0.24396089692517328
chime	1.5732154578475381	0.5537058680260925
chipmunk	2.668155286924906	-0.11070672375467983
chocolate	3.1248910501348095	0.1689121648025883
choir	3.9813572653534024	0.18199354251304992
church	1.2352883828703827	0.5837303993171038
circus	3.9212857982470997	0.05855270219922897
clang	3.1040393013053187	0.0777823384783172
clarinet	3.3461031878230645	0.11563870707433563
clever	1.8895227376700368	0.4476199463192299
cloud	1.9525465355546767	0.13456656974790654
clue	0.9788397750560524	0.5702252996671399
coffee	2.156828604767923	0.4891466365885557
cold	1.662880174001961	0.1941142791835245
college	1.9529838171304805	0.3978482484168119
comb	1.7165545553875552	0.47467372416067427
commander	1.960834037356558	0.6904961318905056
company	0.8472249168830148	0.624089812629979
computer	1.674501447985652	0.5848910634612601
corkscrew	1.7545329929830453	0.16677633537870273
corn	2.208830796102622	0.51060211751635
cough	3.031215355399612	-0.045255883968559174
council	1.2969173333942563	0.6502280568457987
couple	3.33717598411245	0.1443106227355514
court	1.3802798725887022	0.46142155668841034
cranberry	2.450249524829059	0.30584871909081457
crib	1.6192914223899446	0.31947035531476764
criminal	3.7673295934080846	0.23773672811443597
crossed	2.0971654960145307	0.17098167576893647
crow	2.022397048806081	0.34999928005422926
cucumber	1.7453210818679374	0.4489758471468611
curse	2.339907655819062	0.12803192452821802
cyclone	3.475575129934936	0.13063068785326915
damaged	1.9188853199307951	0.12358959896620099
dandelion	1.9849690121625518	0.19163722111690368
dangerous	2.0068891503949637	0.26040178282221765
dark	2.355835870549423	0.07137636949043104
day	1.5780496981051464	0.5059572331021625
dead	2.2894547860064502	0.04950220830658022
debate	2.879724993812034	0.058540590834016144
deceit	3.168337863066565	0.17144540704408714
delirium	1.8990912703701759	0.4439961544867447
delivered	2.2475936453609617	0.27404833922132893
denial	0.9522272373581028	0.5630183878411653
desk	1.6103495236680057	0.5268901421348274
destroyed	2.760328164938981	0.07214612542874584
dictation	1.1861274296120203	0.6277887580255821
dime	1.915288963730902	0.4472200498796053
dinner	2.4653582054817713	0.3571586989682103
