	mse	pearson	spearman
Vision	1.8007101834423653	0.5057853403373099	0.5034153825747115
Bright	2.408165391622064	0.1574249236652179	0.1633447270032252
Dark	6.830401564028906	0.150960637575215	0.15586600272819687
Color	5.060667946433114	0.5287690807945152	0.4901214806060921
Pattern	1.4952717379155434	0.40032765625938455	0.4041064680403174
Large	3.7014559041833963	0.48290328540167715	0.40246161663485996
Small	3.497950688162864	0.2909756660454743	0.2516644796215968
Motion	2.667305737597916	0.3193204068695181	0.3128190625161873
Biomotion	4.639106489194774	0.6027976524959215	0.4696883900599548
Fast	3.0175863674564534	0.5619373867660901	0.459982878806899
Slow	3.538828892797076	0.2007114689411425	0.19191520620991606
Shape	2.394115905867522	0.529383647459086	0.5358352103443771
Face	1.9227454735906522	0.6225094554031307	0.4284940593362632
Body	5.117109924547086	0.5776323687505658	0.4247201307447008
Touch	1.776094550799793	0.3484983689025523	0.3301252274070004
Pain	4.26451144382811	0.5768712860585556	0.44384431923091566
Audition	3.718334714451067	0.385533633870584	0.29697082350880266
Loud	4.250101835291868	0.4026125953888917	0.3489104027057285
Low	2.0668215423240857	0.23658247650657763	0.20719615828417826
High	2.896311527677293	0.31503837159767345	0.18268558320651523
Sound	2.6839238129469014	0.4590343257301083	0.3409395927248281
Music	1.6030811301783834	0.5373274148430134	0.21420169899920855
Speech	2.871374776086102	0.4908966161014733	0.3843486039067861
Taste	4.265934998813561	0.551884506069994	0.2668783024810358
Smell	2.0798226972995657	0.5446540406897593	0.3820746165814434
Head	2.4939477997591015	0.380253916715077	0.3273053299208254
UpperLimb	4.474682608561976	0.4051263824803206	0.38853019731157473
LowerLimb	7.0356508007416005	0.39921277873583405	0.30295291753270137
Landmark	5.088437254471754	0.5631313114291175	0.3765499475659709
Path	3.966599895307405	0.45220815738912584	0.3445456318256683
Scene	1.3687365126422146	0.438262275813103	0.4589212799045667
Near	6.051520125894731	0.31921401053973697	0.2939088471257557
Toward	4.832138562716722	0.33819474850222647	0.2794414177015172
Away	2.570103217317496	0.04148363981396483	0.033902136582826696
Number	2.0407630553404967	0.20951147930088435	0.15051895799093348
Time	1.1934996683736148	0.5020228400071608	0.3654761525545386
Duration	1.6536301852492146	0.4362872453484551	0.3433517591620796
Long	2.8055177263341773	0.379165860094162	0.37724238108388397
Short	1.0836424495654458	0.42295772209840676	0.3918052743036898
Consequential	4.619424336714511	0.5348129590709435	0.5204003934859912
Social	1.7130650939288643	0.4891254820283706	0.48194305624638073
Human	4.00031562571555	0.25055409027399433	0.2492005572870075
Communication	2.0745674568252435	0.3090639630193282	0.3073625603227016
Self	2.4447300947886355	0.4851727136027201	0.41522031361712647
Cognition	1.2988451401241015	0.5318305155016603	0.45470745550635583
Benefit	1.752742687577127	0.4487803200213937	0.4285835847847724
Harm	8.078310337350304	0.5790771965040608	0.5009358234908515
Pleasant	5.48659926164149	0.49374579099829896	0.4656023745540755
Unpleasant	10.89815300303931	0.6342154582258924	0.5101011847637678
Happy	5.2389112481620375	0.48184851259934786	0.4479484005278575
Sad	6.832945022662519	0.6053442430127366	0.46284927890624467
Angry	5.1097905647239426	0.5786208907670006	0.4859913075290322
Disgusted	4.0293426189147485	0.5104533444379985	0.3845524763965411
Fearful	9.432340496831847	0.591635432455907	0.4955435856458588
Surprised	4.790503289322921	0.01635889608705006	0.022962847638662354
Drive	2.664107476497526	0.3424756829367406	0.33303370707519375
Needs	1.8927463504588409	0.42386930384482746	0.4140932462993365
Attention	3.4380380248029145	0.28957767999356276	0.27830453515037
Arousal	1.8632693959007818	0.4042825953727267	0.4207834694395994
Average	3.642124620759248	0.4248855940939926	0.3577488612457289
Std	2.060112978521342	0.14241733279254928	0.11805435949022505
Avg ± Std	3.642 ± 2.060	0.425 ± 0.142	0.358 ± 0.118
