	mse	rho
Vision	1.8007101834423653	0.5034153825747114
Bright	2.408165391622064	0.1633447270032252
Dark	6.830401564028906	0.1558660027281969
Color	5.060667946433114	0.4901214806060921
Pattern	1.4952717379155434	0.4041064680403174
Large	3.7014559041833963	0.40246161663485996
Small	3.497950688162864	0.2516644796215968
Motion	2.667305737597916	0.3128190625161873
Biomotion	4.639106489194774	0.46968839005995483
Fast	3.0175863674564534	0.459982878806899
Slow	3.538828892797076	0.19191520620991606
Shape	2.394115905867522	0.535835210344377
Face	1.9227454735906522	0.4284940593362632
Body	5.117109924547086	0.4247201307447008
Touch	1.776094550799793	0.3301252274070004
Pain	4.26451144382811	0.44384431923091566
Audition	3.718334714451067	0.29697082350880266
Loud	4.250101835291868	0.3489104027057285
Low	2.0668215423240857	0.20719615828417826
High	2.896311527677293	0.18268558320651523
Sound	2.6839238129469014	0.3409395927248281
Music	1.6030811301783834	0.21420169899920852
Speech	2.871374776086102	0.38434860390678616
Taste	4.265934998813561	0.2668783024810358
Smell	2.0798226972995657	0.3820746165814434
Head	2.4939477997591015	0.3273053299208254
UpperLimb	4.474682608561976	0.38853019731157473
LowerLimb	7.0356508007416005	0.30295291753270137
Landmark	5.088437254471754	0.3765499475659709
Path	3.966599895307405	0.34454563182566833
Scene	1.3687365126422146	0.45892127990456666
Near	6.051520125894731	0.2939088471257557
Toward	4.832138562716722	0.2794414177015172
Away	2.570103217317496	0.03390213658282669
Number	2.0407630553404967	0.15051895799093348
Time	1.1934996683736148	0.3654761525545386
Duration	1.6536301852492146	0.34335175916207966
Long	2.8055177263341773	0.37724238108388397
Short	1.0836424495654458	0.39180527430368983
Consequential	4.619424336714511	0.5204003934859912
Social	1.7130650939288643	0.48194305624638073
Human	4.00031562571555	0.24920055728700752
Communication	2.0745674568252435	0.30736256032270154
Self	2.4447300947886355	0.41522031361712647
Cognition	1.2988451401241015	0.4547074555063558
Benefit	1.752742687577127	0.4285835847847723
Harm	8.078310337350304	0.5009358234908515
Pleasant	5.48659926164149	0.4656023745540755
Unpleasant	10.89815300303931	0.5101011847637678
Happy	5.2389112481620375	0.4479484005278575
Sad	6.832945022662519	0.46284927890624467
Angry	5.1097905647239426	0.48599130752903213
Disgusted	4.0293426189147485	0.3845524763965411
Fearful	9.432340496831847	0.4955435856458588
Surprised	4.790503289322921	0.022962847638662354
Drive	2.664107476497526	0.33303370707519375
Needs	1.8927463504588409	0.4140932462993365
Attention	3.4380380248029145	0.27830453515036996
Arousal	1.8632693959007818	0.42078346943959943
average	3.642124620759248	0.3577488612457289
std	2.060112978521342	0.11805435949022504
Avg ± Std	3.642 ± 2.060	0.358 ± 0.118
