	mse	pearson	spearman
Vision	8.78365504224615	0.5522384276183557	0.5265390188504141
Bright	22.99174098712087	0.3322616891761555	0.34556016966992537
Dark	8.480902342629278	0.10087827037045105	0.10186710273011931
Color	89.2412129655673	0.4380216739478167	0.460348520118619
Pattern	27.032672785783117	0.4960375666847577	0.5035677366463992
Large	13.001520756764092	0.45298905813522616	0.4115718109115886
Small	13.646460240742343	0.44875517097233536	0.42355533986392807
Motion	17.114050102275314	0.36453590013394827	0.3930744762675908
Biomotion	13.192076928394279	0.5165594616848904	0.4138420861149173
Fast	36.52500053071857	0.41491091485209214	0.3547255976963448
Slow	15.717499735838624	0.1162728742449646	0.09481609284886242
Shape	8.26972633124637	0.4792384932622579	0.4925742352650594
Face	7.742321959186877	0.5268641309420757	0.3844207891082766
Body	41.097947943051715	0.3894373421961511	0.23880796791229741
Touch	7.016605879616151	0.5446905911584291	0.5394116109102908
Pain	20.711757918976144	0.5395596376234191	0.43303078261484074
Audition	23.278780434538486	0.50487775456888	0.4562435271210309
Loud	14.695740042162898	0.5396298861339413	0.48826809743480015
Low	18.483170560641984	0.17488128581887458	0.17451604900094692
High	12.159524283179215	0.4273498603825846	0.3648260571114098
Sound	18.06480707730387	0.49636608818511246	0.4688324253136817
Music	9.1324177411912	0.4137404166773918	0.14207571777625902
Speech	9.402622270700482	0.5080004475322228	0.4219437908843002
Taste	5.621828291278016	0.4858400056860421	0.26321654127430827
Smell	8.970725484938646	0.44047791881267256	0.33583037823346645
Head	22.015351098776907	0.3770116875926964	0.3424446830251255
UpperLimb	62.23315529616395	0.143694622145797	0.13048433505389218
LowerLimb	79.31550551394132	0.18578875870363948	0.15009797169111036
Landmark	15.795007703722792	0.47136580675916845	0.3409376857396474
Path	12.85035672334239	0.3465615231109668	0.2590042246127319
Scene	21.320452778596025	0.30464018032069334	0.2951392716170872
Near	29.36587309794896	0.2567091298358625	0.2453388739758767
Toward	4.146994319737889	0.1018141236148351	0.08759532703510092
Away	26.815783668209786	-0.019525581423137782	-0.0194432634709328
Number	11.872344912090359	0.12248775129619346	0.05233070746683939
Time	8.63492100534535	0.28929131144659215	0.19127357496619538
Duration	4.9026409147889805	0.32838204291095396	0.23696697018417937
Long	16.365534445172205	0.22375213240105563	0.19963417971755038
Short	6.322004011160585	0.3537054646103408	0.32378112326908753
Consequential	7.706794272859549	0.5765303680580365	0.5675242983888541
Social	14.82434935433373	0.5097831314648684	0.49683362458461794
Human	10.300706924344627	0.2065381335782456	0.18838261691812186
Communication	28.433609158039168	0.30475692651930675	0.2814986047541353
Self	10.540869204165102	0.25015704889521545	0.21411777398320236
Cognition	5.400777621798925	0.4407565471813695	0.33550105292968463
Benefit	8.211681686943558	0.37662579664127294	0.3561703859448593
Harm	10.438108828662413	0.5233223829012861	0.4446352791637023
Pleasant	26.516548416338924	0.3786007112830467	0.37193205489154996
Unpleasant	21.32098461832164	0.624889327272506	0.5046601974937629
Happy	36.54188915671614	0.32150619627762467	0.3012659286617273
Sad	29.7819944143605	0.49000164931805834	0.382745629594245
Angry	26.122015619936082	0.5995477025774449	0.5014099849312553
Disgusted	4.680973717197866	0.5322588148265107	0.4182781151199986
Fearful	16.056164148860894	0.5563048281923372	0.47281213856135873
Surprised	14.262238387023599	-0.10873903006116599	-0.09021821885624992
Drive	12.864738369126602	0.20871744418469815	0.2096277141004087
Needs	7.6914389869597155	0.2543059119910858	0.2282983873546306
Attention	14.693434304463855	0.3975519771617043	0.38665746278769136
Arousal	15.217733670685629	0.41433180969151184	0.4242944704333479
Average	18.88030076247845	0.3736922287810452	0.323143713361086
Std	16.235972360031717	0.1607342065788707	0.14817049354593242
Avg ± Std	18.880 ± 16.236	0.374 ± 0.161	0.323 ± 0.148
