	mse	rho
Vision	8.78365504224615	0.5265390188504141
Bright	22.99174098712087	0.3455601696699254
Dark	8.480902342629278	0.10186710273011931
Color	89.2412129655673	0.460348520118619
Pattern	27.032672785783117	0.5035677366463992
Large	13.001520756764092	0.4115718109115886
Small	13.646460240742343	0.4235553398639281
Motion	17.114050102275314	0.3930744762675908
Biomotion	13.192076928394279	0.41384208611491735
Fast	36.52500053071857	0.3547255976963448
Slow	15.717499735838624	0.09481609284886242
Shape	8.26972633124637	0.49257423526505933
Face	7.742321959186877	0.3844207891082766
Body	41.097947943051715	0.23880796791229741
Touch	7.016605879616151	0.5394116109102908
Pain	20.711757918976144	0.43303078261484074
Audition	23.278780434538486	0.4562435271210309
Loud	14.695740042162898	0.48826809743480015
Low	18.483170560641984	0.17451604900094692
High	12.159524283179215	0.36482605711140986
Sound	18.06480707730387	0.4688324253136817
Music	9.1324177411912	0.142075717776259
Speech	9.402622270700482	0.4219437908843002
Taste	5.621828291278016	0.2632165412743083
Smell	8.970725484938646	0.33583037823346645
Head	22.015351098776907	0.3424446830251255
UpperLimb	62.23315529616395	0.13048433505389218
LowerLimb	79.31550551394132	0.15009797169111036
Landmark	15.795007703722792	0.3409376857396474
Path	12.85035672334239	0.2590042246127319
Scene	21.320452778596025	0.2951392716170872
Near	29.36587309794896	0.2453388739758767
Toward	4.146994319737889	0.08759532703510092
Away	26.815783668209786	-0.019443263470932802
Number	11.872344912090359	0.05233070746683939
Time	8.63492100534535	0.19127357496619538
Duration	4.9026409147889805	0.23696697018417934
Long	16.365534445172205	0.19963417971755035
Short	6.322004011160585	0.32378112326908753
Consequential	7.706794272859549	0.5675242983888541
Social	14.82434935433373	0.49683362458461783
Human	10.300706924344627	0.1883826169181219
Communication	28.433609158039168	0.2814986047541353
Self	10.540869204165102	0.2141177739832024
Cognition	5.400777621798925	0.33550105292968463
Benefit	8.211681686943558	0.3561703859448593
Harm	10.438108828662413	0.4446352791637023
Pleasant	26.516548416338924	0.37193205489154996
Unpleasant	21.32098461832164	0.5046601974937629
Happy	36.54188915671614	0.3012659286617273
Sad	29.7819944143605	0.3827456295942451
Angry	26.122015619936082	0.5014099849312553
Disgusted	4.680973717197866	0.4182781151199986
Fearful	16.056164148860894	0.4728121385613588
Surprised	14.262238387023599	-0.09021821885624993
Drive	12.864738369126602	0.20962771410040873
Needs	7.6914389869597155	0.22829838735463062
Attention	14.693434304463855	0.38665746278769136
Arousal	15.217733670685629	0.4242944704333479
average	18.88030076247845	0.323143713361086
std	16.235972360031717	0.14817049354593245
Avg ± Std	18.880 ± 16.236	0.323 ± 0.148
