	mse	rho
accident	20.895191107515387	0.5334015473435828
accordion	14.680992749499026	0.3644282148216226
activist	20.419786860096046	0.5528277130489063
actor	12.43114650380344	0.3568046397093184
advantage	18.023223926558746	0.14954910890198972
advice	16.474050907251158	0.3743167196350164
aggressive	18.531543390262534	0.5198240554448817
agreement	19.79647414294062	0.28041972936629794
airport	16.21959839204655	0.21647375781823644
alligator	15.678540561863526	0.10577279733571239
ambulance	13.478722517552146	0.24065359927780242
analogy	18.571494525787784	0.35011040956010486
angry	15.999847531865386	0.425424959037498
animosity	20.02453980580095	0.592914176052873
ant	17.405636379795244	-0.03434166337998758
apartment	15.179421577351725	0.24304338323773103
apology	54.356104860081025	0.5447052404075806
applause	19.868535891447333	0.4063833580931333
approached	21.015658134200613	0.11957317331604532
apricot	20.704325019631852	-0.17169665701006703
arm	19.695822202121278	0.10591536195826333
army	16.95535517216999	0.493494054850473
arrested	20.530535752922518	0.19145238682065396
artist	13.625186350711118	0.3684479729357136
asparagus	19.248116619452503	0.33079059245506337
ate	19.027273066706655	0.389956605579044
attribute	20.055897148301533	0.3051799551179114
audience	27.37732377506868	0.5024407528223181
author	27.507068126845045	0.11962464687062146
avalanche	13.770744567257498	0.4592311507208899
awe	24.117434055612677	0.45608450266867706
axe	17.348845273314424	0.271617933497289
bagpipe	14.585034599593504	0.3112962184342533
ball	16.85882433970031	0.23749470474723683
banana	23.016266672355552	0.27508805101949574
banjo	16.099930928141262	0.1874990900016259
banker	13.893543304855106	0.43486014775365806
bar	22.71499579278878	0.09991377135007834
barbecue	9.933056072678475	0.29773926644024684
baseball	22.914701594358647	0.07091079347381063
battle	23.491701472545444	0.462406295705423
bay	13.86880231412027	-0.026750868860767288
beach	10.340497299530105	0.1532548063905646
bed	16.5108594055364	0.10305120481921538
bee	18.69259813693769	-0.1197450839931303
beer	19.388836152483176	0.1459971386475566
belch	19.84241475440832	0.28025199999201605
belief	18.168019482418792	0.3048474196239049
bell	16.811372972892812	0.295139000596134
bicycle	11.492215446057982	0.36244063713411295
big	20.66016434186321	0.1111956385944527
bird	10.656984755589653	0.13735147962041283
black	20.2082254827406	-0.061975623500908475
blocked	13.30488326191942	0.42593624264539465
blue	21.025199781484353	0.09101941304942175
blueberry	13.205665902921696	0.16006548155535602
boat	12.924527039539424	0.24344040426756605
bonfire	27.498928691546613	-0.24226126938107942
book	13.97592028658929	0.36574887004855416
bought	22.19316581567139	0.1927154652341296
boy	21.663903372599997	0.2966916170625336
bread	13.00568585725652	0.4392354074671755
bribe	16.63641332043872	0.33592962544483634
bridge	14.234969588746967	-0.004795392607007519
broccoli	16.128798215040586	0.262598542706082
broke	23.370771929043013	0.3792332529358949
bugle	14.409817226052784	0.311719063892025
built	18.94785399275265	0.23487804945488167
bus	16.16952850083602	0.32861697347816615
business	15.382228431981774	0.3286418039342167
businessman	18.74760952109403	0.3827772322795133
butterfly	23.16600394896505	-0.058447737451266975
cab	14.0610527313682	0.3953821465569974
cabbage	13.4846261111088	0.006578852255747519
cabinet	16.052196302425717	0.26928420363979233
cafeteria	13.24413327598444	0.30584625685509953
camel	15.021710411562845	0.13659150122710986
camera	12.950718930968044	0.22260550536551604
car	19.68879835424037	0.5076572398496231
carnival	14.646679204335667	0.27636502567802124
carriage	13.927074614639332	0.4118609971336777
carried	17.061985263309303	0.33637812885118346
carrot	15.016714504215445	0.38894492956939325
cash	18.675209646421667	0.30829485480195407
cathedral	12.694449823104655	0.41643284885064774
celebrated	22.97948557357867	0.3446844701425782
cellphone	22.909600826868527	0.21645477361037277
chair	23.3787269165011	0.2014849094888731
cheese	17.86564368216915	0.32822733544326876
cheetah	15.27613080096161	0.29959515581244966
cherry	13.610350212762269	-0.1181543194256924
chestnut	13.118253725812346	0.2541037720001808
chicken	20.324436065886374	0.07828807534690231
child	16.033234491394637	0.3538043441829856
chime	16.23164151120346	0.33785978980741943
chipmunk	12.295061327606911	0.09738343284003591
chocolate	27.55115395955005	0.36874729462965267
choir	19.05959406692354	0.6281112766110868
church	13.118551963730534	0.2871760647436413
circus	12.71544485327886	0.3096372618911407
clang	25.79420496795116	0.5377576894805225
clarinet	15.413756433773024	0.44584129414906865
clever	21.366788124828943	0.3823168765238555
cloud	16.658975982714455	-0.1840559082838301
clue	14.249682555988283	0.29407124020676206
coffee	25.33882664260426	0.400374169571019
cold	19.424963346307592	0.005175288070910905
college	24.02791168227469	0.30875820421729644
comb	17.4708443076012	0.30266179837987484
commander	13.557019729229093	0.4873328611006554
company	13.859850149617676	0.20555776935525114
computer	16.547917112210843	0.19881850372569423
corkscrew	14.518912277638968	0.3718258515096359
corn	15.225935043753898	0.4666471991240379
cough	28.46872447780785	0.33834687634979255
council	16.05537815937192	0.5118461487243626
couple	15.831590970040148	0.22769196077373666
court	17.81215350935878	0.44778393391768745
cranberry	18.53409007890542	0.18029529580441353
crib	14.70834813592083	0.15268582470839523
criminal	17.865382222948053	0.4448504295260827
crossed	22.625418420781372	-0.12760920205810883
crow	14.82900342894398	0.08398375130897322
cucumber	13.876859879986185	0.2538262769936411
curse	23.089306492051858	0.5511707730353951
cyclone	22.156730419342797	0.14339578822921176
damaged	18.655628902441265	0.5040194361536082
dandelion	20.875354436162397	-0.23443095860112234
dangerous	16.59147545227433	0.46519446651603963
dark	20.310636220492203	0.11575348074013031
day	18.649776963653732	0.22938504599079798
dead	15.350533219809009	0.31730396516233017
debate	16.865135520357562	0.5494402827420959
deceit	20.178355706349855	0.4474841882969435
delirium	16.462152380710354	0.20503602749203517
delivered	15.49137925120295	0.2578617690819439
denial	16.495418969309032	0.4174231076031353
desk	18.24745652595948	0.28370578020764564
destroyed	20.648553774826485	0.6449246407867765
dictation	20.043986694503484	0.36660238117037447
dime	13.9889144826592	-0.04101499989234651
dinner	21.803417845086067	0.6442392102336625
diplomat	14.4424956832276	0.5303497816279904
doctor	13.44112651079859	0.2880902709382398
dog	17.76169499900621	0.1976091688771342
dolphin	14.85643891884272	0.12347086896897017
door	18.42586810107976	0.11464652171884356
downpour	16.300846189161014	0.5020899884361486
drank	22.433192716077205	0.31902704928896614
dread	21.83076938481945	0.5194171454416447
drew	17.10587218513518	0.46619994741552856
driver	16.669398729059235	0.38907401975675737
dropped	24.89252302870237	0.40701603243633677
drum	24.75921698354197	0.2231512676563386
duck	12.821956874270759	0.12900869174976848
dusty	21.047566240716808	0.015317159379917056
editor	17.971276214387025	0.5846905963503128
egg	15.52096849804357	0.20135074124387
eggplant	17.077363987092358	0.22990354679970923
election	13.939180984317353	0.5932366958584815
elephant	17.895117597646372	0.055561239373997165
elevator	19.76447798234777	0.3480561388104435
elm	14.150810118092274	-0.10449397401245594
embassy	19.992240273164228	0.48561793919973195
embrace	15.485493855803899	0.1255005128116312
empty	13.064982543237017	0.013980496860901817
ended	17.936674337604067	0.16193777335496173
engineer	17.91451612350157	0.412195462202298
envy	26.975470703957853	0.4089454340122039
era	12.135787471010756	0.22943105919873769
escalator	17.956975359838072	0.16844228459538113
etiquette	10.55419943628523	0.4120595745663167
evening	20.062952711211288	0.1242929654126779
excuse	16.413225108543173	0.4579947579475962
expensive	25.478094340360354	0.2121141384018844
explosion	25.16103841189002	0.5373776280494447
eye	21.463446038498613	-0.09977198930066586
fallacy	24.34671365255272	0.5741067343661689
family	14.863848067433734	0.25369493855113917
famous	23.19250123822338	0.15096105663299883
farm	12.176693324299636	0.2023355480594724
farmer	20.18846927308903	0.2945371704006862
fate	11.38352903544364	0.47805181825186016
faucet	13.129339611711755	0.20889677463941123
feared	29.228886374105905	0.4696821450087146
feather	21.831419005265563	0.21149745207877413
fed	13.497201588749924	0.40508186289389386
fee	18.31266118553622	0.039164109726964554
fence	15.561386422990628	0.10704942359140114
festival	13.643328094921642	0.3878359256701739
fiddle	19.359054511631335	0.2654761249683494
field	16.942157271880824	0.05127455881434746
finger	22.11749187413952	0.03843512133314701
fireworks	20.294649459172074	0.2587293125276604
fish	17.20075032334668	-0.022885034418642702
fixed	15.081448100935903	0.30241908033856957
flew	17.550213411947936	0.149933504533123
flood	20.085890386356656	0.4369327975735472
flower	12.900558545029053	0.16231384684659556
flute	11.675142025974464	0.3528689724865336
folly	27.469092346514657	0.46567576078235406
foot	17.143134024083466	-0.30339345328561307
football	20.324174229813465	-0.06899072301585542
forest	16.27944502447563	0.1692462905611594
found	17.206366490442274	0.253920940727
fountain	14.683858444719142	0.08339423281180255
