	mse	pearson	spearman
Vision	1.064417491718305	0.8235892198587175	0.7678365723921559
Bright	0.8157355700007963	0.6023597414544634	0.5964680231239724
Dark	0.7668182516489529	0.5100778615267488	0.46562697459979424
Color	0.9909165901736913	0.8096922048898445	0.7516466853750201
Pattern	0.6939395358009747	0.7804849982585199	0.7836619842927056
Large	0.9437894767843691	0.7936145337003271	0.723655764389509
Small	1.1120531693213258	0.7068152180717747	0.6523609089740854
Motion	0.9858608705480277	0.774835778914639	0.7389601684480211
Biomotion	1.0829746236313185	0.8496475192802035	0.7025630844138656
Fast	0.8343808390279923	0.7621301756252683	0.6872374015115925
Slow	0.5646392611168782	0.5035193145358188	0.5775632237379706
Shape	0.9809773761661151	0.865048075054571	0.8566404399301264
Complexity	0.5161544898769174	0.7502457677971448	0.7574937781860951
Face	0.9281911694154841	0.8316830991746077	0.5709428665211598
Body	1.019676345915464	0.8425260111932765	0.6884875233538825
Touch	1.0088646061493936	0.7537845317646135	0.7539121611595669
Pain	0.43442559522040225	0.8000110010456783	0.6527432127437351
Audition	1.3061056776911866	0.7785367504555785	0.718762737775792
Loud	1.0214686237154138	0.7869758433755903	0.6598763209247899
Low	0.31456482754382176	0.6652310288543168	0.5516501000087553
High	0.5670942286149072	0.7474651435535609	0.558466318363642
Sound	1.2059851039989982	0.7752332681507019	0.7018701115887125
Music	0.4768793685758498	0.8427107349818881	0.46543988465444136
Speech	0.9972956525930282	0.8175469949035248	0.6042538758394769
Taste	0.636180550440119	0.852926251624359	0.45201327330217894
Smell	0.7950392013998966	0.7646395344738359	0.5988449061215111
Head	1.2894221557782457	0.7308238121145841	0.6559078044399482
UpperLimb	1.4032952328889763	0.7148215523948905	0.6673738999420815
LowerLimb	0.7399810442654983	0.6745395371273991	0.5672585613312016
Practice	1.5191666266929489	0.785733574432148	0.771269380198466
Landmark	0.7491853933076559	0.7974889401652742	0.6027581725347965
Path	0.5834140001336411	0.8112488204616287	0.6734990342803184
Scene	0.8294860381758283	0.7742881546211223	0.735787572579809
Near	0.8777321564763577	0.7476128365698589	0.6847926049022555
Toward	0.5010831509141034	0.6691425284098539	0.6286240767969653
Away	0.42332252675297627	0.6593395587241365	0.5735908691109791
Number	0.40522336507319456	0.652687196791199	0.42026650574477226
Time	0.5016210172237151	0.7328123860305861	0.6050831801548021
Duration	0.5957771485360392	0.7658073002481827	0.6980834821598163
Long	0.5667581219716219	0.6296813684172472	0.654990179735438
Short	0.4452156172317592	0.7571930702987728	0.7368835043530237
Caused	0.6260653818620995	0.832805686213052	0.8105377385716872
Consequential	0.626617213178766	0.8591602062438207	0.8435848880317461
Social	0.9839329207175928	0.8127203299309897	0.798767742724646
Human	0.7717838668636131	0.8629128053220789	0.7626550804096441
Communication	0.9716075681614035	0.7473016539197629	0.7503431020256357
Self	0.7522605993228252	0.741988809405046	0.7124579704169529
Cognition	0.7976499973634968	0.8131120868696655	0.7648347283142692
Benefit	1.0493226851067412	0.7284401938636774	0.7325542305781361
Harm	0.9067489716231538	0.7732662072472272	0.68187044071611
Pleasant	1.0270877067025341	0.7528440732835983	0.7485318749670029
Unpleasant	0.7472978778190621	0.838325441612653	0.6708880461593298
Happy	1.011077893820932	0.7329042848415729	0.7122623210082021
Sad	0.44006012804063027	0.8218360458570337	0.7039886755468536
Angry	0.49328673778940624	0.7998772457017763	0.7122416707258326
Disgusted	0.3320331769842271	0.7688734049472152	0.6282228986703904
Fearful	0.4773789262653875	0.830695539280178	0.712258173981145
Surprised	0.5196651221324008	0.7592198420870473	0.7274295864431106
Drive	0.6501276317661725	0.7346797711577201	0.7369471305502573
Needs	1.1680502534895556	0.6987221851576517	0.6675387571995325
Attention	0.8219900380858386	0.7428989368551174	0.7129898915006725
Arousal	0.8524073114389308	0.7494292106760407	0.7294909504643913
