dim	mse	pearson	spearman
BCC(log10)	1.2326104024322608	0.48111881938130097	0.481391708861291
Vision	0.7839186561274977	0.6643652389883636	0.6679715165609518
Bright	1.0482441723542304	0.4744834738151774	0.48636957064832903
Dark	1.2813650263191678	0.2870642875647599	0.2840130319113091
Color	0.9785095206649894	0.5554193120405438	0.5664225131752119
Pattern	0.7886561709697364	0.6422378626824466	0.6541275021859388
Large	0.9767358836302507	0.5586277136984735	0.5027145750064076
Small	0.9437140619969202	0.5626117284700202	0.5204947287441402
Motion	1.0805777557749654	0.43457698061124167	0.40318126753233924
Biomotion	1.489916036945992	0.4704907277752463	0.4103735698268469
Fast	0.9652153346807845	0.4798962082382123	0.42206503192971806
Slow	1.0706662699672334	0.17474124160672708	0.1646287892705816
Shape	0.9852050264698933	0.608583129667211	0.6223469419322691
Complexity	0.7522648362967603	0.28691891820833587	0.2768396007803105
Face	1.1027859142503025	0.5585974994366177	0.42684746802928386
Body	1.1059297622098905	0.5231378030606355	0.4025028091277926
Touch	0.8763605662405622	0.5210577784085961	0.5282425560071005
Hot	1.116217795399495	0.19367840835941158	0.1184064235913093
Cold	1.113045577971749	0.370381914030668	0.35774487561856894
Smooth	1.0347338737804592	0.3907909825925812	0.3864276981552696
Rough	1.0650657112987754	0.21478806077690288	0.19249605292101632
Light	1.0746682312000129	0.5090269396799968	0.49276769631941947
Heavy	1.003329289953995	0.5171263607381243	0.4779579287081493
Pain	0.748287676960014	0.5488723281957357	0.45860811334298235
Audition	1.0717136256510449	0.4560810878276831	0.4375027041357214
Loud	1.3525541042569806	0.4083881127822654	0.4069292516101249
Low	0.7737523536834826	0.05437190771129456	0.0742372862766865
High	1.1281756167023844	0.36495354726643214	0.364167136851144
Sound	1.174609311787687	0.4558769087307664	0.4273919592639291
Music	0.9979842215801119	0.3852334239549983	0.23379565728961657
Speech	1.1387724066508842	0.5449986133217949	0.4468003516843485
Taste	0.9801206493035748	0.46549788132102954	0.3042406289480984
Smell	1.02986940084415	0.41406886884386856	0.3289636103898328
Head	1.350609963123473	0.4847666094938859	0.4899211930785145
UpperLimb	1.0819101286577002	0.4298502925732447	0.4573939690645171
LowerLimb	1.0677795368566942	0.3922458543149142	0.36988841101680137
Practice	1.444410873835456	0.42131035032821257	0.4329367659846535
Landmark	0.9274775687625182	0.42205702062035666	0.3215372009933045
Path	0.7943887869307551	0.43365075967774	0.3584564447246757
Scene	0.5981708505208342	0.501344391696579	0.5113252503597687
Near	1.421612366256273	0.28598341889513856	0.2820122593550239
Toward	0.8534651055344498	0.443645082275272	0.348138260774462
Away	0.45036716738145965	0.2642446881680861	0.2511543438116182
Number	0.5609881228468845	0.26523991775144884	0.21194123565354356
Time	0.6704857755286694	0.36051292531192436	0.30019638923052294
Duration	0.6889764723023828	0.36189887825775996	0.31089727782865306
Long	0.6482093973611753	0.3828500868723713	0.3691276864446837
Short	0.5464218830051794	0.4599293921752423	0.4527929851919835
Caused	0.9052331888269773	0.34828886453734575	0.35954528032348865
Consequential	0.5293364455279592	0.5051386096949019	0.5209728704050864
Social	0.8314940868027371	0.530006820121306	0.5365200189974593
Human	0.8333414197925334	0.4950822476332547	0.5132375302989478
Communication	0.7796996883583982	0.4715221764518976	0.5046859472587859
Self	0.7648193412448501	0.39096957456851444	0.3672126546235085
Cognition	0.8060013295864101	0.4912008862310729	0.3891674825133561
Benefit	0.8869723850168365	0.5345360627818254	0.5165453787539539
Harm	0.7989885088782952	0.5670757150496983	0.5104688399487959
Pleasant	0.9678356187175863	0.5148991028531672	0.4921339689599809
Unpleasant	0.8173335885928242	0.6228230471195311	0.5279598554548528
Happy	1.0006519827764369	0.5148374451606372	0.5077399752614261
Sad	0.8080632729927792	0.5675357765016701	0.4826681950810248
Angry	0.7064640920310603	0.5871619668431006	0.4953937318068486
Disgusted	0.7006673707398441	0.6108864272964087	0.5262569055835341
Fearful	0.7454204027765237	0.602456896878346	0.5147267980956249
Surprised	0.6708958779700269	0.2701631900697154	0.2720322035708421
Drive	0.49384920896855267	0.35099283706241396	0.3434922166654292
Needs	1.084980943565301	0.4271703571818355	0.45480592779173346
Attention	0.6173559450261533	0.28514285011590523	0.2762079936996066
Arousal	0.5714501222215721	0.31819043538940245	0.3060704201617433
