	mse	pearson	spearman
Vision	0.799962723806016	0.6210334106368587	0.6035307524015352
Bright	0.9292412973838339	0.5072154388676984	0.5176813574458841
Dark	1.10372187389686	0.34694606221504865	0.356740699697228
Color	0.7108233602463102	0.6292216506884323	0.6219058639831563
Pattern	0.6431581127097641	0.6777508012281317	0.6704115474108627
Large	0.8592976705962941	0.583781554164223	0.48806749048650466
Small	0.8074760202633569	0.5812261774614457	0.5122562831150559
Motion	0.6954510510911139	0.5400708323634642	0.5400296059186025
Biomotion	0.9151051165617826	0.5884308425070296	0.513214228178288
Fast	0.8462173320696713	0.5043473064201585	0.43048588212898214
Slow	0.5480105314216995	0.3195836039776803	0.31889559943631773
Shape	0.7370147528237446	0.6446599486222231	0.64545770546866
Complexity	0.5104853317606806	0.38052617123869065	0.37593582923453034
Face	0.9510241279193247	0.5748037469893023	0.4159343621239075
Body	0.9719957919744857	0.5169649996719904	0.35120795866148474
Touch	0.7014201784290652	0.5428711629232607	0.5172911114614396
Pain	0.6098078036033999	0.5796480517391623	0.47598430351153337
Audition	0.6179866839867609	0.5995203671822623	0.5619679766822812
Loud	0.8080351429542774	0.5543384637267494	0.5478605772228559
Low	0.5500240466800954	0.1069255688272274	0.08503131598378992
High	0.7601405932390539	0.4891265422231286	0.456357778673868
Sound	0.7123796356918931	0.5757947034183339	0.4938191047261384
Music	0.8436010098423639	0.4149515071255113	0.1721439180597284
Speech	0.9504103630581293	0.5683875759409205	0.48148522206356825
Taste	0.7237276770672595	0.4766984970210048	0.30548134736313737
Smell	0.7224195664986677	0.4680641838412124	0.35028529517833784
Head	0.9306728087996239	0.5684161056859558	0.576348932830368
UpperLimb	0.9145890307901408	0.4559474139476059	0.4564687995507306
LowerLimb	0.6823649386588089	0.5057919371550141	0.5036809151346404
Practice	1.3055965706594042	0.3941830750063094	0.37981879078838165
Landmark	0.6394161267807631	0.5393984318904286	0.36957799494548216
Path	0.6235010248661597	0.4413168527733978	0.3705739808338775
Scene	0.5730897055524681	0.4747451521027152	0.480203375438726
Near	0.9990850901771692	0.37470435312075223	0.3540157131303243
Toward	0.701495898537315	0.4470972062959021	0.3608878342022104
Away	0.41869531040192126	0.22915805756370564	0.2039314143294217
Number	0.5293751472393896	0.21679797719221838	0.16795450102820517
Time	0.5144979861623611	0.3742215281881074	0.2777934750551974
Duration	0.4420915686278276	0.40735680667702673	0.3334760355317347
Long	0.5324385873371675	0.40082134595071855	0.3850275767403281
Short	0.4656145600379501	0.49335955512414476	0.48369841670869695
Caused	0.6110188347969385	0.4444843788912893	0.4511871942993569
Consequential	0.49148104287542543	0.47990457982306023	0.506394397567447
Social	0.8856158775386547	0.48564179132585644	0.5082876907406557
Human	0.6851412751604754	0.5360239987559419	0.5471159602597871
Communication	0.5814040941274933	0.566572422521943	0.5830382016123268
Self	0.6731532925729274	0.4080859296091332	0.37592331688463587
Cognition	0.45565290927130436	0.6527720000275414	0.5637473121995853
Benefit	0.7998561871022551	0.5454583180655351	0.552681275042098
Harm	0.5993226325711929	0.6323286275716942	0.51675812976571
Pleasant	0.8055007162370795	0.5607612380438283	0.5329374774416598
Unpleasant	0.7030558015434683	0.618157253107323	0.47687219499176275
Happy	0.773004237482244	0.5713131244606667	0.5683484903981131
Sad	0.6472387513096158	0.5840733972979838	0.4731898117404314
Angry	0.619677323755966	0.595072106549347	0.44476922822414
Disgusted	0.6694553860870316	0.583543870695322	0.41824752104614066
Fearful	0.6240180177622868	0.6068655863436192	0.5215916926724832
Surprised	0.4914730673899637	0.31289760849927784	0.2656233617670435
Drive	0.5003598871385979	0.28760670754865336	0.28219746584648975
Needs	1.0769835177398155	0.3892507769597452	0.38151241848416717
Attention	0.4981883137359547	0.29716138134735226	0.3105298985432271
Arousal	0.46510826505953967	0.3222489554551092	0.32688263645759885
