dim	mse	pearson	spearman
BCC(log10)	1.088278671941295	0.498528983732213	0.5261476797854862
Vision	1.054277772524813	0.5634163641322409	0.5474893565764025
Bright	1.5850363627233577	0.41809744160079526	0.44007386480896227
Dark	1.8554666608715586	0.27092988354209724	0.2807598163233216
Color	0.9546702724816836	0.5772913565131359	0.5701904954224526
Pattern	0.8770014948535577	0.6208001094281757	0.6184585557715958
Large	1.204547305644134	0.5263492518824849	0.43036086529531803
Small	1.1524164185398282	0.5023125783689706	0.446553192267369
Motion	0.9635938278073779	0.4650796625286292	0.46272237225403384
Biomotion	1.2293360146808128	0.5275974196479541	0.4579622691198221
Fast	1.153157400052817	0.4380333612599386	0.38061467775953256
Slow	0.7213351616739633	0.28897528534534	0.2925813629257294
Shape	1.0125227645753951	0.578193899148318	0.5780178079838919
Complexity	0.6718214800914556	0.34825020149979424	0.3442149014359046
Face	1.2984977880207937	0.5064582435419333	0.36583356753616014
Body	1.3294940926428698	0.4467762990097219	0.31695579044657995
Touch	0.9564323112125692	0.4809200258567697	0.4562419344248244
Hot	1.1902491815813332	0.22693242667554991	0.16386194370961632
Cold	1.173121223366556	0.40754232689975367	0.3883655166112856
Smooth	1.0728573177287326	0.3997738756661244	0.3918032780317221
Rough	1.1186912735717478	0.2267331731626614	0.18824985501532726
Light	1.4336596858889123	0.4180978517655781	0.38362127965873455
Heavy	1.164145628861196	0.5008597458372274	0.45623870110990444
Pain	0.7614522111349624	0.5386126435584331	0.4520786563612617
Audition	0.8101755924605966	0.5444592852581298	0.5068258923183588
Loud	1.060550807017974	0.5033680219945795	0.48890633047732013
Low	0.7670227481995225	0.07299831629644342	0.055082602110191094
High	1.040586133805599	0.42963810047707013	0.39875643002811695
Sound	1.0160612158878806	0.4974575242933271	0.4266839107928112
Music	1.1074001114995033	0.3768343716373458	0.17829882156227442
Speech	1.2661012963089422	0.5071614272985745	0.430106093719691
Taste	0.95059812972566	0.42301202374706115	0.2795195912177102
Smell	1.055459728469962	0.3902876782438736	0.3075474751234825
Head	1.229047353775893	0.5022915189865611	0.5052223381525108
UpperLimb	1.271411150500375	0.3852852660510489	0.3920027010467688
LowerLimb	0.9270217257466891	0.4554667306064884	0.4559557257463157
Practice	1.7895498991414258	0.3389580793922155	0.3327250705141166
Landmark	0.8595935368526065	0.48417407702194604	0.3329941290481991
Path	0.7937622034723673	0.41363982588044595	0.36022000771681767
Scene	0.7874533565130986	0.4123811679019961	0.41515534996892284
Near	1.3002517013099506	0.3327760022473771	0.32076023612833626
Toward	0.9804042261859187	0.38645200890765136	0.3223223323588279
Away	0.5491541406643196	0.22294189110919432	0.19513295174680806
Number	0.7269441224861566	0.17650522833735302	0.14772974270088798
Time	0.6802113755577033	0.33770652992025013	0.25003234634258054
Duration	0.5568970310983385	0.37600259770656475	0.30278511369076366
Long	0.7135046868732648	0.34882274403950164	0.33904606922830194
Short	0.6349299482572949	0.4384380857913449	0.4325578270626398
Caused	0.8479989988744047	0.3752236196863966	0.3844383540184716
Consequential	0.6205032006016881	0.4302909255550835	0.4427637140060785
Social	1.20135971587773	0.42106262776266956	0.44119419659352765
Human	0.9477410814877159	0.4658106157434232	0.4707309964086647
Communication	0.7870711500020062	0.5102960427574759	0.5253336958255714
Self	0.8886831595056188	0.3609318877043139	0.33210841140881925
Cognition	0.6417678241755043	0.5881338031914659	0.5009380594477009
Benefit	1.1592139674216209	0.4940811022425248	0.508679474436922
Harm	0.7946183289210188	0.5838082107000406	0.48648405770374714
Pleasant	1.0963593034552015	0.5135598971271488	0.48443758968232775
Unpleasant	0.9711291694896429	0.5575562515030283	0.44437033710493656
Happy	1.0679699993061393	0.5218386599833058	0.522753849340573
Sad	0.8812393476760004	0.5233551028108747	0.4322111255065343
Angry	0.8985201915576422	0.5295883385853071	0.4034255736812824
Disgusted	0.9170387966072848	0.5317667488178079	0.4043867738269184
Fearful	0.8317505733416247	0.5570663987216137	0.47753939491877045
Surprised	0.7115241113024633	0.2577803426774624	0.2123908545848941
Drive	0.6847061936923043	0.24332924232456987	0.23394277972182387
Needs	1.550016315335271	0.32791311457786754	0.3247279997801438
Attention	0.7130320031298266	0.23467456833605976	0.25242151780537414
Arousal	0.6387853127475001	0.25267375803027287	0.26764203953082144
