	mse	pearson	spearman
Vision	0.960658881779603	0.5596951542785831	0.5255524644694771
Bright	0.906880690334542	0.5181802874126551	0.5235497606714421
Dark	1.0771998606660995	0.34082273005533487	0.3311670059985749
Color	0.7640236839441382	0.6011536945731732	0.5966460128484143
Pattern	0.726554368718891	0.636792529484923	0.6350586592094946
Large	0.9401059256728193	0.5686529745687144	0.4748288224357868
Small	0.9023851550758779	0.5505352964909207	0.49453170990155704
Motion	0.6361317244868213	0.578344204284116	0.5845974357015181
Biomotion	0.9518058105787596	0.580110458888085	0.5100699417192189
Fast	0.8413629368590307	0.5178508557894839	0.451537816245818
Slow	0.6650855628661866	0.244715748906113	0.24745647847406657
Shape	0.8250519555547899	0.604140001614779	0.607706572138891
Face	0.9535505155904982	0.5704596287548658	0.41703695744709135
Body	1.0033025080350761	0.5097022890616286	0.357865786275062
Touch	0.7379032281826869	0.5163337873585503	0.48618163137136783
Pain	0.7040875329705754	0.5395050053103345	0.4083349461905046
Audition	0.6547600585024094	0.5975952495047292	0.5606554893728459
Loud	0.7824810530168426	0.5760430757902264	0.5771667190354002
Low	0.5994186191375116	0.09947632520545434	0.12070149594514172
High	0.7100725483866885	0.5235410374812808	0.5101873629106592
Sound	0.6858655433546554	0.5984880174271391	0.5368421493711513
Music	0.9200962362891023	0.3912377235678128	0.1598682702492347
Speech	0.9446120725893655	0.5670606604658401	0.4754877301433192
Taste	0.779516462319983	0.4631071917300183	0.28273078422577724
Smell	0.7044053249576855	0.48441424842103686	0.37222971687269957
Head	0.9163303261027675	0.5853802853461961	0.5828515861702159
UpperLimb	0.9941857589102169	0.4418179805831016	0.44229705838070715
LowerLimb	0.7648049924460225	0.4819293468567805	0.4732802080177875
Landmark	0.6670835717881989	0.5267934024725848	0.34865770693978976
Path	0.6440608033615383	0.4395748790260937	0.3646559527354286
Scene	0.5368436061622803	0.5012846969567335	0.49223658110485574
Near	1.085476517797506	0.335161590907317	0.3214340925389682
Toward	0.7374735485674396	0.45505438147914246	0.3575052996912258
Away	0.5135324408271869	0.1507622915315275	0.1395406564148048
Number	0.6096384028454053	0.19018413765706832	0.15979919527928785
Time	0.5570640514249344	0.35116255469418917	0.26886162845770223
Duration	0.48525896333018126	0.3837248012494542	0.31933522016817323
Long	0.5564486827558411	0.3825967816052297	0.36408246919766796
Short	0.4627983638050582	0.4872908223655242	0.46475013306893287
Consequential	0.5488106419749432	0.4562459851002851	0.4870287435162459
Social	0.9334276666786765	0.48194142391694406	0.4900316310344438
Human	0.6790332044805256	0.5537379080941665	0.5509597022983865
Communication	0.5504162990142065	0.5813345903601028	0.5864552097516604
Self	0.7178507117105528	0.38816600418841707	0.34918694694301033
Cognition	0.5454758707165729	0.5995013135172749	0.4942714869510677
Benefit	0.8354577487234458	0.5434602298839926	0.5394253328792236
Harm	0.7158536640573245	0.5831623085194846	0.46056431432573064
Pleasant	0.8715159020944897	0.5434295896450635	0.5058103982588179
Unpleasant	0.8075901526615958	0.5791042530261469	0.44856338352935293
Happy	0.8300188080794533	0.5535723109782319	0.5401676986734577
Sad	0.747571578506329	0.5480436804341465	0.42043733034313
Angry	0.6884698689974742	0.5645899602128955	0.42099281782806414
Disgusted	0.6939085218689478	0.5701702710220594	0.4136302550102272
Fearful	0.697981991748104	0.5845554541081022	0.4873861754202563
Surprised	0.5570700292621462	0.27675824205202215	0.23733180001799475
Drive	0.5357564493594004	0.2990756305078456	0.3045963502856436
Needs	1.0754347882977613	0.39569910214074183	0.40101889130616347
Attention	0.5287875733094397	0.3021568958617836	0.31335365515037905
Arousal	0.46303281124446716	0.34907734134547636	0.3618500626020456
Average	0.7446064842844248	0.4780416715944396	0.42644646938161607
Std	0.16696223272914748	0.12348002271224019	0.1232913583554161
Avg ± Std	0.745 ± 0.167	0.478 ± 0.123	0.426 ± 0.123
