	mse	rho
Vision	0.9605224816016716	0.5347792186073793
Bright	0.9069298181274548	0.5292079718236007
Dark	1.0774442067768022	0.324162369157822
Color	0.7640413449270155	0.6077632823661174
Pattern	0.7267960228232181	0.6466896525733834
Large	0.9401646015736815	0.4864088193658661
Small	0.9025395253118358	0.49583906998457944
Motion	0.6361101541839508	0.5843934516150511
Biomotion	0.9520428339365056	0.5127744072644979
Fast	0.8414234270013975	0.452826143597982
Slow	0.6651061004961332	0.24796075870053727
Shape	0.8251362379602689	0.6118353957152866
Face	0.9538442168258171	0.4183523805022247
Body	1.0032986572940843	0.36068543067592773
Touch	0.7379395055750678	0.4996642229689074
Pain	0.704210952065805	0.4194031307580757
Audition	0.6547870743990447	0.5637193201765606
Loud	0.7824192738674031	0.5768339489480157
Low	0.5994447556007511	0.10940848288869445
High	0.7100751950954455	0.5005401143072405
Sound	0.6859529043322531	0.5281049410815407
Music	0.9200554368108061	0.15636614027916393
Speech	0.9447684279903497	0.47849527127570834
Taste	0.7797232580849385	0.29766134729719573
Smell	0.7045566838039143	0.3708899463049392
Head	0.9163391751695977	0.5791911934608953
UpperLimb	0.9944486381438964	0.4317201684565122
LowerLimb	0.7649083777953184	0.47270152072603616
Landmark	0.6669424045209961	0.3555146967509466
Path	0.6439182695632383	0.36813574034187224
Scene	0.536711208498218	0.498170957674475
Near	1.0855213978180616	0.3224864795967908
Toward	0.737731884420743	0.3651916573380007
Away	0.5134745138171785	0.147366632171357
Number	0.6097784123380642	0.15818226541040145
Time	0.5571068758224453	0.27274541038251765
Duration	0.4853708695902974	0.32864204146212633
Long	0.5561500256097337	0.36394734428312836
Short	0.46288980437323085	0.4617720492490342
Consequential	0.5487639663756382	0.48422612089276723
Social	0.9330513093863	0.49907092627404953
Human	0.6790270579028844	0.5551937690674283
Communication	0.5501791455204368	0.5943391745820017
Self	0.7178318188391544	0.3507378582627294
Cognition	0.5454398787775603	0.4923918716623769
Benefit	0.8356349872796461	0.5420194361563574
Harm	0.7158075159589415	0.45848965731608776
Pleasant	0.8714775756322726	0.5114731811876678
Unpleasant	0.8075039522192797	0.46194399944859416
Happy	0.830172184696924	0.5386470370702068
Sad	0.7475651557072657	0.4286997717599971
Angry	0.6883768735390907	0.431471606609711
Disgusted	0.6938279245560013	0.4155069457486393
Fearful	0.6980490460792559	0.4870851018236274
Surprised	0.557231946105192	0.23660707494700564
Drive	0.5358136281977504	0.3037603040313832
Needs	1.0756591251529193	0.39744934041583513
Attention	0.5287661592156979	0.3172320840712928
Arousal	0.4630161367038497	0.3750384750605858
average	0.7446410227422491	0.4291850357954022
std	0.16700397767843214	0.12425166843999137
Avg ± Std	0.745 ± 0.167	0.429 ± 0.124
