	mse	pearson	spearman
Vision	0.884386525655853	0.5782541360433766	0.570598655899283
Bright	0.798516155129395	0.5266636948116212	0.5207289249096355
Dark	1.028869950009677	0.3069301624347546	0.3284753159117733
Color	0.696451233398367	0.6136637397339333	0.6203963591069332
Pattern	0.7646694072432867	0.5984793728956033	0.6054966519132832
Large	0.7757603157140115	0.5930066907715266	0.4911057294422913
Small	0.7570708773115599	0.5706921197722259	0.47772217432335606
Motion	0.6132780673525946	0.5472086903134727	0.5630433310466152
Biomotion	0.6190224289321126	0.6870952065748165	0.5979594335482126
Fast	0.621618143937342	0.5963925328132025	0.528125359923333
Slow	0.5574838635567672	0.24783614130205556	0.27400696155574544
Shape	0.7663601541727398	0.6284846573554156	0.6414404172298885
Face	0.5661001255147082	0.7104965442944129	0.5330891836322668
Body	0.6158425980067735	0.6521559703347511	0.47472987063468386
Touch	0.6953470861472033	0.537517884537663	0.5333858387638528
Pain	0.693715550940263	0.5082408857179098	0.3963084191753169
Audition	0.8382196966313865	0.49268467984357756	0.43810557384251786
Loud	0.9045833447245922	0.46359440506306715	0.44545244719013277
Low	0.42693942981161925	0.17553784011349954	0.15733521915050316
High	0.7358346228107753	0.45883133389525244	0.4302573521946895
Sound	0.8830959836097335	0.4950059337901416	0.41666109408359214
Music	0.6221714597142108	0.5176188381024461	0.25511270132282476
Speech	0.6085241457404994	0.6874788154407565	0.5851485138332497
Taste	0.6182327629656118	0.506683244218397	0.29253241050484374
Smell	0.7087656630763355	0.4276413306376704	0.2817910621603902
Head	0.8444198154615922	0.560291785785162	0.5707576100044802
UpperLimb	0.8194150895258595	0.46382166812346154	0.4725765721105509
LowerLimb	0.6820737367663284	0.4597665170824385	0.46177375675132665
Landmark	0.5381189937285668	0.5680553386901532	0.3972742494166422
Path	0.6115731659399091	0.4093218181328888	0.32227770265981853
Scene	0.4917332502335289	0.48482459960518937	0.4997458819053341
Near	0.8816436577853363	0.3976440238669416	0.38426990060299665
Toward	0.5982162443711225	0.47065438908573237	0.36124669673844356
Away	0.3983164024964284	0.18618573422429743	0.1824011263886241
Number	0.411284217878936	0.2829268445489218	0.2532302224220514
Time	0.5464405291617859	0.3112037009241905	0.23633615601562577
Duration	0.5036105472754129	0.3485301818310316	0.2722955384740203
Long	0.535211284817793	0.33978803314860195	0.3209583463840724
Short	0.4287833956202761	0.47536114322870465	0.45280567593029214
Consequential	0.44843950388498055	0.49861716986619536	0.5062920243850233
Social	0.6699465630558379	0.5343388825615054	0.5491651347635107
Human	0.6120412537281309	0.5382559882127704	0.5546692712882259
Communication	0.49686387286265904	0.5739068344865531	0.5919192236491921
Self	0.48801107888342543	0.5096900813014243	0.4724558896337173
Cognition	0.43665686100933454	0.6356136194864471	0.531637588394438
Benefit	0.7869886480109468	0.5133846399401484	0.48187716294970767
Harm	0.7170639849457819	0.5555261759561351	0.44072977906690103
Pleasant	0.8350183477478211	0.5084278680267784	0.4969957519420743
Unpleasant	0.7977068571160203	0.5536235410354612	0.41839082220608803
Happy	0.8408077836453819	0.5022241820600877	0.5088583921562266
Sad	0.7274431301239241	0.5225392919006702	0.3851077533891111
Angry	0.719034513315745	0.5096567640635378	0.36549014979414446
Disgusted	0.7086949356977552	0.5317041496175158	0.372723101748542
Fearful	0.6528142348216137	0.579255912938368	0.47035070962241415
Surprised	0.4655265796874641	0.269011073830658	0.23769556871719963
Drive	0.43510860015261965	0.3425471891677065	0.36094820917674425
Needs	0.7756845765620094	0.4915625989531163	0.4932402504275556
Attention	0.44474371774504223	0.2831517347957879	0.2889861843982204
Arousal	0.3626109018734526	0.4267309600496506	0.42486977539249954
Average	0.6527611164074615	0.487565072666776	0.4338874776305937
Std	0.15450470181748016	0.12096398097536294	0.11806607470147416
Avg ± Std	0.653 ± 0.155	0.488 ± 0.121	0.434 ± 0.118
