	mse	rho
Vision	0.8846129192381467	0.5807902283202452
Bright	0.7985445699314072	0.5137922616855295
Dark	1.0289916030130732	0.3257378538978106
Color	0.6965922891380262	0.6293815194133516
Pattern	0.7648647001198875	0.605172445542613
Large	0.7757915609263951	0.48884945543954744
Small	0.7571600165099733	0.48587054221360804
Motion	0.6133646333680759	0.5565614033251814
Biomotion	0.6192039791126509	0.5981741394856648
Fast	0.6214913547809947	0.5258639226026723
Slow	0.5576196345657163	0.27264048567616905
Shape	0.7664910153251199	0.6465834390814177
Face	0.5661952619496612	0.5257940677569406
Body	0.615769501955348	0.47717111732093875
Touch	0.6954548758210685	0.5357449451568986
Pain	0.6937446938077659	0.4021634400831085
Audition	0.8383421048498956	0.4414832376241838
Loud	0.9047038418921123	0.4528069962722037
Low	0.42700098089643507	0.159373890474472
High	0.7358835942693035	0.4268565525822772
Sound	0.8830810985225797	0.4183971417763941
Music	0.6223585844981797	0.2544896999355478
Speech	0.6088398978050176	0.5806889657271599
Taste	0.6181604352125365	0.3026630920297636
Smell	0.7087768586751851	0.29308392471486994
Head	0.8446399759669365	0.57793485702599
UpperLimb	0.8196426316616754	0.4725593402429816
LowerLimb	0.6820772337787369	0.4674660775770611
Landmark	0.538144738867398	0.388149852478201
Path	0.6113710446848224	0.3270535726569782
Scene	0.4917601167212094	0.4903559091895314
Near	0.8814611831427466	0.3963628112217065
Toward	0.5984291689004655	0.36916798626674135
Away	0.39834074021029037	0.17506578670058584
Number	0.41121826681634843	0.2561073432408216
Time	0.5464737604543908	0.23115460087016335
Duration	0.5035936902971242	0.2684862027687972
Long	0.5350242343477255	0.3245317452799043
Short	0.4287455861388068	0.4573764780805306
Consequential	0.4485333954552522	0.5040245994143527
Social	0.6700897885851532	0.5559143925802533
Human	0.6122711181790154	0.5672694507531512
Communication	0.49703007687124234	0.5900075867041498
Self	0.4882251634389198	0.4641924793176779
Cognition	0.4366674168410113	0.5372608199331171
Benefit	0.787061844884878	0.4854974537360581
Harm	0.717150354365018	0.4343256532221174
Pleasant	0.8350999539127605	0.494927084107373
Unpleasant	0.797778021599926	0.42065608235630686
Happy	0.8408563241107925	0.5023302979089578
Sad	0.7275878833527135	0.3914257404523806
Angry	0.7191457929512416	0.36948603358327126
Disgusted	0.7087697350044956	0.3647349441494042
Fearful	0.653018836281709	0.46163721685960657
Surprised	0.4655969047239834	0.24265597548695864
Drive	0.4351674699231739	0.3534406935177513
Needs	0.7757912721335438	0.4888262217672583
Attention	0.4448330943405217	0.28915107686718067
Arousal	0.3627298167532023	0.42299447149320135
average	0.6528367227437593	0.4346214509482897
std	0.15452113191118075	0.11831253993983794
Avg ± Std	0.653 ± 0.155	0.435 ± 0.118
