	mse	rho
Vision	0.9367481700613052	0.5400239415859046
Bright	1.1574442051799658	0.4072549745342282
Dark	1.1270229280568582	0.29744954856876865
Color	0.9653111754460334	0.5437973649288455
Pattern	0.8411515173674923	0.5989400846410228
Large	0.9467716054013812	0.5103154279966576
Small	0.9291828931456234	0.4955854097564787
Motion	0.8293294994590518	0.5077865735317437
Biomotion	1.1708044728047817	0.47705142814204116
Fast	1.0166283582025024	0.40292010838837944
Slow	0.6508089678088028	0.30812863243750044
Shape	0.9019354860166955	0.6130211832508794
Face	0.7965897060097303	0.5123038114033079
Body	0.92896407119497	0.3951056892720076
Touch	0.767278983697554	0.5124289682577393
Pain	0.7996358743148237	0.39076546814392826
Audition	1.1333868884340434	0.37914146022812695
Loud	1.2860806467611792	0.39158049938526385
Low	0.5062898991795433	0.16966813646204118
High	1.118978986760384	0.32676311817632037
Sound	1.146751196337983	0.3936842866635405
Music	0.8165093239849881	0.24154943949988558
Speech	0.917119069776915	0.5228486502125897
Taste	0.6766926980245094	0.36394611007367195
Smell	0.752653815651731	0.35814340957805757
Head	1.0269067971710304	0.5335280809290448
UpperLimb	0.8679342944829704	0.494908902251774
LowerLimb	1.0051576400597497	0.3447136400780461
Landmark	0.7691482370011404	0.34927252352628474
Path	0.7273531057760558	0.3130592838193756
Scene	0.6669039980228957	0.39794782378310234
Near	0.932364673523224	0.37185356277209297
Toward	0.837680217654776	0.320801297614249
Away	0.5066161962065695	0.17649463939992127
Number	0.5351398412122963	0.22379075795804912
Time	0.5686899642106549	0.27992323957019066
Duration	0.5672415818158661	0.31007664870936696
Long	0.7270439792155347	0.27009471406633867
Short	0.5422741014000599	0.43072274429691787
Consequential	0.7263778261380923	0.42025014709285596
Social	1.0660203682080323	0.4367426574261879
Human	0.9022885823611835	0.48541226569174856
Communication	0.7149844352723014	0.5269797517294573
Self	0.7052394947523661	0.39533929852014865
Cognition	0.6221310172451057	0.4836339281903893
Benefit	1.0441048756287838	0.42548177073584276
Harm	0.9038919934083998	0.4199300016924955
Pleasant	0.9928572184154565	0.4306350676650698
Unpleasant	1.0416417480584974	0.39529812885505017
Happy	1.1141138501060528	0.41443740302106413
Sad	1.0054261590055853	0.3474421242101391
Angry	0.808333066745986	0.4073903834056309
Disgusted	1.001560102350671	0.33263797082245594
Fearful	1.1007942154672246	0.35958298641291875
Surprised	0.6721542157090112	0.19496204520343774
Drive	0.6057291989373934	0.25749951911828783
Needs	0.8043720131864681	0.488564172990426
Attention	0.6219473516947337	0.26760577342474595
Arousal	0.653286077174968	0.29453372309978887
average	0.856064048757593	0.39426696107121745
std	0.19540088967307695	0.10334223843427427
Avg ± Std	0.856 ± 0.195	0.394 ± 0.103
