	mse	rho
一角钱	1.5411093516088896	-0.030256967133698243
三文鱼	1.3294528262767389	0.33778196600305727
下颌	1.6027669909998195	0.10243368366421922
专利	1.1062219292964401	0.5983563790355448
丛林	0.43344450333906165	0.7718098542274356
丢失	1.3108377801527924	0.37524117358777714
主题	1.613048910664129	0.5230757486222479
乌鸦	1.0561159505926159	0.3927621589235518
乌龟	1.4713487641626424	0.20084504953213203
乐观主义	0.35558343273390053	0.8139074144559716
乐趣	0.5056291501928528	0.8424560825948676
习惯的	0.5344131257964386	0.604307189079417
书	1.2672938258984414	0.40778090674078
书桌	0.5877124303668115	0.8163337141602234
买	1.640253306632796	0.6461963027736816
事故	2.0433409318466755	0.4011984020405512
二胡	0.8243399501114423	0.6591257955770329
云	2.0581381751865875	0.1148010724000319
交响乐	0.8765152885849727	0.738189095286746
仁慈	0.4846573401002042	0.6102177195951939
仓鼠	1.3686632854897465	0.38617465304966936
价值	0.6375997168637713	0.6539532946506355
企鹅	0.776107928186557	0.49810651483291496
休战	1.6407849425604968	0.07265764260450147
优势	1.711722589559824	0.5215802873608683
会议	0.536678520638529	0.5311952399680375
伪证	0.5632159629846598	0.6933250957234282
作者	0.8745366984089757	0.7853656251659935
使用	0.8462181993639073	0.4357352347985675
侮辱	0.5610534850779927	0.7939728114341933
信仰	1.1470243975977072	0.42410249055954385
信任	0.5565576945933369	0.8146308361660799
修理	0.7069804228679164	0.43046118491884355
借口	0.4975486329492207	0.6299035638889936
倾盆大雨	0.5590566173550351	0.735552917797476
假期	1.3513536131528205	0.2890266812483293
偷窃	0.9722587664590234	0.5415266272315229
储物柜	1.3370387591011803	0.4967622612362774
公共汽车	0.6029398145106293	0.7205835583367421
公司	0.5581399069576449	0.6717245496666548
公园	0.7150554271581426	0.857284948201398
公寓	0.6552377175688601	0.7331638222191229
内疚	1.244616088966351	0.5147976716481615
写下	1.0609789763382567	0.6061157655971601
军队	0.29714046018068696	0.8012224090156905
农场	0.47605259349831164	0.7859867887563065
农民	0.7149940996137911	0.7685675196671673
冬天	0.41741180342260215	0.4928123167750114
冰	0.7100102691490211	0.546525604410134
冰雹	0.6903095944699387	0.7141667307409751
冷落	1.0314185698167255	0.7494116817447156
出租车	0.6586268649550788	0.7577670693216494
创立	1.0764010226494134	0.641818357547926
剧院	0.8411156049710219	0.7233178732790809
剪刀	0.781102088212058	0.552790311697462
力量	0.5550129523575973	0.5114131414327845
办公室	0.5563656706695471	0.5926990587101554
动机	1.3392108471925195	0.038739296660083786
动物园	0.6758184945495229	0.5062496094287167
动词	0.6484671621887432	0.31318130539663114
劳动	0.8536918523137874	-0.02795158564980161
区域	0.5719844414039259	0.3757000593867495
医生	0.4384777270761918	0.8238165783404373
医院	0.5599615696910312	0.8085697312244705
午后场	1.0575111202007872	-0.06189787903168193
协商	0.6250011464513152	0.7534126711266073
协议	0.37608582048304046	0.8453511999929193
单簧管	0.6477372598889571	0.6455197229384547
南瓜	1.8367418396150754	0.5777102725394034
卡车	0.6560243985757525	0.3302286373495736
卫生	2.12720662879229	0.29072573745452623
危险的	0.4700124294246918	0.7187349504971975
卷心菜	0.8222228027918381	0.7724449728548353
厨房	1.188160513930694	0.35708336537048757
去	0.635504465360645	0.3798094205748679
友好的	0.6015212519720113	0.7341820600434663
发刷	1.9565099572765952	0.2587623273884549
受伤	1.0771523152000708	0.5383098020086424
受害者	0.4097911072922046	0.6854186607813187
口琴	0.7949284088361974	0.7005086960480094
口香糖	1.1255966159791908	0.709104201638518
叮当声	0.5647107825784229	0.7443649305134057
号角	0.6672244743602892	0.6592134802644848
司机	1.0298746720893972	0.4705074371590808
吃	1.380384759398428	0.47247272112882593
合法性	0.5311774702553317	0.4907736360597905
同情心	0.9790731397646906	0.35199653985922313
名词	0.4851556363073354	0.5133191996741159
否认	0.341187565422227	0.8019002216304786
听	1.1101756962896017	0.45944620951660176
听写	1.0366374776651721	0.5059346737268341
吻	2.3895062360563832	-0.01569670628108586
命运	0.9499701721427638	0.39446876123240887
和平	0.573238770803316	0.4542651374599017
咖啡	0.8257034661331024	0.7226436606654546
咳嗽	1.471472737963234	0.4785500575294716
响亮的	0.2798530310178887	0.6839890700633083
唱诗班	0.608064052252124	0.774820625890268
商业	0.5238510977931211	0.7483667583673234
商人	0.2694300133343097	0.8617237730126043
啤酒	1.0417048071617447	0.3663812077972216
喂养	0.7909381002755334	0.6995805292045116
喇叭	0.7822388635017237	0.2563030857804233
喊叫	0.6979448028164551	0.5120005047145807
喘气	1.1422525943677158	0.4456007205867473
喜悦	0.7155336157098345	0.7899506280192652
喜欢	0.5458623687968276	0.7021796832071014
喝酒	0.6200607723690182	0.7419308495056903
喷泉	0.6960608434824699	0.6739353072936977
嘴	0.8905420444255031	0.46589116283116694
嘴唇	1.2893635438937416	0.0505489095740619
团队	0.8327315269193041	0.674034187524579
地铁	1.0782549308971556	0.5798916230620311
增长	1.24207675849085	0.655109956117176
