	mse	pearson	spearman
Vision	0.9367909464445354	0.5614833565657931	0.5271223030923278
Bright	1.1571688540784157	0.42285346089176795	0.4029372309166483
Dark	1.1269208981601306	0.3020664048086675	0.2903370138401412
Color	0.9653398661138368	0.5281704470697471	0.548288647963293
Pattern	0.8410385107607494	0.599118848653333	0.6043614210940321
Large	0.946810487447493	0.5644190830241558	0.5010546600414761
Small	0.9290049512587887	0.5597158468065473	0.49735867292015135
Motion	0.8290640887010357	0.4953869804985825	0.5048836838129104
Biomotion	1.1706463026614138	0.5285744425148854	0.4770650056480685
Fast	1.0166479994897817	0.4454297928274801	0.40002248159366804
Slow	0.650715534097279	0.3246423544461733	0.30530206400877846
Shape	0.9017615348655786	0.5944366969111698	0.6050984646556455
Face	0.7964885340385182	0.6425961968770653	0.5051534038234569
Body	0.9288631818502319	0.5494500465243425	0.3847576892338121
Touch	0.7669227259516753	0.5294040522544239	0.509657167468376
Pain	0.7994217869186986	0.48990196744084036	0.3811192294587308
Audition	1.133075473173996	0.4209285932697009	0.3737954962587518
Loud	1.2858405657737322	0.4017682517531916	0.3831837621245616
Low	0.5061969817265253	0.16424116543730033	0.17776996014126764
High	1.1186322883183268	0.35187449812776894	0.32986596736242113
Sound	1.1463652313285242	0.44433701589017965	0.3989570614174081
Music	0.8163857010607319	0.445192121192797	0.23973481904167665
Speech	0.9168397315248706	0.5925487700350341	0.5217557581650082
Taste	0.6767160898243553	0.5435430142929096	0.35329416612008735
Smell	0.7524740779576844	0.4825718029488176	0.3609291152087377
Head	1.026932986538171	0.5308831470478842	0.5319231723290525
UpperLimb	0.8677036475577904	0.49412591078442	0.4961301520434609
LowerLimb	1.0048158992880867	0.3617485042663987	0.33547508520491426
Landmark	0.7690731665319921	0.4942811291252882	0.3419048361685468
Path	0.7273778242826092	0.37488163515671913	0.31136812955288595
Scene	0.6669408680871355	0.3910246295877185	0.3890957940049762
Near	0.9326310975161043	0.39686398120978783	0.37071539980629953
Toward	0.8376527857130169	0.40513736451489635	0.31614151175734156
Away	0.5066176327108416	0.22830342274014864	0.16792739880500868
Number	0.5351371547283312	0.25320177952456985	0.22334645328675337
Time	0.5686554425380427	0.3590705476711206	0.29021271376098734
Duration	0.5671213158025881	0.35362010634126284	0.3132748100784111
Long	0.7270301052971384	0.27429577892071466	0.26697807372759924
Short	0.5422013282314246	0.43446919957685576	0.43555452575132625
Consequential	0.7262526525668861	0.4038695227195901	0.42461365526918
Social	1.0658850834899631	0.4186027501940088	0.42698121896396835
Human	0.9019389185871987	0.46186187790952077	0.4787347612437385
Communication	0.7149525677595339	0.5002929631598347	0.5208656940890137
Self	0.7054034665647777	0.3954448509809792	0.402729358126244
Cognition	0.6221951459747977	0.5691183878266506	0.4701795862692366
Benefit	1.0438820641429858	0.44791710591525186	0.41953407527877146
Harm	0.9038116100104213	0.5054976446039239	0.41449150439883764
Pleasant	0.9925184552419284	0.463682275784029	0.4246511055278347
Unpleasant	1.0415392037823028	0.4882084448509347	0.3969627749665129
Happy	1.113576601447017	0.44328017144259	0.4131108334204949
Sad	1.0052711463141741	0.4280523165579696	0.3413037037453478
Angry	0.8081603439000584	0.49987881902493836	0.4002717425786823
Disgusted	1.001476674425285	0.4271731968781193	0.33277180987497557
Fearful	1.1008324783785057	0.40732811382268197	0.36308332752676187
Surprised	0.6719426724457578	0.22153022410767606	0.19355189742182927
Drive	0.6056209116254072	0.2516148949043557	0.2581043175886858
Needs	0.8043212519736957	0.48984228436895316	0.48567867407763377
Attention	0.6219502818596641	0.270578010022144	0.2794851294756403
Arousal	0.6533986409755967	0.26030639742040096	0.3002999620766592
Average	0.8559483689799342	0.4354346203394071	0.39188573616286543
Std	0.19533879432507079	0.10695363264296173	0.10212211336145588
Avg ± Std	0.856 ± 0.195	0.435 ± 0.107	0.392 ± 0.102
