	mse	rho
Vision	3.3956923870414553	-0.02585157765734397
Bright	2.556344464435064	-0.022819132655544538
Dark	2.651617658930431	0.09768271675437955
Color	4.948169839557108	-0.05572724517610029
Pattern	3.715534342869593	-0.10823573382670204
Large	4.4345212756636805	-0.029032166718160796
Small	3.9042975746649238	-0.0817418881737781
Motion	2.7376694205996928	0.034427139461068935
Biomotion	5.375045487043394	0.042856116225133946
Fast	4.008986858268284	-0.0062259399529300905
Slow	2.8357076258782064	0.0018220699665687508
Shape	3.7279606851429756	-0.013317771734632803
Face	5.228872418090629	-0.016537267593182563
Body	5.6415590312941175	-0.01888385817410283
Touch	5.233754500888307	-0.08896725393813527
Pain	3.329777175557039	0.06421018954493302
Audition	3.62977986660076	-0.034282250945411874
Loud	4.590484045459697	-0.07561420924185681
Low	2.760902163240416	-0.03357923990685652
High	4.077434331467787	-0.017650149285058772
Sound	4.413555433465309	-0.04150466582318338
Music	3.6627143071030095	-0.005244048364412967
Speech	5.171013029959786	-0.047748440430088405
Taste	4.360216501336967	-0.07320390832645969
Smell	3.5610769945517284	-0.002386225071973099
Head	4.762322562978304	-0.1092428194268753
UpperLimb	4.31191890688802	-0.05203111434059128
LowerLimb	4.8097942968849345	-0.023808283957516527
Landmark	3.3306863155392676	-0.009439009913189198
Path	3.4396411626328423	-0.0448132007036942
Scene	1.6678718470129383	0.049243742355409126
Near	4.573899502829631	0.03756607514392838
Toward	3.8597815144941836	0.012324305907331239
Away	2.1221942634861346	-0.03277487513327378
Number	2.6418879318388484	0.04132586850401921
Time	1.8464395693444606	0.021412079683054114
Duration	2.293286886670037	0.04838082089060076
Long	2.1898674691512245	-0.07340859527774714
Short	2.830499681453264	0.019616722808131357
Consequential	1.7828683803106218	-0.036322715757525555
Social	3.3394883688487993	-0.014768324425984055
Human	4.296263963140438	0.024261859372422964
Communication	3.049291007316174	0.013247204943119836
Self	4.085214048635308	0.013952768229641211
Cognition	3.7519620817173465	-0.010701759447880124
Benefit	2.5137338471507844	0.06987209053491598
Harm	4.035242844662354	-0.025999649415599596
Pleasant	3.0287195392076556	-0.04205595212764072
Unpleasant	3.8681000574524287	0.018262848725481753
Happy	2.8735148980134797	-0.016091508041697858
Sad	3.647400932321877	-0.011622065356734592
Angry	3.7048062080972697	0.004001514169508625
Disgusted	3.951474042852869	0.018773309996763833
Fearful	4.118907736701391	-0.0454105090341147
Surprised	1.8836627359595037	0.006097465131960046
Drive	1.5288979672136667	-0.020028492516070924
Needs	3.8075886225952904	-0.10585050144046039
Attention	1.5834228544624196	-0.016052366678781516
Arousal	2.2151259442747357	-0.01554898702756952
average	3.520312973072015	-0.014664182960516765
std	1.0433943265704568	0.04392602866903662
Avg ± Std	3.520 ± 1.043	-0.015 ± 0.044
