	mse	rho
事故	5.216704304708169	-0.0842973798733565
手风琴	5.271098476939712	-0.07824584879411306
激进分子	4.439681590292695	0.023289214356106824
演员	4.638154347269373	0.17214758200468425
优势	5.669642199623424	-0.20895229719918176
建议	4.295706127683677	0.020958203452941485
挑衅的	4.559811521657322	0.06476725388649998
协议	4.397043389453931	-0.12341596917499971
飞机场	4.960866470433219	0.0249573950576172
鳄鱼	4.881299381920983	-0.15574153020494072
救护车	7.212089866666746	-0.10987488688746702
比喻	3.679905951789152	0.11106783053372847
生气的	3.7285500783428307	0.1889700320919534
敌意	4.799661206779729	-0.06306186991348768
蚂蚁	4.0839735845575085	0.14029893015913322
公寓	4.200681729467305	-0.029412475565979052
歉意	3.9027019224137285	0.028642641661111877
掌声	6.585762553995239	-0.14551326561384983
接近	4.367388648979661	-0.06124766872775076
杏子	4.5695654346717465	-0.26820095815345807
手臂	4.540832444500254	0.30585166591500396
军队	3.090932203389831	0.04600586511886093
被逮捕	4.728898305084746	-0.016239066978691624
艺术家	4.20738496430378	-0.10715320955498236
芦笋	5.1833051724004395	-0.10097739919613852
吃	5.397978153382898	-0.1908535864678709
属性	4.302513415371035	-0.04166352552965398
观众	3.5332580244821865	0.08708099361649456
作者	4.486892566101762	0.04373158721280428
雪崩	8.113144712617778	-0.057188748657795274
敬畏	4.3994916384181515	0.0001336093054921066
斧头	4.470621567231711	-0.027647975973831493
风笛	5.401826914501018	-0.06683111970352543
球	4.318396707105424	-0.08972033148175167
香蕉	6.6546520882445765	-0.11137821522790584
二胡	5.150353976536746	-0.14983394879493211
银行家	4.276906341461424	-0.008986872366886256
酒吧	2.9919480372788305	0.10505281339227122
烧烤	3.8742077376403383	0.05754475016854773
棒球	4.2469046633803895	0.0861021667810071
战斗	4.7280691153107455	-0.09737928065552624
海湾	3.749755217702525	-0.1766663379938937
海滩	2.8749893333251695	0.14917435887622374
床	5.109553688774508	-0.051253498528379626
蜜蜂	3.2059509890772877	0.11217155586481915
啤酒	4.229867988323983	-0.17512163443792578
打嗝	4.117005601130017	-0.23763773900496096
信仰	4.615348325047153	-0.05076850199891595
铃铛	4.76416184482117	-0.11415374139069338
自行车	3.5169114975518645	0.16437306676706542
大的	5.178681762335288	0.019867863523192534
鸟	3.1977127880345426	0.04267571843760028
黑色的	3.4508413889123224	0.10918676638739233
被封锁	4.128343485169491	0.038305894076609955
蓝色	3.9845074152542375	-0.13535718679179384
蓝莓	5.452466812052796	-0.1388272484310593
船	3.1776082357816273	0.1470963806714215
篝火	3.6382861340866945	-0.03635783385758275
书	4.949001483992542	0.012084652325334974
买	5.085969751035865	-0.12009342767056652
男生	5.120715783804238	0.056651929044832024
面包	5.60551906779661	-0.11319556614394781
贿赂	5.323061440677966	-0.1269541090855364
桥	4.107250247834355	0.06513315696615168
西兰花	4.777890861770322	-0.05415901731893186
打破	3.9544445047081695	-0.08662060207897616
号角	4.3054235977401865	-0.2542338116691434
建造	3.3858757310735257	0.07042614616927848
公共汽车	3.2162900252354745	0.07624760270160122
商业	3.399359658380492	-0.07168565793531788
商人	3.849510135969949	0.04391187544342656
蝴蝶	4.084276517682305	0.012891435019947748
出租车	3.2506158633512032	-0.012844637421949091
卷心菜	4.82992458380422	-0.10012640406463905
储物柜	2.9262145163842543	0.010314770663597607
自助餐厅	3.4230478559712028	0.14668568435163162
骆驼	3.076006644846085	0.2886871117782712
照相机	3.832461599576271	0.10110925343793038
汽车	3.564072431144068	0.09690696480761514
狂欢节	6.0989653004286435	-0.12395322722049695
马车	3.446573105486949	0.06467050840423774
携带	2.6715728646185086	0.048903390347825336
胡萝卜	6.638287492971745	-0.1904179967100056
现金	4.217796885875779	0.04629335344189181
大教堂	3.920000128813644	0.04177246946367481
庆祝	6.2544822320151345	-0.17945299357967204
手机	4.872410447081052	-0.03217735498503034
椅子	4.805480192090475	0.03484897373781245
奶酪	5.33580030357822	-0.029497983970157956
猎豹	4.021401615466102	0.1914613881317419
樱桃	5.386189088983051	-0.0978496550355477
板栗	4.861581996610237	-0.22134017017962626
鸡	3.3905461476460337	-0.17871581318578184
孩子	4.114745672316458	0.07834382386056626
钟声	4.508662937099898	-0.2107582456850458
花栗鼠	3.107531346500508	0.05345407856078199
巧克力	5.2720972325256605	-0.12577800822995688
唱诗班	4.39650015956283	-0.06498201065180848
教会	3.5184867477017794	0.024191324292548104
马戏团	2.751042779131915	0.09804835207887933
叮当声	3.3140846382781186	0.07391471383061034
单簧管	5.875235284369185	-0.1575424382301938
聪明的	4.616082992843762	-0.2267918236180105
云	3.2804894369115587	0.015482013716008079
线索	3.299340889642254	0.1417859350584465
咖啡	4.642943685955746	-0.11273938566361563
寒冷的	3.422203144658712	-0.11767689038847334
学院	4.112880923163916	0.029037441957632606
梳子	4.351487751789152	0.01295017939691204
指挥官	2.9059134210923725	0.07781381383787796
公司	3.996534909227949	-0.05823243929743699
计算机	4.605762822598933	-0.11939987958660728
开瓶器	3.954425708851305	-0.0788858016566373
玉米	5.392674436534915	-0.13873085159216514
咳嗽	4.484180770621542	-0.13337866391016712
议会	5.005668540489713	-0.023266780253717024
情侣	4.3598682493409315	-0.019046578692474152
法庭	3.6778907092279494	0.04336596417713524
蔓越莓	5.145838111111186	-0.10916262183323805
婴儿床	3.973164114124373	-0.051883858206879074
犯罪的	4.1735028768362366	0.040856935092343186
越过	3.6017702150659834	-0.14706703632548185
乌鸦	3.574463247457695	0.044302815089760424
