	mse	rho
Vision	0.9353456274395084	0.38958109527465085
Bright	2.686942953660419	0.24125195295312976
Dark	3.085948036390374	0.22106489116107703
Color	1.8370524342495254	0.26963514762567475
Pattern	2.8904482394249773	0.19896118582272224
Large	2.868418172344682	0.30329102816454545
Small	3.801157979945923	0.17233542232087126
Motion	3.1773558438206666	0.20550536620175303
Biomotion	3.0541815855722865	0.3383260360344235
Fast	3.3118421280659143	0.4107149433135564
Slow	3.6506706714373123	0.1105779809709683
Shape	2.0547277193763533	0.510080238100483
Face	3.9237815888979366	0.401840879010667
Body	3.409027063011325	0.4143718331008664
Touch	3.604080298082908	0.1971707753473953
Pain	3.84514566303103	0.23256841619557178
Audition	3.3836187322706657	0.1929395979233072
Loud	2.1874404786457533	0.40210893121174945
Low	4.607611430225013	0.053401185243019234
High	3.316406343932333	0.1718874991638974
Sound	3.9513993354588317	0.1809172616020619
Music	5.108610232136461	0.17243609025248569
Speech	2.8944365177542544	0.4762374039846117
Taste	4.272077742269048	0.1976564985828531
Smell	4.975412140356305	0.11023652534959416
Head	4.504442862860589	0.028763231801491977
UpperLimb	2.706680022949912	0.055431095033336916
LowerLimb	3.3582652122178596	0.2630809049447185
Landmark	3.36548592827335	0.2755816040847241
Path	5.245221312983062	0.1531988057590514
Scene	2.656461619261512	-0.03277698090699194
Near	1.0833713785252768	0.40439798400043575
Toward	3.084444203252138	0.05618284688667135
Away	3.5165797975730766	0.040191310502485214
Number	4.691812634769991	0.036369914546127015
Time	2.7605484199062587	0.18637625069388766
Duration	20.98089010519963	0.09241808063225736
Long	15.622379843975239	0.1423204056030628
Short	3.9035999306468097	0.20906313309203656
Consequential	5.2052726547399475	0.1539639168214588
Social	1.189452192458428	0.44877911405813853
Human	1.105074465639241	0.5047841044778839
Communication	3.53645432319035	0.32488460768645583
Self	2.3401865259331567	0.33218263940701415
Cognition	3.4934582124057254	0.33663596589858236
Benefit	2.2267947651934934	0.36321461052029325
Harm	3.204873916354574	0.32605320069114074
Pleasant	1.7845230839850168	0.3974938735974309
Unpleasant	3.1686320726417754	0.10902798541129524
Happy	2.1368981897928934	0.49048442463433223
Sad	4.038531515252116	0.2702245753965155
Angry	4.203735896320324	0.2766160978519445
Disgusted	2.5284847982867893	0.2527402987525635
Fearful	2.953059957380454	0.360671655408514
Surprised	3.2201224878549066	0.12242384405697616
Drive	2.7584148738170056	0.13095537862581497
Needs	3.85996693918857	0.2623512191089252
Attention	2.023024649126975	0.11074734769319687
Arousal	2.0017288789583345	0.3602134210501926
average	3.6829154682832974	0.2444092381819305
std	2.9827913492446307	0.13512004760659627
Avg ± Std	3.683 ± 2.983	0.244 ± 0.135
