	mse	pearson	spearman
Vision	0.9370972110114926	0.4065843245668218	0.38616076217910256
Bright	2.6852143824125916	0.30109127901674027	0.23879350618814343
Dark	3.0775649802787455	0.2509632519866693	0.2235478759605987
Color	1.8297060904934381	0.2622299358772286	0.2693659817167037
Pattern	2.8907627492366346	0.24453850040447478	0.19803569940268295
Large	2.8670294423303466	0.3014241377453824	0.3027484269727941
Small	3.7992125829046235	0.21167911500235703	0.17233224398466054
Motion	3.166989719700255	0.155880772401045	0.20866184196729506
Biomotion	3.05241039003965	0.3303933036367884	0.3381382153491379
Fast	3.311283779991131	0.34670569163191534	0.41135881850715655
Slow	3.650016496664723	0.12376800620148305	0.11006787990622956
Shape	2.058500617727246	0.44119812248950935	0.5098586710645139
Face	3.922871067528832	0.36923023002705996	0.4027121246396651
Body	3.409675990095616	0.4239650271714693	0.41420867108193915
Touch	3.5966675271055357	0.23777723446095533	0.19887044968435563
Pain	3.833743497295629	0.2202011914099644	0.23684044415832656
Audition	3.3870290669752925	0.1783230312666309	0.18823384630033363
Loud	2.191518082538349	0.4132527729822069	0.39978963169514575
Low	4.609830740019442	0.07816182698660534	0.05211468884432225
High	3.3189464307187233	0.18288612276668462	0.1669113790865366
Sound	3.95458547653647	0.2003627124409039	0.17612546347876723
Music	5.110686281260313	0.15914203341569075	0.17032273034411521
Speech	2.88907029400473	0.41486362042095204	0.47849246898420483
Taste	4.273317588228354	0.20718409003643165	0.19828859475470362
Smell	4.977969091930006	0.12249437633370748	0.11021764289327805
Head	4.509952119158081	0.04795845714969197	0.02417159390574376
UpperLimb	2.7063367271127396	0.10314496070337953	0.052956103525466654
LowerLimb	3.355897731341863	0.2061662682222714	0.26288235148192063
Landmark	3.3639155453995664	0.30589268126152347	0.2760643214545657
Path	5.241893075741457	0.15439198180095662	0.15374439848047797
Scene	2.648777090458631	0.12908685582746743	-0.03282277559847144
Near	1.0809011002079083	0.40273013488041676	0.406021705172986
Toward	3.084485297265719	0.09195945781704967	0.053996221072441904
Away	3.514508785958045	0.09585662393762145	0.041833822566093457
Number	4.700032321351957	0.08382702066017211	0.0358020747433034
Time	2.7656854713507353	0.2126825403278897	0.18454338168472084
Duration	21.011116491164422	0.016169384571974123	0.09273898582680454
Long	15.647136173271072	-0.022751834672927997	0.1371238285054161
Short	3.901846372464499	0.11328205439292102	0.2048406296987419
Consequential	5.213330281434216	0.1754029846002484	0.1539818760039105
Social	1.1916609044293238	0.41314386036886913	0.44777003466752036
Human	1.1067646799943707	0.46312357236922036	0.5042647056506714
Communication	3.543001990462242	0.26605202912900083	0.32616514718800116
Self	2.3407054921469848	0.33179898346614495	0.32970133102618565
Cognition	3.4960630030656614	0.3185169224954964	0.33652985279077396
Benefit	2.2146679763642676	0.4676587656358189	0.36514929388254647
Harm	3.192294092227897	0.33538486665251277	0.326926272422486
Pleasant	1.7810981741988723	0.4737635657104871	0.3949925634653457
Unpleasant	3.1737842904140865	0.16952921153529524	0.10459438242822415
Happy	2.139846501009734	0.5476913581819343	0.4886128680988606
Sad	4.040359289625247	0.18477587923728223	0.26834567888715
Angry	4.208452098752446	0.33726894105854716	0.2717664564000744
Disgusted	2.5331448821787115	0.33914421842415615	0.24922735091208087
Fearful	2.9551771108586946	0.43030033413765223	0.3578440039407593
Surprised	3.2190318932628745	0.14734254258954171	0.12229029866916195
Drive	2.7581684597230303	0.12822443828439906	0.13147784448688357
Needs	3.855018375404279	0.20755985725235124	0.26345071264086184
Attention	2.0254600885448166	0.03350781907939528	0.11027708630872066
Arousal	2.0012639517653725	0.26777772522972937	0.36032141439653453
Average	3.683448769748101	0.2468248334406469	0.2435556589140962
Std	2.98784800150281	0.13333275321637236	0.13546285619947415
Avg ± Std	3.683 ± 2.988	0.247 ± 0.133	0.244 ± 0.135
