	mse	pearson	spearman
Vision	0.8642424261122883	0.5975781886882666	0.5749407185570838
Bright	1.3249347020922346	0.4028299923505164	0.4230734254697177
Dark	1.3759895235612551	0.23864982820751054	0.2480360663818396
Color	0.8641989188275595	0.5819161939597488	0.580152300188396
Pattern	0.8504686746651734	0.5962868944727927	0.6134589131050927
Large	1.0650269553553326	0.5030180718124262	0.41979629389294376
Small	0.9923046190684633	0.501222964355393	0.4397533013763416
Motion	0.792637474866107	0.45990862421712714	0.44450815302556235
Biomotion	0.9496852176160822	0.579538814071701	0.5391127764122158
Fast	1.004679214666918	0.44087289787559847	0.4155085105592445
Slow	0.7226614852833649	0.19624674116626034	0.17712195721071575
Shape	0.9278929444899722	0.5872849875565562	0.6023993651237328
Face	0.8561999088479986	0.6047580497619572	0.44415323279052216
Body	0.9703978506950774	0.5222620534749556	0.37551389758252274
Touch	0.8064873628236604	0.4847521063611663	0.4711790699679742
Pain	0.8309978185031532	0.4594805150238894	0.337392404568183
Audition	0.8950802599860994	0.478613666493395	0.44383548054550975
Loud	1.0142197277117284	0.461859343690031	0.4390127760352258
Low	0.5487571406699818	0.07413441835681374	0.06226224251059411
High	0.8426353171390308	0.4380329985914096	0.4031584028258237
Sound	0.9446779704215128	0.4659092277159346	0.42738561820651694
Music	0.9221271067795367	0.39048747493210195	0.16366915068864993
Speech	0.7920121178958167	0.6205862796412112	0.5075407568708374
Taste	0.6546074257380858	0.5298632429169488	0.3550177782932638
Smell	0.7483324922954206	0.44610838957366694	0.32768262552052696
Head	0.9549015868373324	0.5441075958858613	0.5283660578015053
UpperLimb	0.8929989216200014	0.42365999812169397	0.4083352784274168
LowerLimb	0.8691758654284222	0.3913844982450542	0.38389133752598825
Landmark	0.7137793229126554	0.5116832454019475	0.3511429781478431
Path	0.8324311288686947	0.2982206663873034	0.24232823120756958
Scene	0.5986814624541209	0.4688932227521624	0.46467691464261174
Near	0.895547973549504	0.42429669786626345	0.39696142250359995
Toward	0.8020393400717196	0.36207098029998436	0.26743026999926534
Away	0.48813931344571804	0.11445789712416261	0.10568636823369329
Number	0.524165259850925	0.25317869423925254	0.23535033770520486
Time	0.6042999347666864	0.3164199360637273	0.24815507286627048
Duration	0.5960848341835407	0.3422248573375938	0.29654154540592703
Long	0.758887405857801	0.2679864271822133	0.25574356275846416
Short	0.5094927367904184	0.43797697054621326	0.41905894269550076
Consequential	0.5371277335366753	0.48000435094337435	0.49142127628800036
Social	0.9257224570577037	0.45073403056976913	0.472765430744588
Human	0.8405754506127868	0.4483871639396636	0.4594867227209611
Communication	0.785776419296536	0.4379535352920335	0.46416067234196934
Self	0.6499023329283162	0.41327950420086196	0.3753412351243706
Cognition	0.668366633194547	0.5207918445861075	0.44414582931591057
Benefit	0.7148390974508206	0.5565392277286143	0.5280584097154788
Harm	0.7328468590199778	0.5431237743491455	0.45249317960918384
Pleasant	0.931239549899848	0.47092055930346194	0.4489977478941318
Unpleasant	0.6520851823066076	0.6363903895341989	0.5189886199835593
Happy	0.8994840096317279	0.4804297773485051	0.4698695491873453
Sad	0.6389878031326973	0.5932467990570643	0.4838864477251096
Angry	0.6164974816168614	0.5679372546482625	0.4710040137154392
Disgusted	0.6298182688181757	0.5843732947440463	0.4621867120491462
Fearful	0.6718155595532844	0.5939954050317491	0.49094589983115694
Surprised	0.5762843212739597	0.15845533408570822	0.14599791165379086
Drive	0.5269401855453743	0.30498349209088804	0.30135739768013253
Needs	1.0725518555164006	0.41695711711590555	0.43145341856354535
Attention	0.48382991710013795	0.32133192062905597	0.32071115105099823
Arousal	0.5682542922832715	0.29579443951744155	0.28730636490597383
Average	0.7919461890258493	0.4422778452107911	0.395930703859842
Std	0.19031742547727315	0.1292266672398525	0.12228568669272712
Avg ± Std	0.792 ± 0.190	0.442 ± 0.129	0.396 ± 0.122
