	mse	rho
Vision	0.8642371081382565	0.5846597468446688
Bright	1.3257120643401998	0.42176105260139296
Dark	1.3759205607138643	0.24676681922975438
Color	0.8643065303838966	0.5812122501106967
Pattern	0.8505447197114967	0.6180891446318578
Large	1.0649549353646341	0.42564976851161596
Small	0.992317985929565	0.43995898668555694
Motion	0.7928623522192253	0.451066372813712
Biomotion	0.9498288344647254	0.5313018221589636
Fast	1.004625398716815	0.4206485395645135
Slow	0.7228798926968368	0.18419574001914424
Shape	0.9278845109937881	0.6073470409406255
Face	0.8564696153225231	0.4435711134980999
Body	0.9704572899918369	0.3836777196899845
Touch	0.806515336397303	0.4803304585296026
Pain	0.8310134659156313	0.34127412279099617
Audition	0.8949181602939262	0.44016476776205454
Loud	1.0140975322081056	0.4371123696259995
Low	0.5489080003127872	0.06527467375040924
High	0.8429321605954629	0.3974472193672
Sound	0.9445297709921533	0.42509250705856927
Music	0.9223574256502086	0.1614633887254074
Speech	0.7921954209250505	0.5104823936874145
Taste	0.6548182594192646	0.3562840875333425
Smell	0.7484708614842323	0.3206654224734954
Head	0.9548976680882285	0.5380500172854433
UpperLimb	0.8930832342692476	0.41140794466401637
LowerLimb	0.8695530278594925	0.3991148111578419
Landmark	0.713940774264136	0.35001970217967426
Path	0.832434800132997	0.2544551821718198
Scene	0.5986751314942894	0.4544375503827082
Near	0.8954996077575047	0.39567702702969504
Toward	0.8022630825039834	0.2613020544330704
Away	0.4882775549854774	0.10660109735715555
Number	0.5242112639218036	0.2337466640953014
Time	0.6043440513420104	0.25171865153404455
Duration	0.5962623074590004	0.29515025248593496
Long	0.7590048911137863	0.25082469176828026
Short	0.5096524069403288	0.4170864680665766
Consequential	0.5370703651731464	0.4921824293076276
Social	0.9256945209101227	0.48102932389113995
Human	0.8407178793054461	0.47204814980412463
Communication	0.7860271597309768	0.4694076210427661
Self	0.6497951208474454	0.37506218721298296
Cognition	0.668332762755484	0.4455542116918294
Benefit	0.7150107672411079	0.5315586285299951
Harm	0.7329065367526036	0.45893401546986157
Pleasant	0.9314761187885693	0.4535450148939486
Unpleasant	0.6521265689108756	0.5175376772940804
Happy	0.8997380990812468	0.47427543593536753
Sad	0.6390151188842875	0.4879670692544479
Angry	0.6164011993732981	0.46289076622232184
Disgusted	0.6297158693967804	0.45632938334299267
Fearful	0.6717828653671691	0.4831549889221841
Surprised	0.5762588664968199	0.15449177619813903
Drive	0.5270270146837215	0.2962732585860243
Needs	1.0726974821544477	0.4279264406838939
Attention	0.4837876023903857	0.308491460122093
Arousal	0.5682228842264537	0.28370076853952936
average	0.7920281830132959	0.3970754279688472
std	0.19034706522987455	0.12287286774810344
Avg ± Std	0.792 ± 0.190	0.397 ± 0.123
