	mse	rho
一角钱	1.4728552136012232	0.3725553518375367
三文鱼	0.44882751001536586	0.7339171260637659
下颌	0.672573625466053	0.47492512123541825
专利	0.6362255283983478	0.3290433568523095
丛林	0.9639422546428804	0.40300494092689193
丢失	0.4845325951895914	0.49333530315813
主题	0.5346989061962267	0.5908401606746801
乌鸦	0.9064356975097895	0.5179339038261008
乌龟	1.055622334391015	0.3078025675389072
乐观主义	0.268486401574146	0.7859525575105124
乐趣	0.8038855118129441	0.8794925800496801
习惯的	0.5946706323032772	0.46585484765148644
书	0.7437810832756238	0.6562317494973301
书桌	0.6144139166008951	0.7055814783054151
买	2.7300991979619944	0.04918777124792201
事故	0.9780796768135542	0.7161125491762714
二胡	1.0697881349112583	0.4991304692061988
云	1.0286579804206948	0.41158245437230684
交响乐	0.86800774926521	0.6220885205189629
仁慈	0.6047189247709108	0.12855307880100025
仓鼠	1.0141552310149318	0.5398611748279891
价值	0.7160230167839042	0.5777884149981507
企鹅	0.7079220571018668	0.4169507152403047
休战	0.6113263433774131	0.5209129016667196
优势	1.4091526942772268	0.6518949721703035
会议	1.1753229643654586	0.5626535523795962
伪证	0.633553953076168	0.7319081604968313
作者	2.9707681137118116	0.20259012776476215
使用	0.539353547330604	0.5030639037814044
侮辱	1.0581452038135295	0.7115443856990231
信仰	0.7717207263071652	0.5540288291812598
信任	0.5757875585122425	0.6564529299260938
修理	1.036813475340195	0.43855882486604353
借口	0.7723755363655486	0.31733412639003733
倾盆大雨	0.8630186341017381	0.7094794317588754
假期	0.48650743105751293	0.7321424479977914
偷窃	0.5030225773132807	0.662437560627635
储物柜	0.5846545191118235	0.7454065074588845
公共汽车	0.5769149836879618	0.6911451371738105
公司	0.8103708362031725	0.5954772644329049
公园	1.0235269556297821	0.8999693946896167
公寓	0.833226138030683	0.7319946417826215
内疚	1.2935334721757181	0.269207730858481
写下	1.2868277368706915	0.1948438154028315
军队	0.2103090624946313	0.6884413122829611
农场	0.26591873269622107	0.875725322784417
农民	1.0881294308265104	0.6320696943450274
冬天	0.9926342727993458	0.26013845007994246
冰	0.9340239195591945	0.6414184694497326
冰雹	1.0569713215256777	0.5438096700517805
冷落	0.7758662155085901	0.6008105910205204
出租车	0.8183994391106947	0.6900482318310696
创立	0.9278317551654536	0.5152379208281573
剧院	0.43444912607148334	0.7613256839202615
剪刀	0.4096935395284278	0.5021351707070381
力量	0.30791518691217123	0.5117640854310227
办公室	0.5494317260224381	0.522407091575593
动机	0.8446914903244409	0.19045115354247985
动物园	0.40857672624151253	0.5824136424961037
动词	0.3733389540466826	0.28061981143059195
劳动	1.2334930807638889	0.38445125492598464
区域	0.45739289269372907	0.5593100121334339
医生	0.4218762802213258	0.8296041061048217
医院	0.3315732370461011	0.8520321079715348
午后场	1.2325657025352286	0.6649709318930288
协商	1.8533164391946175	0.6236590786094003
协议	0.5022755858412115	0.7714319279929852
单簧管	0.4458901234870265	0.7646543638340256
南瓜	0.5921461700990565	0.7507894635026255
卡车	0.6988665959544059	0.5016890075922721
卫生	1.7740343256638005	0.5134254526811308
危险的	0.433085601953826	0.8114815444183658
卷心菜	0.4744842682280419	0.8236138237328715
厨房	0.7238924919016093	0.6495666785578729
去	0.47574234213039185	0.43465681284632146
友好的	0.41188452467001524	0.856867284840505
发刷	0.6051318827668274	0.6923324629313338
受伤	0.5250827892801104	0.6676023958102945
受害者	0.5141701049034664	0.41463706290162455
口琴	0.8903681013572887	0.6714803967876632
口香糖	0.9408849905639545	0.6779190485947334
叮当声	0.6110788984217774	0.697558903501428
号角	0.6026395892553101	0.6725707809863466
司机	0.5409580771178641	0.6567871102046682
吃	0.8706830203497661	0.7134443316822807
合法性	0.8204536135616272	0.37520115305965385
同情心	1.0659081844470482	0.6637607237494992
名词	0.46571537937410146	0.5368871447004523
否认	0.8723309490155263	0.7060732766957438
听	0.9804074767007853	0.4612304098464026
听写	1.2939283378656772	0.4350406725834404
吻	1.1898640449939084	0.4690012146741576
命运	0.3949498413222627	0.7827981583605558
和平	0.9981044879471882	0.6939366164954953
咖啡	0.8031118862921566	0.7482790659887942
咳嗽	2.4739119370543787	0.337908375991641
响亮的	0.5613195164012974	0.760082086451556
唱诗班	0.5911696393680155	0.7083205721723687
商业	0.8555362495551018	0.48458808375179624
商人	0.6147921620535869	0.5631896857067112
啤酒	0.7355637121214517	0.5539999531382959
喂养	0.5289448947199051	0.7020658733900162
喇叭	0.6364566776080016	0.542831695134861
喊叫	0.7438822220840291	0.6997691036515313
喘气	0.9583847528229655	0.43539902474019954
喜悦	0.48769962102250686	0.8522405369298686
喜欢	0.8490126543080944	0.8229568107138064
喝酒	0.46313584737173635	0.589141685320927
喷泉	1.3777006097389706	0.3311508109095377
嘴	0.8635301167715066	0.6785526497044148
嘴唇	0.9099220057365148	0.6449152089613831
团队	0.7417680211066936	0.7235306038975615
地铁	0.6960043268928444	0.5790436572961578
增长	0.6175689243478135	0.5963225343522657
士兵	0.35379297083125083	0.5453270192386541
夏天	0.34426254386256844	0.5234274116321067
外交官	0.4623727990543786	0.7743171121393286
夜晚	0.9383591722936616	0.4872151783889818
大众	0.6006898467802335	0.3911817305455232
大使馆	1.0839097617876992	0.671014958989367
大厅	0.530309613370217	0.8386079015750129
大号	0.3931012128949318	0.6729431959370648
大教堂	0.41200542837876436	0.7296130492189759
大的	0.5154074112861807	0.6765912423051206
大象	0.8831467552382358	0.5168276674646984
太阳	1.6772030367240829	0.6781663705376519
头发	0.9319936640941932	0.6983222452113809
奇迹	0.7929869456524758	0.21626380351190877
女士	0.3873565321263549	0.7555218406973352
女孩	0.2899711843040477	0.8322491108776251
奶酪	1.0315541919624194	0.7730648277339902
妒忌	1.319973062141608	0.5743306599204061
委屈	0.6823239176704305	0.5583734520482575
婴儿床	0.6007509137123042	0.6668421113197787
嫉妒	0.8330001996756449	0.7625228894684628
孤独的	0.4904837940153004	0.47733926290812634
学期	0.7372715492434264	0.5033663052507396
学校	0.3090951449773237	0.7249336142592241
学生	0.22600941343806027	0.7429515543105883
学院	0.9571710005298426	0.49213637265652205
孩子	0.5153232896433638	0.6281020941675476
实验室	0.28788833260135605	0.7886229177909778
审判	0.7222185511732994	0.6936007750861107
害怕	0.6623129548630332	0.7678480272188022
家	0.8066786136055655	0.5607902773882885
家庭	0.7531991950446641	0.6386083724598343
富裕的	0.4975469731326082	0.6170343686125495
寒冷的	0.5606089779894542	0.49852351191542893
小提琴	0.7914530872504412	0.7379435432347116
小的	0.5200023758854794	0.07043991907481892
尖叫声	0.21660547330661686	0.6305158431029304
尖锐声	0.39176849660852603	0.512140630001199
居住	0.46076333152361687	0.551505431337586
属性	1.0328338809295925	0.5466455170000339
山	0.42690157269543216	0.524076900099624
岛	0.4833734250482654	0.573946894430819
工人	0.3594028255665541	0.6771667493836422
工程师	0.4622664013578989	0.7607828593204033
左边	0.8908108470385722	0.17923940119691253
巧克力	1.6802723332725735	0.48928523927074186
市长	0.2383720859798498	0.7129762490634904
布满灰尘的	0.6059558252938599	0.6220988280980816
帆船	0.48990003857335146	0.6363437356699402
希望	0.4161484557389871	0.8073376260715587
帮助	0.45752675960267564	0.8203517133384737
常春藤	0.4589293044679154	0.7225080694530722
平底锅	0.6663948987853648	0.5826500425546669
平静的	0.3016940227300984	0.3135587426678639
年	1.4969855618428292	0.47943040669996795
年轻人	0.29801769528753014	0.6908278601774687
幸存	1.2284343440155459	0.26770786238031224
庆祝	1.214614735991349	0.6623600825501036
床	0.5826693984071848	0.7656359650167287
店铺	0.47889855280512994	0.6534481622269714
建议	0.9499165596241651	0.6578970786494088
建造	0.44879987581665615	0.8176597104903328
开瓶器	0.7630696262966722	0.434396215764619
强大的	0.8246154008368304	0.652841245631503
律师	0.5875456200117648	0.6606245606427309
快乐的	0.5696473535747105	0.7500840446939556
总和	0.5905452391556589	0.26270698358775896
恐怖分子	0.6638946724398778	0.7963223493381044
恐惧	0.7353672364733592	0.7641152671419098
恳求	0.6576742164902317	0.6241959661072226
恶习	1.2806665369034198	0.5729201706618613
恶意	1.1064920128833593	0.7402719612556438
悖论	0.5656827683617821	0.3373304827849599
悲伤	0.6270312462893128	0.7339511677034332
情侣	0.4878544741337819	0.7767660523404455
想	0.43968613615185737	0.62199035457769
愉快	0.7748575342028834	0.8145387805996211
意大利面	0.46828327396063785	0.4178886952850824
