	mse	rho
Vision	1.9037650949066236	-0.009044183158814284
Bright	2.4263657599406816	-0.10087212774147014
Dark	1.7570970068705056	0.02135890955140963
Color	1.798018961279955	-0.00032101813993452605
Pattern	1.546559978450118	-0.07572685220191189
Large	1.6347216674239795	-0.0024545471173454307
Small	2.042060719608743	-0.031216574642115115
Motion	2.1303569580528765	-0.0026969335313126205
Biomotion	2.6084419334853424	0.02477654646658936
Fast	1.9251093548974982	0.028246976933209884
Slow	1.7885431056534868	0.025069630408510638
Shape	1.5931588304613278	0.006255384456962339
Face	2.1767444963677822	-0.01866398867633064
Body	3.452701011069399	0.03583985234532349
Touch	2.804462812498794	-0.04413695327126594
Pain	2.433839715631946	-0.018146075892561796
Audition	1.96649650742473	-0.021617349994715037
Loud	2.891420188156326	-0.07966165536758511
Low	1.4359554482591421	0.017838148997318667
High	1.881159385400371	-0.016883908916984013
Sound	2.643612746948455	-0.058858418869597216
Music	2.9610742228333464	-0.06367226564309347
Speech	3.5891549314579136	-0.03690454014356403
Taste	2.952979215569178	-0.03844932451336433
Smell	2.3227703859374964	0.020029303692367238
Head	2.407391721779803	-0.05556777242286425
UpperLimb	2.050898908386148	-0.007609270981425521
LowerLimb	3.950606764675197	-0.0413989307167751
Landmark	1.8131879552396426	0.0350360933684209
Path	2.6939210712470754	0.0038649662900826914
Scene	1.303930613679605	0.04283676270734973
Near	1.3251258990843127	0.01945926278357211
Toward	2.3821955695503636	0.0015486038499672812
Away	2.4045070623625393	0.015332718115563831
Number	1.1095451925130055	0.0793009634812753
Time	1.2087119382583185	0.08897348508485038
Duration	2.6229831304902618	-0.016299952785987
Long	1.6142058743946703	-0.10308581785944654
Short	1.5627063308914664	0.0018449992252622181
Consequential	3.176120546602756	-0.07230090136497366
Social	2.781451441882507	0.018268972418100847
Human	2.5460461938520487	-0.00027320472376765983
Communication	1.942300302821792	-0.001224587745811015
Self	3.2217868965753818	0.02087146709183292
Cognition	2.923057482840942	0.04275737121904528
Benefit	1.9373858557650168	-0.025228761055956932
Harm	2.263978567134264	-0.02882651052216975
Pleasant	2.634492451941738	0.009693762872763738
Unpleasant	2.725717792658421	-0.02678075531652472
Happy	2.4729020193617943	-0.02163530342395031
Sad	2.5617463866289922	-0.019687399536255656
Angry	4.115019509969929	-0.04885883381534921
Disgusted	2.7383646574596106	-0.02241685873592996
Fearful	3.4423854329560726	-0.03903533849131485
Surprised	0.9797028640493914	0.022966125935579375
Drive	1.30569538219494	-0.027018110306054832
Needs	2.174209603494167	-0.020418245157377907
Attention	0.8955557750616703	0.025547076318359587
Arousal	0.9576298412784814	-0.011049969287406758
average	2.2527463978926843	-0.01017501455012864
std	0.7366522934537564	0.03872329782243819
Avg ± Std	2.253 ± 0.737	-0.010 ± 0.039
