	mse	pearson	spearman
Vision	1.0966096405995074	0.5080026233353018	0.5209341745127193
Bright	1.0572706966448016	0.5474208993898677	0.5534261779987288
Dark	1.139170076533427	0.3919585209760853	0.3515722469968231
Color	1.3189356878717153	0.24838871622763165	0.25173119229200625
Pattern	1.1528632466149118	0.22570125653553788	0.22596607838083896
Large	1.0944419790344662	0.337335801228005	0.28413519309239743
Small	1.0902841379608033	0.4435201823895614	0.38105845901028557
Motion	1.6953260086146742	0.3348908841783749	0.327771905798975
Biomotion	1.5045327143842193	0.4674063278047433	0.45574478997814133
Fast	1.050487225309483	0.514787487770382	0.48940068838840994
Slow	1.4375984925448728	0.334516751590496	0.3118910286658185
Shape	0.7571825263414775	0.5570618116398687	0.5773636136982495
Face	1.428126809476397	0.3135927308399456	0.29784686775428426
Body	2.6883941350394363	0.3457970888489397	0.306665673402782
Touch	1.3384378904014158	0.5715913667771227	0.5980814529336337
Pain	1.6669350935345675	0.458843962851838	0.43027232513916025
Audition	1.2636110916943932	0.3965310894421572	0.3507471801478841
Loud	1.076919330478423	0.6518807822736696	0.6528373302674275
Low	1.217975048633674	0.20964021582567274	0.2011911538997928
High	1.0144833273479363	0.47474867164230977	0.44716399399056933
Sound	1.7672945046263577	0.5146227480349124	0.5106699907210186
Music	2.27916115616668	0.3963748425903961	0.32365448036323224
Speech	1.679396888012221	0.5658869674708291	0.5989178954501895
Taste	1.7563835099512002	0.4725116509967789	0.36816154840489
Smell	1.619501688559219	0.454703847982858	0.45425530279238596
Head	1.503391070843474	0.3897935397785309	0.3535084136762469
UpperLimb	1.3722397042662977	0.37670344819333135	0.34289006645324566
LowerLimb	3.127661267296919	0.3916567488390087	0.3557744095711114
Landmark	1.4797765661010656	0.3602726716678694	0.2317117011781715
Path	2.4917194263032547	0.1951547027111813	0.1641889873395344
Scene	1.0348364758518895	0.2524963696384171	0.24509854740967155
Near	0.6929212234288821	0.5437506177804308	0.5323215375049596
Toward	1.610640640711412	0.41636463844065014	0.3661793958984665
Away	2.4102873260329516	0.015035274488119194	0.03455640207830964
Number	1.0263413445729306	0.16217799346417608	0.12711005047131022
Time	1.146282382078543	0.19075641513823607	0.1417225206210099
Duration	2.40627310352397	0.26975247308831446	0.25550512821025995
Long	0.9747572586643335	0.3882177278467856	0.3806566644806676
Short	1.0832339878203054	0.4795576374138802	0.45958400334274535
Consequential	2.3855394084005095	0.44135171158023295	0.4444165220766234
Social	1.1381218235304473	0.681760265821669	0.7118972064182059
Human	1.2117532429157192	0.6221901073179548	0.6249981652176493
Communication	1.1068922316607435	0.5077407121812237	0.5356652058301803
Self	2.1880297153019734	0.4833031927565607	0.5193027640778157
Cognition	2.0754482618671592	0.5733514412924069	0.6121539938209264
Benefit	0.8600632344167022	0.5645178807956609	0.5369869572086035
Harm	1.2135189371717174	0.47931576326355485	0.443037953887656
Pleasant	1.236431644076569	0.6042542562097719	0.5670319527109415
Unpleasant	1.3878522012726535	0.4979898812407995	0.4722892249111616
Happy	0.9700962613093596	0.6319413456357236	0.6201568232004446
Sad	1.4680902293256217	0.48043650135818655	0.4420262631376823
Angry	2.684272459033599	0.4749735924923643	0.40849321187903853
Disgusted	1.695660961204929	0.404584429848293	0.328156061786928
Fearful	2.1347697044916534	0.4635128027909366	0.45275017072723717
Surprised	0.7659148404538858	0.3398128160554225	0.3222201924009273
Drive	0.7683611215207828	0.4711683321937831	0.482086306465182
Needs	1.2814210237188859	0.5413204494857738	0.5459284108519872
Attention	0.642936294162794	0.3477577813700553	0.3629054297413676
Arousal	0.7482421255481442	0.2305052244203126	0.25072404910440155
Average	1.4494084814450234	0.42391857585157466	0.4058558548774799
Std	0.564592874285144	0.13519104243093583	0.14502238171209736
Avg ± Std	1.449 ± 0.565	0.424 ± 0.135	0.406 ± 0.145
