	mse	rho
Vision	1.1841222860573022	-0.10770673474974538
Bright	0.8789224851954202	0.00646180020288732
Dark	0.7382928895408648	-0.032421805099718176
Color	0.9822402860265577	-0.011072032804085401
Pattern	1.0417791885502121	-0.0501344475580967
Large	0.9615908836996588	0.1154589325258847
Small	1.0183585468465526	-0.07078598111185068
Motion	0.7533523753801802	-0.019064453005369783
Biomotion	1.133076030219372	-0.0656436714917399
Fast	0.8049795597670043	0.04700397671568694
Slow	0.39590339229208954	0.028295945509311103
Shape	1.1816947373940818	-0.10683428696739695
Face	1.1670533223286093	-0.09707091746977504
Body	1.0046446205478656	-0.015050658992895012
Touch	0.8602798409187596	-0.11822780389552204
Pain	0.7112326488584333	0.023607179859842627
Audition	0.8756248782697112	-0.04456804862189968
Loud	0.9484814321818453	-0.017645386785437492
Low	0.25673598731573233	0.03030537929177131
High	0.7414112484924518	-0.03643547543205837
Sound	0.8952309267429722	-0.009353256442247855
Music	0.6448987800690071	0.016916307323715803
Speech	1.1825135796458426	-0.11096423056621448
Taste	0.6959537697890565	0.0600825709343176
Smell	0.6556165541327572	0.02789119899290561
Head	1.1383889290947151	-0.09259741749371239
UpperLimb	0.8396139227447209	-0.08156918849162231
LowerLimb	0.7362306330689099	-0.11612972427306598
Landmark	0.6894080450316591	-0.009064388375636933
Path	0.5267785176822225	0.02955215080239862
Scene	0.47761331566835236	0.06942148963175311
Near	0.760818825146847	-0.036104175314283345
Toward	0.5707350656209706	0.11688177355439076
Away	0.2562468789302983	-0.027372681234841847
Number	0.3112477043504061	0.019330828087493215
Time	0.3765843811040751	0.019895663745332554
Duration	0.40137076072627015	-0.07517181276240613
Long	0.4210979036089283	-0.015939679453025234
Short	0.44162594554344536	-0.017824287189195365
Consequential	0.49062934230160093	-0.049921620664247775
Social	0.8039816755250553	-0.05925672898485672
Human	0.7391695131788892	-0.04149624284506345
Communication	0.6595966377277925	-0.05129601766480175
Self	0.5085175015952778	0.04478764016943254
Cognition	0.6732622988958611	-0.011908544248179196
Benefit	0.8692681576842077	-0.05619968037489916
Harm	0.8232910133470315	0.008466528193125007
Pleasant	0.8938312555802636	0.010300071926876295
Unpleasant	0.9344502322984009	-0.0015766384738647079
Happy	0.8908301924011245	0.022613658011245735
Sad	0.7936297596951568	0.00034508868792697294
Angry	0.7422018454393062	-0.009330514903332383
Disgusted	0.8114757029965506	-0.048909684900570245
Fearful	0.8115819192635366	0.03915902546361918
Surprised	0.3380333126333833	-0.027675863852473608
Drive	0.31794017974812555	0.034282986168009635
Needs	0.7757052298384162	0.06423032252232626
Attention	0.35225445830094837	-0.10810603714864744
Arousal	0.34190336145367195	-0.029774595412806165
average	0.7327678757370979	-0.017710410114158175
std	0.25713388489698646	0.05512783460482932
Avg ± Std	0.733 ± 0.257	-0.018 ± 0.055
