	mse	rho
一角钱	0.7848417840619661	0.6028006399003457
三文鱼	0.2915695870279732	0.3632749445693258
下颌	0.6692245801162693	0.3776949751545982
专利	0.2462812901459651	0.5961625616505396
丛林	0.8024497951571193	0.36661260383731625
丢失	0.7896165749107429	0.012510962241611641
主题	0.14408445718304763	0.7085870415219357
乌鸦	1.8760922101317454	-0.1737846855314465
乌龟	0.6124206310138347	0.263329526290054
乐观主义	0.3710099044395738	0.7532020974907276
乐趣	1.4179479182613115	-0.22394365193474258
习惯的	0.20314290620897812	0.6243659654721435
书	1.08885024932832	0.45089443533676954
书桌	0.5420610900314982	0.7199626079017639
买	1.0784184511261352	0.6077116969697189
事故	2.8303584328021936	-0.030164414316322944
二胡	1.2295922340414138	0.34612068960237785
云	0.7234100664680976	0.4311690901013676
交响乐	0.38575891033459314	0.4710115509344875
仁慈	0.2920341034685052	0.5348580098431063
仓鼠	1.0637574877847074	0.4382608800958782
价值	0.32089496831109127	0.4727545890257724
企鹅	0.31485052699747285	0.4071827739560049
休战	0.23183008360563673	0.6206746226190571
优势	1.5192846196208594	0.492144018270895
会议	0.3189318808595389	0.4127880231773197
伪证	0.44984753102094366	0.031416384811702044
作者	1.0595411178207	0.567720098296058
使用	0.2893717431604427	0.37805837327200187
侮辱	1.386835735943029	0.24164389913214576
信仰	1.1042306518095366	0.29730444136908873
信任	0.39897381391030634	0.31506933782663404
修理	0.5395402245596901	0.5734415350334829
借口	0.5784547030983078	0.39026602076578737
倾盆大雨	0.5261716060741142	0.5595861174024354
假期	0.5368751158019608	0.2775650263116228
偷窃	0.7636789772581325	-0.14029293263248105
储物柜	0.5616452597002276	0.743389287824627
公共汽车	0.8428407933568647	0.2710264176777937
公司	0.7806814929383777	0.5477350033950548
公园	0.43794238526055257	0.4815448754160634
公寓	1.6355370990868505	0.3019408477264896
内疚	0.990205160209135	0.5528258212515149
写下	0.2495871274443775	0.5798811660150016
军队	0.5514821376157623	0.5784673157022521
农场	0.6511464311473658	0.668508232320158
农民	1.4012154944028496	0.3720223384796998
冬天	0.343392082439286	0.3567470964273734
冰	0.5465512934117209	-0.043295235096625216
冰雹	1.4081661594068278	0.12978472022306523
冷落	0.6993264274729208	-0.10990045233283488
出租车	0.6809774720332603	0.5808855827040452
创立	0.9676335672808155	0.3136739228644612
剧院	0.44385114736089615	0.46156100507101255
剪刀	0.19440909948388657	0.5200633470506466
力量	0.28282251241998213	0.35480438221893645
办公室	0.33223613945702035	0.48092810306256356
动机	0.22719695674066165	0.7055229944939485
动物园	0.3387741887275235	0.5366275097577052
动词	0.29975545187360025	0.41592700783035086
劳动	0.5617079562815877	0.3246301835457607
区域	0.16550816820970982	0.7636524790539354
医生	1.1392104779472079	0.4558408862907721
医院	1.0355686620855868	0.29795256796205366
午后场	0.31436132891870894	0.5724895944451263
协商	0.7246729389319877	0.3707287258156648
协议	0.7803293601648568	0.6943267324469884
单簧管	0.730197203516762	0.5714369793729637
南瓜	0.3301292457195477	0.5430067252972843
卡车	0.4650616153362399	0.33759824562198704
卫生	0.6294767715353891	0.6690346131105368
危险的	1.0278207549630127	0.608859612788508
卷心菜	1.1250588101818328	0.4780925032610118
厨房	1.0095594552479676	0.37061722245681167
去	0.30309535908959356	0.2879780457749556
友好的	1.3567472676292665	0.37407739378787375
发刷	1.166656345679646	0.2533543935241458
受伤	1.1805969781149477	0.1791734542778209
受害者	0.45885376454471044	0.039472536134066226
口琴	1.0013238555251127	0.6192996171504852
口香糖	1.5258524701555163	0.29264942589260906
叮当声	0.9259972866267848	0.489986891143501
号角	0.7430955766035046	0.6199307402859681
司机	1.0231406837743973	0.41520520251256393
吃	1.0925022690060242	0.699647800850011
合法性	0.19755303330233792	0.5662817714611954
同情心	0.1875465335191732	0.5724405906738024
名词	0.5506777753310224	0.3898945148649764
否认	0.906766641914698	0.3161587582273204
听	0.5714675397926992	0.344028922608497
听写	0.5963148446974882	0.5023680476899295
吻	1.1281405694720434	0.534068008308603
命运	0.9431534642633026	0.33690491398816275
和平	0.40895901843796506	0.64015667485824
咖啡	1.5592722020064314	0.07208313515091866
咳嗽	1.4772156798393883	0.07054009094799114
响亮的	0.4451563444562994	0.5027344522407257
唱诗班	0.8194670966357714	0.6634513051583134
商业	0.5469082360147726	0.690840558052235
商人	0.5613112696698096	0.6536882203487404
啤酒	0.9230993900254827	0.2527401917688532
喂养	0.37351322809848164	0.6151957842707902
喇叭	0.47493289851612774	0.4464549531391886
喊叫	0.34373463772239027	0.4323676752728474
喘气	0.8299015894128825	0.36325637330959776
喜悦	0.8321378290233956	0.6424834340004978
喜欢	0.8749577959658783	0.47147227261513586
喝酒	0.8091157232067933	0.27368147071059495
喷泉	0.5596846085855149	0.7960305440462035
嘴	0.5616976172201189	0.7230081364463347
嘴唇	0.6979178484708322	0.33913669812557434
团队	0.2632094415964941	0.5178266549310493
地铁	0.5137100423806581	0.526820662197893
增长	0.4762027110777195	0.5196737924986631
士兵	0.4064295662966222	0.44730613923934
夏天	0.5207885448011564	0.4506820535636964
外交官	0.7132233364892906	0.7371636880942878
夜晚	0.8022766091847179	0.5755179953327929
大众	0.19457557944317658	0.6054706088748557
大使馆	0.9247614671338089	0.5467735108009509
大厅	0.8347053673240775	0.6808847142298083
大号	0.3726400561596178	0.4825449472430186
大教堂	0.6058914537512665	0.6112673790321583
大的	0.8336135324421933	0.4646410074566202
大象	1.0152638584882583	0.4943518162923661
太阳	0.5086981079567965	0.41445449511733723
头发	1.1400107365732803	0.4667660597622762
奇迹	0.22226661701147468	0.6453391474385395
女士	0.8227857485594356	0.3099794171308998
女孩	0.9636771649110386	0.5486820122064962
奶酪	1.65979537773731	0.32232228362998583
妒忌	1.0144039839024164	0.2366713498587983
委屈	1.3814812972030628	-0.16453014597526663
婴儿床	0.7769816647245886	0.2840605320106216
嫉妒	0.847900853014635	0.4040342300009057
孤独的	0.41440091212562585	0.28011700696231856
学期	0.31413659174081826	0.4807427716756002
学校	0.28756546707682457	0.6246675057042517
学生	0.6927417471627078	0.31356788334473096
学院	0.757491892232635	0.6029584094097666
孩子	1.1317865884541298	0.313875664890689
实验室	0.475883194359483	0.6606156616190343
审判	0.23361468258563856	0.6288187082568591
害怕	1.060308883637602	0.24947022886610112
家	0.7331911105077665	0.7208908162424182
家庭	0.6791328740767819	0.3624589320293272
富裕的	0.23976006396105365	0.44496798847795427
寒冷的	0.839110263695825	0.32224208943225474
小提琴	1.3634519218179502	0.3619570991531475
小的	0.49003518423190073	0.21190504944776226
尖叫声	0.46452554378386585	0.3376646345997473
尖锐声	0.6754948158937124	-0.2005642930757678
居住	0.3335730618517723	0.6672610632926844
属性	1.3435121942541572	0.3447711843245467
山	0.5343715549566594	0.5125574413191916
岛	0.36863401266030027	0.5356506365128048
工人	0.40645018072999284	0.46635096181584135
工程师	1.1542991536659122	0.2304915409875271
左边	0.5587619995572246	0.306891544486931
巧克力	1.1780888794192976	0.4243239700511202
市长	0.26848169937693056	0.541677140417197
布满灰尘的	1.3285050415011872	-0.03691903110083061
帆船	0.23574503142362419	0.6421900651813549
希望	0.7389918461750983	0.5027845106566514
帮助	0.8725634439968979	0.6447228392431328
常春藤	0.5291753977099942	0.4144110086432902
平底锅	0.4111146641439263	0.5520134841984735
平静的	0.38067701146964744	0.33777990498981475
年	0.21788343222922404	0.5365758192288075
年轻人	0.5196166745817679	0.39726914700263544
幸存	0.33688413684742596	0.3970288332614288
庆祝	0.983978023208306	0.6466049155379895
床	0.9135179489377362	0.4722352148238463
店铺	0.23891420011957715	0.5193895167002781
建议	1.3014688620591803	0.5843199460198627
建造	0.6568658036114939	0.6887339917066738
开瓶器	0.6873477384606024	0.4169408384467569
强大的	0.37988501404751635	0.2622597163104107
律师	0.5719658539902147	0.5241200433104193
快乐的	0.858934932959325	0.7077615688837678
总和	0.2687964853933194	0.5047085742800338
恐怖分子	1.0611493384627635	-0.2846869208801521
恐惧	1.0042637365687876	0.09149505685364107
恳求	0.7599842685083508	0.010439820093711805
恶习	0.48210217080773704	-0.008129845717114871
恶意	0.33264055348415056	0.7467914765733645
悖论	0.37088027541108676	0.18720759669728873
悲伤	1.103903941774621	0.114973112780404
情侣	0.8084695777139959	0.6627008281859814
想	0.30246922086861855	0.4719384343176089
愉快	1.1828018795006796	0.3650181322757408
意大利面	0.44133938769115444	0.504875741777744
感激	0.46742895824434383	0.72304232135743
愤怒	1.0789632879161186	0.00043844907305941533
战斗	2.080237821163904	0.20856654611932865
所有的	0.29331712371708185	0.2515683560704987
手	1.3339526866601288	0.30711896070901845
手指	1.0206240395529615	0.4074122861313582
手机	0.9040686503578703	0.6952798554438506
