	mse	pearson	spearman
Vision	5.1331747887557775	0.4787928946218135	0.460262379033136
Bright	5.407893643658918	0.38163906880663084	0.4417768591444078
Dark	4.81242131808848	0.20630617408506738	0.17630582821297655
Color	4.353784773104447	0.5893708102856205	0.46224715304588304
Pattern	6.840025556074613	0.5997344799499168	0.5654850729106088
Large	2.1137233297625304	0.4771481710624835	0.3793055189422775
Small	5.5023120449468985	0.4025515310487981	0.31385777519761954
Motion	3.6591069987668328	0.45689753577701336	0.4618879461628855
Biomotion	4.980435003807317	0.689856597974102	0.5986796747963081
Fast	3.0166416723261404	0.5004009277212876	0.48418858217552546
Slow	3.106039963158236	0.2014338178419667	0.23905471419012125
Shape	3.867362907239812	0.5359767535462534	0.5028830373866335
Face	5.0705247608741395	0.6333538725451662	0.47820754613770405
Body	5.4410464628274955	0.5668904987373168	0.446916553855245
Touch	5.928843165802347	0.4374159529001173	0.3426825490292874
Pain	5.265676071961429	0.5439386825773778	0.43349853822956014
Audition	2.707431532598272	0.4277502165995547	0.42996159171788
Loud	3.3924222841494176	0.39437765169008326	0.3876124085045034
Low	2.7954258040984374	-0.007310045694996978	-0.06476575849106288
High	4.696649468067379	0.17314755761742207	0.2809528643601141
Sound	2.8041781104728947	0.364762879661854	0.333265897993762
Music	1.7756961141409864	0.3853771016968869	0.14214804744830217
Speech	3.1264129995157814	0.6062296393955038	0.5252133033528266
Taste	4.6690099758624335	0.48440211648070974	0.199740315943223
Smell	3.9237332757369376	0.3932900120689887	0.22998477733364964
Head	3.2653211801610618	0.40137324992699125	0.4136120260321597
UpperLimb	4.391864835370808	0.3558069749897256	0.2890233534648569
LowerLimb	2.6710914238241745	0.3402367794368609	0.31811504193045026
Landmark	4.128504512730726	0.4656060729901608	0.2456867598194005
Path	4.03180249745781	0.2468488215707902	0.15682755296109233
Scene	6.3102656423387655	0.15313014382612736	0.14451014714692645
Near	5.402190116972389	0.31046267300328645	0.2491486483499287
Toward	4.201831768500915	0.09726067152757364	-0.0007818514194902011
Away	2.421403195472491	-0.0918693820295866	-0.12135063484877699
Number	2.782405864856951	0.2567779476551726	0.1536283072905404
Time	2.3366293927035113	0.38664821231040347	0.39203210885466006
Duration	4.075053597995742	0.3250725533960513	0.32039573451525677
Long	2.670610317194321	0.35437674840485694	0.30678842973007286
Short	0.9791023886105071	0.4420047347359244	0.46306597452582704
Consequential	3.7631325447965196	0.4364683289037521	0.41562165926708283
Social	5.325667316020724	0.5457821905579316	0.5572489110469508
Human	9.57398007105761	0.08757898348687823	0.20382686876611736
Communication	5.95652843181628	0.45658388623370205	0.5451255613360371
Self	1.5071320782121507	0.4638318924520293	0.48487791735332636
Cognition	2.362846034751282	0.5976319701241894	0.5499329278688984
Benefit	2.6117322875874347	0.34941793712022545	0.3406362085680671
Harm	3.1869316785960873	0.4753301921039938	0.4373393863606412
Pleasant	1.846059799378345	0.48108761266239475	0.4809821417461578
Unpleasant	3.2362632187973914	0.5789718106038669	0.5058827046796
Happy	1.9596076593270824	0.43657160397686257	0.4560291182557835
Sad	3.982654200297924	0.5066695042179702	0.45785036383895067
Angry	4.04305238964568	0.530807634785384	0.5036497699212432
Disgusted	3.698925607899578	0.3992801660108465	0.3913317099693061
Fearful	3.264452481716152	0.45732979104282845	0.45991204482466086
Surprised	3.127528726392959	-0.017716160603411156	0.057092906119325465
Drive	2.2972649261787716	0.3937777713190576	0.39726288329865606
Needs	3.530529606357363	0.32283358346377106	0.29229304696548214
Attention	1.4014977277109755	0.4289179859681155	0.3954586654476841
Arousal	1.8857695942029584	0.38923172699791614	0.38105446554265365
Average	3.7732136464530748	0.3947094832571116	0.35416040739225285
Std	1.546140401645637	0.1633178002123353	0.157936557431654
Avg ± Std	3.773 ± 1.546	0.395 ± 0.163	0.354 ± 0.158
