	mse	rho
Vision	5.133174788755777	0.46026237903313605
Bright	5.407893643658918	0.4417768591444078
Dark	4.81242131808848	0.17630582821297658
Color	4.353784773104447	0.46224715304588304
Pattern	6.840025556074613	0.5654850729106088
Large	2.113723329762531	0.3793055189422775
Small	5.502312044946898	0.31385777519761954
Motion	3.659106998766833	0.4618879461628855
Biomotion	4.980435003807317	0.5986796747963081
Fast	3.0166416723261404	0.48418858217552546
Slow	3.106039963158236	0.23905471419012125
Shape	3.867362907239812	0.5028830373866336
Face	5.07052476087414	0.4782075461377041
Body	5.441046462827496	0.44691655385524504
Touch	5.9288431658023475	0.3426825490292874
Pain	5.265676071961429	0.43349853822956014
Audition	2.7074315325982714	0.42996159171787995
Loud	3.392422284149418	0.38761240850450335
Low	2.795425804098438	-0.06476575849106288
High	4.696649468067379	0.2809528643601141
Sound	2.8041781104728942	0.333265897993762
Music	1.7756961141409864	0.14214804744830217
Speech	3.1264129995157814	0.5252133033528265
Taste	4.6690099758624335	0.199740315943223
Smell	3.9237332757369368	0.22998477733364964
Head	3.2653211801610618	0.4136120260321597
UpperLimb	4.391864835370808	0.2890233534648569
LowerLimb	2.671091423824175	0.31811504193045026
Landmark	4.128504512730726	0.2456867598194005
Path	4.03180249745781	0.15682755296109235
Scene	6.3102656423387655	0.14451014714692645
Near	5.402190116972389	0.24914864834992867
Toward	4.201831768500915	-0.0007818514194902011
Away	2.4214031954724913	-0.12135063484877699
Number	2.782405864856951	0.15362830729054042
Time	2.3366293927035104	0.39203210885466
Duration	4.075053597995742	0.32039573451525677
Long	2.670610317194321	0.30678842973007286
Short	0.9791023886105071	0.4630659745258271
Consequential	3.7631325447965196	0.4156216592670829
Social	5.325667316020724	0.5572489110469508
Human	9.573980071057608	0.2038268687661174
Communication	5.95652843181628	0.5451255613360372
Self	1.5071320782121507	0.48487791735332636
Cognition	2.362846034751282	0.5499329278688984
Benefit	2.6117322875874347	0.3406362085680671
Harm	3.1869316785960873	0.4373393863606412
Pleasant	1.846059799378345	0.4809821417461578
Unpleasant	3.2362632187973914	0.5058827046796
Happy	1.9596076593270824	0.4560291182557835
Sad	3.982654200297924	0.4578503638389506
Angry	4.04305238964568	0.5036497699212432
Disgusted	3.698925607899578	0.39133170996930605
Fearful	3.2644524817161518	0.4599120448246608
Surprised	3.127528726392959	0.05709290611932546
Drive	2.297264926178771	0.3972628832986561
Needs	3.530529606357362	0.2922930469654821
Attention	1.4014977277109755	0.3954586654476841
Arousal	1.8857695942029586	0.3810544655426536
average	3.7732136464530748	0.35416040739225285
std	1.546140401645637	0.157936557431654
Avg ± Std	3.773 ± 1.546	0.354 ± 0.158
