	mse	pearson	spearman
Vision	9.549385902025028	0.2444999716909237	0.22211151560471012
Bright	18.202793565016446	0.20443459975889702	0.27328163550017787
Dark	6.129845947975501	0.13250525029939283	0.1489111284695815
Color	9.449848416752285	0.4639789361183134	0.43002602666523343
Pattern	1.863638884969734	0.3963135915350386	0.41814095883206887
Large	7.442851488437947	0.2827476697715279	0.21801760274756032
Small	8.561538408825463	0.30486005300883434	0.3109300891901922
Motion	13.431187121508128	0.2796943250422607	0.2671025369486856
Biomotion	5.698192737762741	0.39578646876622675	0.41026090455542635
Fast	6.429070495999073	0.27865067143161915	0.19432666108221586
Slow	1.7318846114324873	0.1270187514215176	0.13328650558724314
Shape	6.939974843559333	0.2613328617996513	0.26452835953464077
Face	3.4409710772841926	0.2833501305935387	0.33057848857162464
Body	4.705794340537644	0.24304543493595618	0.23461800300438404
Touch	8.5441445302894	0.16825330291445112	0.17620540261168585
Pain	2.3359356954602672	0.24203180705894603	0.20010458288084387
Audition	4.05222352906683	0.3461984916664113	0.29673718593186327
Loud	3.3819091770915857	0.23156195780131333	0.27224482967007985
Low	4.551526407636864	0.22489904794357238	0.16991365600821637
High	6.732684768488834	0.2192538708451116	0.1974016829045791
Sound	3.508428888691414	0.3671953363435084	0.2960109462697187
Music	3.2702444256514083	0.43561042220229856	0.1959743663117459
Speech	6.26751412830824	0.2527269180428832	0.35745552256038854
Taste	2.8614731336928485	0.3534119794205582	0.29311727213886135
Smell	4.00857742925011	0.2952860956256859	0.2549070338898281
Head	6.225905051649798	0.32648990449392873	0.36243227351808344
UpperLimb	9.841757937964012	0.16454079717689205	0.18287925424563292
LowerLimb	3.525880133743056	0.20606721189485272	0.17742135847905216
Landmark	4.040015479478742	0.4142373934492564	0.19293765508060584
Path	4.09916008393631	0.03472433317786379	-0.03660663174035953
Scene	6.23438859851163	-0.07567323431351815	-0.06337898335879033
Near	2.762199228710148	0.18254224259139248	0.18880760236322003
Toward	2.8252990401651745	0.22823138598791634	0.22956345197756303
Away	5.793028634992411	0.08375402157004042	0.05569763737125396
Number	1.6950719736648299	0.04729927391978207	0.08120945399630097
Time	2.8101659425449887	0.07299517730336899	0.0036203849349245635
Duration	3.321841469943465	0.034162641551446264	-0.08490652918669145
Long	2.388355023635632	-0.04508628431092117	-0.07189830171264733
Short	2.4639572914333088	0.0958878702754459	0.05334282075953843
Consequential	6.260117066751024	0.22490641992615584	0.22679956815325025
Social	8.678010445637977	0.3825918491372698	0.42825483902335204
Human	12.303839126553079	0.3711625572447077	0.45036059142180257
Communication	6.830129854525465	0.300310967322465	0.3154614056616442
Self	5.862369789170087	0.0746931661887856	0.09880493688331951
Cognition	3.3901698959171824	0.15847631698122353	0.07736373270930197
Benefit	4.945482913044526	0.1712414903014106	0.16848609094322517
Harm	4.464805524187821	0.2213343504015616	0.1714780236165196
Pleasant	25.02830076801	0.1563568715116716	0.15301719955783416
Unpleasant	2.8814571894547654	0.3121944630499717	0.2519941795816135
Happy	15.501119776150809	0.17662480434371042	0.16940144115602523
Sad	3.153437836409205	0.23283708834280648	0.18556480474961154
Angry	2.2091103809667065	0.20822657527878163	0.12904954939313568
Disgusted	3.248815228950508	0.1963316230151685	0.17830120821511938
Fearful	3.1237093531996014	0.24258130028599775	0.15612953848297972
Surprised	19.852047216697354	-0.06994107233952283	-0.10814858034021164
Drive	12.076277047845776	0.16604891167327868	0.16346157640004502
Needs	6.010509984614132	0.20338126609011492	0.11249558989772272
Attention	2.585487601725307	0.017561687926471913	0.030780841049837852
Arousal	3.005331453336562	-0.008571506225617483	0.01564477991635703
Average	6.1445626152412745	0.2125960984959763	0.1900341637401987
Std	4.660453434174621	0.12572868143922486	0.13083155776918365
Avg ± Std	6.145 ± 4.660	0.213 ± 0.126	0.190 ± 0.131
