	mse	rho
Vision	9.549385902025028	0.2221115156047101
Bright	18.202793565016446	0.27328163550017787
Dark	6.129845947975501	0.14891112846958146
Color	9.449848416752285	0.4300260266652334
Pattern	1.863638884969734	0.418140958832069
Large	7.442851488437947	0.21801760274756035
Small	8.561538408825461	0.3109300891901922
Motion	13.431187121508128	0.2671025369486856
Biomotion	5.698192737762742	0.41026090455542635
Fast	6.429070495999073	0.19432666108221588
Slow	1.7318846114324873	0.13328650558724314
Shape	6.939974843559335	0.2645283595346408
Face	3.4409710772841926	0.33057848857162464
Body	4.705794340537644	0.234618003004384
Touch	8.544144530289397	0.17620540261168585
Pain	2.3359356954602672	0.20010458288084387
Audition	4.05222352906683	0.2967371859318633
Loud	3.381909177091585	0.2722448296700799
Low	4.551526407636864	0.16991365600821637
High	6.732684768488834	0.1974016829045791
Sound	3.5084288886914146	0.2960109462697187
Music	3.2702444256514083	0.1959743663117459
Speech	6.26751412830824	0.35745552256038854
Taste	2.8614731336928485	0.29311727213886135
Smell	4.00857742925011	0.2549070338898281
Head	6.225905051649798	0.3624322735180835
UpperLimb	9.84175793796401	0.18287925424563292
LowerLimb	3.525880133743056	0.17742135847905216
Landmark	4.040015479478743	0.19293765508060587
Path	4.099160083936309	-0.03660663174035953
Scene	6.2343885985116305	-0.06337898335879033
Near	2.7621992287101476	0.18880760236322003
Toward	2.825299040165175	0.22956345197756303
Away	5.793028634992411	0.05569763737125396
Number	1.6950719736648299	0.08120945399630097
Time	2.8101659425449887	0.003620384934924564
Duration	3.321841469943465	-0.08490652918669143
Long	2.388355023635632	-0.07189830171264731
Short	2.4639572914333088	0.05334282075953843
Consequential	6.260117066751025	0.22679956815325028
Social	8.678010445637977	0.42825483902335204
Human	12.303839126553083	0.4503605914218025
Communication	6.830129854525465	0.3154614056616442
Self	5.862369789170087	0.0988049368833195
Cognition	3.3901698959171824	0.07736373270930197
Benefit	4.945482913044526	0.16848609094322514
Harm	4.464805524187821	0.17147802361651962
Pleasant	25.02830076801	0.15301719955783416
Unpleasant	2.8814571894547654	0.2519941795816135
Happy	15.501119776150812	0.16940144115602523
Sad	3.153437836409205	0.1855648047496115
Angry	2.2091103809667065	0.12904954939313568
Disgusted	3.248815228950508	0.17830120821511938
Fearful	3.1237093531996014	0.15612953848297972
Surprised	19.85204721669735	-0.10814858034021163
Drive	12.076277047845776	0.16346157640004502
Needs	6.010509984614132	0.11249558989772274
Attention	2.585487601725307	0.03078084104983785
Arousal	3.0053314533365616	0.01564477991635703
average	6.144562615241275	0.19003416374019877
std	4.660453434174621	0.13083155776918365
Avg ± Std	6.145 ± 4.660	0.190 ± 0.131
