	mse	rho
一角钱	5.515836784143964	0.36777926142486317
三文鱼	6.984845185049677	0.4534639188180406
下颌	10.408952438237854	0.28507530880311927
专利	8.476912186626512	0.4407634578363303
丛林	3.4876799658985833	0.3013014403720666
丢失	14.376196109844468	-0.15632904884491697
主题	4.760115383167797	0.36207862679569647
乌鸦	3.7758904227609267	0.27300762282499597
乌龟	4.5492065087695215	0.23595804933475142
乐观主义	4.743717217111842	0.45676865685549733
乐趣	8.437783738697872	0.5443778764209456
习惯的	8.166831440632714	0.032359689304661
书	4.393633485443846	0.5846870156690387
书桌	8.190964624388561	0.45840263981010654
买	6.6982252288743025	0.2755778031492813
事故	7.947842656491147	0.20155220990602404
二胡	5.302785461092359	0.6313820828099928
云	5.796057853382752	0.3101352630749381
交响乐	6.417585374362711	0.48200977245983107
仁慈	5.744835525581932	0.5340304961370974
仓鼠	3.2128044151589013	0.3153678933345319
价值	4.874205371101769	0.27009927696325714
企鹅	3.5293989506026855	0.4324151685771572
休战	5.013656141686352	0.49483884046493104
优势	4.015596325329126	0.3238983664057705
会议	5.963983281580213	0.3660779001714633
伪证	6.061777638874476	0.05627093967989009
作者	4.992989870003494	0.5364648982807613
使用	8.166831440632714	0.032359689304661
侮辱	8.363866695422821	0.1250767631032743
信仰	7.113291196774356	0.13758232289940356
信任	4.507822809072149	0.40663336596070654
修理	2.5361376076314035	0.2751465057689686
借口	3.418631297561506	0.2828145166957311
倾盆大雨	5.656748150211614	0.17671225176940017
假期	4.05057159322594	0.24850533914373985
偷窃	11.901201664707616	0.05410857071803322
储物柜	6.3308727333443535	0.48376985057974353
公共汽车	7.218122894356985	0.43653534023640295
公司	4.699173165983043	0.32190419127918896
公园	4.968153116826975	0.5890419696684588
公寓	6.847785020014101	0.480342409422277
内疚	8.894643286481132	0.06602210523153075
写下	5.934351571602448	0.4119100491811491
军队	2.5520181431674827	0.27820724766046606
农场	7.735436703764067	0.5389487741487192
农民	6.376454762512604	0.368080261155257
冬天	4.591975577205747	0.24432752715836464
冰	4.649893403077029	0.347928974369708
冰雹	2.7374114526906785	0.4328354158275713
冷落	4.429937009605025	0.25020857652817985
出租车	9.014727601088625	0.44546425822836594
创立	5.0414711251138185	0.5070595719475982
剧院	5.2113839855245665	0.4558116563525681
剪刀	5.140014450632336	0.49089933565220034
力量	7.722219319981237	0.2527170108777232
办公室	5.4758628102439495	0.47840668477354203
动机	7.402369329181321	0.24538996785982958
动物园	4.168139771328438	0.44261266522920134
动词	5.047818399129533	0.08359539649564583
劳动	7.2549860255246665	0.284770636615096
区域	5.053877355663682	0.30600525466008077
医生	6.402641817989816	0.388745997315872
医院	7.144576188614604	0.37728019159519294
午后场	6.092501027294779	0.4649232344738862
协商	2.7659928022881113	0.32700966027315287
协议	2.4757381734419663	0.5459477659050117
单簧管	6.00842184520648	0.6039754715798592
南瓜	7.505342039863942	0.18164809061906625
卡车	5.460512083813928	0.47157348683940076
卫生	4.71025669844735	0.2671872405937877
危险的	3.118404032314625	0.5138154648029228
卷心菜	11.569298004855797	0.25269496027895516
厨房	6.67811006208727	0.6662379705860105
去	4.0307731151059585	0.32647276929591146
友好的	7.0751451143622655	0.502595586387688
发刷	6.975685402477279	0.5058184432443178
受伤	6.9417595028250485	0.15178846871108478
受害者	8.02159542968643	0.4185679613697401
口琴	3.2462427188276957	0.7834488405262066
口香糖	9.437700798986155	0.4738092327822843
叮当声	12.355128616690594	0.1308290727080663
号角	5.729310314544073	0.5399921931517563
司机	7.719679893652658	0.2699953393439642
吃	4.684761601980723	0.1609235732512439
合法性	6.015937484909251	0.2944646409080163
同情心	6.707872872479662	0.3231464720958832
名词	4.959222144891312	0.21352457553418047
否认	6.634055429923447	0.14362803504690472
听写	5.929026500450379	0.22040294620636383
吻	6.512529796286966	0.6669396660874449
命运	3.22872588579038	0.4508439815174852
和平	6.747465106461956	0.6161863157983416
咖啡	7.992033151129238	0.5165879969426266
咳嗽	12.968190502915107	0.1756150484490536
响亮的	6.097971159450469	0.17914725204982834
唱诗班	4.1999722944384645	0.34639271974701585
商业	4.479867818700997	0.36713158351748837
商人	5.204002581546805	0.3557459256521487
啤酒	4.984260419113822	0.44077411505286834
喂养	6.473354854820408	0.2851964628237023
喇叭	4.9092410131884625	0.6795621033878797
喊叫	5.957755037121905	0.07249342607288987
喘气	8.121838302246324	0.5542669796721413
喜悦	7.0338475814392005	0.6797279123421437
喜欢	8.570232237446065	0.513749472114163
喝酒	5.336335542108974	0.04487648436188986
喷泉	5.239952070662053	0.4328167796614333
嘴	8.566351149761646	0.3212474665951473
